# The definitions of electoral districts as of the 2023 elections. Based on
# Wikipedia data on TERC codes, and Wikipedia data on electoral district
# definitions, retrieved February 26th, 2024.
TERC;Electoral District ID;What this covers
0261;1;Jelenia Góra
0262;1;Legnica
0201;1;bolesławiecki
0203;1;głogowski
0205;1;jaworski
0207;1;kamiennogórski
0206;1;karkonoski
0209;1;legnicki
0210;1;lubański
0211;1;lubiński
0212;1;lwówecki
0216;1;polkowicki
0226;1;złotoryjski
0225;1;zgorzelecki
0265;2;Wałbrzych
0221;2;wałbrzyski
0202;2;dzierżoniowski
0208;2;kłodzki
0219;2;świdnicki
0224;2;ząbkowicki
0264;3;Wrocław
0223;3;wrocławski
0204;3;górowski
0213;3;milicki
0214;3;oleśnicki
0215;3;oławski
0217;3;strzeliński
0218;3;średzki
0220;3;trzebnicki
0222;3;wołowski
0461;4;Bydgoszcz
0403;4;bydgoski
0407;4;inowrocławski
0409;4;mogileński
0410;4;nakielski
0413;4;sępoleński
0414;4;świecki
0416;4;tucholski
0419;4;żniński
0401;5;aleksandrowski
0402;5;brodnicki
0404;5;chełmiński
0405;5;golubsko-dobrzyński
0462;5;Grudziądz
0406;5;grudziądzki
0408;5;lipnowski
0411;5;radziejowski
0412;5;rypiński
0415;5;toruński
0463;5;Toruń
0417;5;wąbrzeski
0418;5;włocławski
0464;5;Włocławek
0605;6;janowski
0607;6;kraśnicki
0608;6;lubartowski
0609;6;lubelski
0663;6;Lublin
0610;6;łęczyński
0611;6;łukowski
0612;6;opolski
0614;6;puławski
0616;6;rycki
0617;6;świdnicki
0601;7;bialski
0602;7;biłgorajski
0603;7;chełmski
0662;7;Chełm
0604;7;hrubieszowski
0606;7;krasnostawski
0613;7;parczewski
0615;7;radzyński
0618;7;tomaszowski
0619;7;włodawski
0620;7;zamojski
0664;7;Zamość
0661;7;Biała Podlaska
08;8;Województwo Lubuskie
1021;9;brzeziński
1006;9;łódzki wschodni
1061;9;Łódź
1001;10;bełchatowski
1007;10;opoczyński
1010;10;piotrkowski
1062;10;Piotrków Trybunalski
1012;10;radomszczański
1013;10;rawski
1015;10;skierniewicki
1063;10;Skierniewice
1016;10;tomaszowski
1002;11;kutnowski
1003;11;łaski
1004;11;łęczycki
1005;11;łowicki
1008;11;pabianicki
1009;11;pajęczański
1011;11;poddębicki
1014;11;sieradzki
1017;11;wieluński
1018;11;wieruszowski
1019;11;zduńskowolski
1020;11;zgierski
1203;12;chrzanowski
1209;12;myślenicki
1213;12;oświęcimski
1215;12;suski
1218;12;wadowicki
1206;13;krakowski
1261;13;Kraków
1208;13;miechowski
1212;13;olkuski
1205;14;gorlicki
1207;14;limanowski
1210;14;nowosądecki
1211;14;nowotarski
1262;14;Nowy Sącz
1217;14;tatrzański
1201;15;bocheński
1202;15;brzeski
1204;15;dąbrowski
1214;15;proszowicki
1216;15;tarnowski
1263;15;Tarnów
1219;15;wielicki
1402;16;ciechanowski
1404;16;gostyniński
1413;16;mławski
1419;16;płocki
1462;16;Płock
1420;16;płoński
1422;16;przasnyski
1427;16;sierpecki
1428;16;sochaczewski
1437;16;żuromiński
1438;16;żyrardowski
1401;17;białobrzeski
1406;17;grójecki
1407;17;kozienicki
1409;17;lipski
1423;17;przysuski
1425;17;radomski
1463;17;Radom
1430;17;szydłowiecki
1436;17;zwoleński
1403;18;garwoliński
1410;18;łosicki
1411;18;makowski
1412;18;miński
1415;18;ostrołęcki
1461;18;Ostrołęka
1416;18;ostrowski
1424;18;pułtuski
1426;18;siedlecki
1464;18;siedlce
1429;18;sokołowski
1433;18;węgrowski
1435;18;wyszkowski
1405;20;grodziski
1408;20;legionowski
1414;20;nowodworski
1417;20;otwocki
1418;20;piaseczyński
1421;20;pruszkowski
1432;20;warszawski zachodni
1434;20;wołomiński
1465;19;Warszawa
1499;19;zagranica
16;21;województwo opolskie
1801;22;bieszczadzki
1802;22;brzozowski
1804;22;jarosławski
1805;22;jasielski
1807;22;krośnieński
1861;22;Krosno
1821;22;leski
1809;22;lubaczowski
1813;22;przemyski
1862;22;Przemyśl
1814;22;przeworski
1817;22;sanocki
1803;23;dębicki
1806;23;kolbuszowski
1808;23;leżajski
1810;23;łańcucki
1811;23;mielecki
1812;23;niżański
1815;23;ropczycko-sędziszowski
1816;23;rzeszowski
1863;23;Rzeszów
1818;23;stalowowolski
1819;23;strzyżowski
1864;23;Tarnobrzeg
1820;23;tarnobrzeski
20;24;województwo podlaskie
2261;25;Gdańsk
2204;25;gdański
2264;25;Sopot
2207;25;kwidzyński
2209;25;malborski
2210;25;nowodworski
2213;25;starogardzki
2216;25;sztumski
2214;25;tczewski
2201;26;bytowski
2202;26;chojnicki
2203;26;człuchowski
2205;26;kartuski
2206;26;kościerski
2208;26;lęborski
2211;26;pucki
2212;26;słupski
2263;26;Słupsk
2215;26;wejcherowski
2262;26;Gdynia
2402;27;bielski
2403;27;cieszyński
2410;27;pszczyński
2417;27;żywiecki
2461;27;Bielsko-Biała
2464;28;Częstochowa
2404;28;częstochowski
2406;28;kłobucki
2407;28;lubliniecki
2409;28;myszkowski
2405;29;gliwicki
2466;29;Gliwice
2413;29;tarnogórski
2462;29;Bytom
2478;29;Zabrze
2408;30;mikołowski
2411;30;raciborski
2412;30;rybnicki
2473;30;Rybnik
2415;30;wodzisławski
2467;30;Jastrzębie Zdrój
2479;30;Żory
2414;31;bieruńsko-lędziński
2463;31;Chorzów
2469;31;Katowice
2470;31;Mysłowice
2471;31;Piekary Śląskie
2472;31;Ruda Śląska
2474;31;Siemianowice Śląskie
2476;31;Świętochłowice
2477;31;Tychy
2401;32;będziński
2416;32;zawierciański
2465;32;Dąbrowa Górnicza
2468;32;Jaworzno
2475;32;Sosnowiec
26;33;województwo świętokrzyskie
2801;34;bartoszycki
2802;34;braniewski
2803;34;działdowski
2804;34;elbląski
2861;34;Elbląg
2807;34;iławski
2809;34;lidzbarski
2812;34;nowomiejski
2815;34;ostródzki
2805;35;ełcki
2806;35;giżycki
2818;35;gołdapski
2808;35;kętrzyński
2810;35;mrągowski
2811;35;nidzicki
2813;35;olecki
2814;35;olsztyński
2862;35;Olsztyn
2816;35;piski
2817;35;szczycieński
2819;35;węgorzewski
3004;36;gostyński
3006;36;jarociński
3007;36;kaliski
3061;36;Kalisz
3008;36;kępiński
3011;36;kościański
3012;36;krotoszyński
3013;36;leszczyński
3063;36;Leszno
3017;36;ostrowski
3018;36;ostrzeszowski
3020;36;pleszewski
3022;36;rawicki
3003;37;gnieźnieński
3009;37;kolski
3010;37;koniński
3062;37;Konin
3023;37;słupecki
3025;37;średzki
3026;37;śremski
3027;37;turecki
3030;37;wrzesiński
3001;38;chodzieski
3002;38;czarnkowski-trzcianecki
3005;38;grodziski
3014;38;międzychodzki
3015;38;nowotomyski
3016;38;obornicki
3019;38;pilski
3024;38;szamotulski
3028;38;wągrowiecki
3029;38;wolsztyński
3031;38;złotowski
3021;39;poznański
3064;39;Poznań
3201;40;białogardzki
3202;40;choszczeński
3203;40;drawski
3208;40;kołobrzeski
3209;40;koszaliński
3261;40;Koszalin
3213;40;sławieński
3215;40;szczecinecki
3216;40;świdwiński
3217;40;wałecki
3204;41;goleniowski
3205;41;gryficki
3206;41;gryfiński
3207;41;kamieński
3218;41;łobeski
3210;41;myśliborski
3211;41;policki
3212;41;pyrzycki
3214;41;stargardzki
3262;41;Szczecin
3263;41;Świnoujście
