oid;okw;pzero;pjedendt;pdwadt;ptrzydt;pjedenjd;pdwajd;ptrzyjd;pczteryjd;ppiecjd;pszescjd;pjedenjp;pdwajp;ptrzyjp;pczteryjp;ppiecjp;pszescjp
1;Legnica;12;11;11;12;12;12;12;12;12;11;12;12;12;12;12;11
2;Wałbrzych;8;8;7;8;8;8;8;8;8;7;8;8;8;8;8;7
3;Wrocław;14;16;15;15;15;15;15;15;15;16;15;15;15;15;15;16
4;Bydgoszcz;12;12;12;12;12;12;12;12;12;11;12;12;12;12;12;11
5;Toruń;13;12;12;12;13;13;13;12;12;11;13;13;13;13;13;11
6;Lublin;15;14;14;15;14;15;15;14;14;14;14;15;15;14;14;15
7;Chełm;12;11;11;11;11;12;12;11;11;10;11;12;12;12;12;10
8;Zielona Góra;12;12;12;12;12;12;12;12;12;11;12;12;12;12;12;11
9;Łódź;10;9;9;9;10;9;9;9;9;10;10;9;10;10;10;11
10;Piotrków Tryb.;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
11;Sieradz;12;11;12;12;11;12;12;12;12;11;12;12;12;12;12;11
12;Chrzanów;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
13;Kraków;14;15;15;15;14;14;14;14;15;16;14;14;14;14;14;16
14;Nowy Sącz;10;10;10;10;10;10;10;9;9;9;9;10;9;9;9;10
15;Tarnów;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
16;Płock;10;10;10;10;10;10;10;10;10;9;10;10;10;10;10;9
17;Radom;9;8;9;9;9;9;9;9;9;8;9;9;9;9;9;8
18;Siedlce;12;11;12;12;11;12;12;11;11;11;11;12;12;11;11;11
19;Warszawa;20;23;21;21;21;21;20;26;26;34;21;20;20;23;23;33
20;Warszawa II;12;15;14;14;13;13;13;13;13;15;13;13;12;12;13;15
21;Opole;12;12;12;12;12;12;12;12;12;10;12;12;12;12;12;10
22;Krosno;11;10;11;11;11;11;11;11;11;10;11;11;11;11;11;10
23;Rzeszów;15;15;16;16;15;15;15;15;15;15;15;15;15;15;15;15
24;Białystok;14;14;14;14;14;14;14;14;14;13;14;14;14;14;14;13
25;Gdańsk;12;13;13;13;13;13;13;13;13;13;13;13;12;12;12;13
26;Gdynia;14;15;15;15;15;15;14;14;14;14;15;15;14;14;14;14
27;Bielsko-Biała;9;9;9;9;9;9;9;9;9;10;9;9;9;9;9;10
28;Częstochowa;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
29;Gliwice;9;9;9;9;9;9;9;9;9;9;9;10;10;9;9;9
30;Rybnik;9;9;9;9;9;9;9;9;9;8;9;8;9;9;9;9
31;Katowice;12;11;11;11;12;11;11;11;11;12;12;12;12;12;12;12
32;Sosnowiec;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9
33;Kielce;16;14;15;15;15;15;16;15;15;14;15;15;16;16;15;14
34;Elbląg;8;7;7;7;8;7;7;8;7;7;7;7;7;8;8;6
35;Olsztyn;10;10;10;9;9;10;10;9;9;8;10;10;10;10;10;8
36;Kalisz;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;11
37;Konin;9;9;10;9;9;9;9;9;9;9;9;9;9;9;9;9
38;Piła;9;9;10;9;9;9;9;9;9;9;9;9;9;9;9;8
39;Poznań;10;12;11;11;11;11;11;11;11;13;11;10;10;10;10;12
40;Koszalin;8;8;7;7;8;7;8;8;8;7;8;8;8;8;8;7
41;Szczecin;12;13;12;12;13;12;12;12;12;12;13;12;13;12;12;12
