"Nr OKW";"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Andrzej Sebastian DUDA";"Rafał Kazimierz TRZASKOWSKI";"Liczba obwodów"
2;"020101";"gmina miejska";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";27753;29061;8826;18929;3;309;212;207;5;0;0;0;202;19130;202;1;19129;145;85;60;"";18984;7915;11069;23
2;"020102";"gmina wiejska";"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";10455;11100;3273;7182;4;79;16;16;0;0;0;0;16;7198;16;0;7198;58;32;26;"";7140;3607;3533;11
2;"020103";"gmina wiejska";"gm. Gromadka";"bolesławiecki";"dolnośląskie";3964;4277;1380;2584;4;23;11;9;0;0;0;0;10;2592;9;0;2592;20;8;12;"";2572;1617;955;4
2;"020104";"gmina miejsko-wiejska";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";10716;11463;4138;6578;0;86;72;69;1;0;1;1;66;6644;66;0;6644;56;32;24;"";6588;4013;2575;12
2;"020105";"gmina wiejska";"gm. Osiecznica";"bolesławiecki";"dolnośląskie";4908;5356;1819;3089;0;106;14;11;0;0;0;0;11;3100;11;0;3100;20;11;9;"";3080;1576;1504;7
2;"020106";"gmina wiejska";"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";6071;6543;2195;3876;2;30;31;30;0;0;0;0;30;3906;30;0;3906;23;11;12;"";3883;2238;1645;6
4;"020201";"gmina miejska";"m. Bielawa";"dzierżoniowski";"dolnośląskie";21745;23065;7834;13910;20;273;134;125;2;0;0;0;123;14033;123;3;14030;123;78;45;"";13907;6559;7348;22
4;"020202";"gmina miejska";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";23395;25138;7078;16317;9;284;175;169;5;0;2;1;161;16475;161;0;16475;148;76;72;"";16327;7396;8931;23
4;"020203";"gmina miejsko-wiejska";"m. Pieszyce";"dzierżoniowski";"dolnośląskie";6914;7380;2661;4252;5;95;49;49;2;0;1;1;45;4298;45;1;4297;31;16;15;"";4266;2295;1971;9
4;"020204";"gmina miejska";"m. Piława Górna";"dzierżoniowski";"dolnośląskie";4518;4850;1666;2852;7;50;22;22;0;0;0;0;22;2874;22;0;2874;16;15;1;"";2858;1645;1213;3
4;"020205";"gmina wiejska";"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";6832;7306;2082;4750;4;64;21;21;0;0;0;0;21;4771;21;0;4771;46;26;20;"";4725;2763;1962;13
4;"020206";"gmina wiejska";"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";5518;5804;1773;3745;4;67;17;14;0;0;0;0;14;3759;14;0;3759;31;14;17;"";3728;2318;1410;6
4;"020207";"gmina miejsko-wiejska";"gm. Niemcza";"dzierżoniowski";"dolnośląskie";4182;4293;1655;2527;5;45;23;23;0;1;0;0;22;2549;22;0;2549;18;10;8;"";2531;1407;1124;7
3;"020301";"gmina miejska";"m. Głogów";"głogowski";"dolnośląskie";47686;49537;15074;32613;4;522;228;221;7;2;0;0;212;32822;212;9;32813;254;161;93;"";32559;16112;16447;36
3;"020302";"gmina wiejska";"gm. Głogów";"głogowski";"dolnośląskie";4874;5205;1267;3607;1;68;31;30;4;0;0;0;26;3633;26;0;3633;20;15;5;"";3613;2025;1588;4
3;"020303";"gmina wiejska";"gm. Jerzmanowa";"głogowski";"dolnośląskie";3613;3899;779;2834;4;71;17;17;0;0;0;0;17;2851;17;0;2851;20;12;8;"";2831;1459;1372;4
3;"020304";"gmina wiejska";"gm. Kotla";"głogowski";"dolnośląskie";3149;3372;1102;2047;2;31;15;15;0;0;0;0;15;2062;15;0;2062;20;12;8;"";2042;1271;771;5
