TERYT gminy;gmina;powiat;województwo;Liczba osób
201011;BOLESŁAWIEC;BOLESŁAWIECKI;DOLNOŚLĄSKIE;850
201022;BOLESŁAWIEC;BOLESŁAWIECKI;DOLNOŚLĄSKIE;300
201032;GROMADKA;BOLESŁAWIECKI;DOLNOŚLĄSKIE;100
201044;NOWOGRODZIEC;BOLESŁAWIECKI;DOLNOŚLĄSKIE;80
201045;NOWOGRODZIEC;BOLESŁAWIECKI;DOLNOŚLĄSKIE;190
201052;OSIECZNICA;BOLESŁAWIECKI;DOLNOŚLĄSKIE;170
201062;WARTA BOLESŁAWIECKA;BOLESŁAWIECKI;DOLNOŚLĄSKIE;140
202011;BIELAWA;DZIERŻONIOWSKI;DOLNOŚLĄSKIE;530
202021;DZIERŻONIÓW;DZIERŻONIOWSKI;DOLNOŚLĄSKIE;640
202034;PIESZYCE;DZIERŻONIOWSKI;DOLNOŚLĄSKIE;120
202035;PIESZYCE;DZIERŻONIOWSKI;DOLNOŚLĄSKIE;40
202041;PIŁAWA GÓRNA;DZIERŻONIOWSKI;DOLNOŚLĄSKIE;120
202052;DZIERŻONIÓW;DZIERŻONIOWSKI;DOLNOŚLĄSKIE;160
202062;ŁAGIEWNIKI;DZIERŻONIOWSKI;DOLNOŚLĄSKIE;130
202074;NIEMCZA;DZIERŻONIOWSKI;DOLNOŚLĄSKIE;60
202075;NIEMCZA;DZIERŻONIOWSKI;DOLNOŚLĄSKIE;40
203011;GŁOGÓW;GŁOGOWSKI;DOLNOŚLĄSKIE;1580
203022;GŁOGÓW;GŁOGOWSKI;DOLNOŚLĄSKIE;150
203032;JERZMANOWA;GŁOGOWSKI;DOLNOŚLĄSKIE;130
203042;KOTLA;GŁOGOWSKI;DOLNOŚLĄSKIE;80
203052;PĘCŁAW;GŁOGOWSKI;DOLNOŚLĄSKIE;40
203062;ŻUKOWICE;GŁOGOWSKI;DOLNOŚLĄSKIE;60
204014;GÓRA;GÓROWSKI;DOLNOŚLĄSKIE;360
204015;GÓRA;GÓROWSKI;DOLNOŚLĄSKIE;150
204022;JEMIELNO;GÓROWSKI;DOLNOŚLĄSKIE;60
204032;NIECHLÓW;GÓROWSKI;DOLNOŚLĄSKIE;100
204044;WĄSOSZ;GÓROWSKI;DOLNOŚLĄSKIE;70
204045;WĄSOSZ;GÓROWSKI;DOLNOŚLĄSKIE;80
205011;JAWOR;JAWORSKI;DOLNOŚLĄSKIE;470
205024;BOLKÓW;JAWORSKI;DOLNOŚLĄSKIE;110
205025;BOLKÓW;JAWORSKI;DOLNOŚLĄSKIE;90
205032;MĘCINKA;JAWORSKI;DOLNOŚLĄSKIE;70
205042;MŚCIWOJÓW;JAWORSKI;DOLNOŚLĄSKIE;60
205052;PASZOWICE;JAWORSKI;DOLNOŚLĄSKIE;80
205062;WĄDROŻE WIELKIE;JAWORSKI;DOLNOŚLĄSKIE;70
206011;KARPACZ;KARKONOSKI;DOLNOŚLĄSKIE;160
206021;KOWARY;KARKONOSKI;DOLNOŚLĄSKIE;230
206031;PIECHOWICE;KARKONOSKI;DOLNOŚLĄSKIE;160
206041;SZKLARSKA PORĘBA;KARKONOSKI;DOLNOŚLĄSKIE;230
206052;JANOWICE WIELKIE;KARKONOSKI;DOLNOŚLĄSKIE;100
206062;JEŻÓW SUDECKI;KARKONOSKI;DOLNOŚLĄSKIE;190
206072;MYSŁAKOWICE;KARKONOSKI;DOLNOŚLĄSKIE;110
206082;PODGÓRZYN;KARKONOSKI;DOLNOŚLĄSKIE;200
206092;STARA KAMIENICA;KARKONOSKI;DOLNOŚLĄSKIE;30
207011;KAMIENNA GÓRA;KAMIENNOGÓRSKI;DOLNOŚLĄSKIE;470
207022;KAMIENNA GÓRA;KAMIENNOGÓRSKI;DOLNOŚLĄSKIE;180
207034;LUBAWKA;KAMIENNOGÓRSKI;DOLNOŚLĄSKIE;140
207035;LUBAWKA;KAMIENNOGÓRSKI;DOLNOŚLĄSKIE;140
207042;MARCISZÓW;KAMIENNOGÓRSKI;DOLNOŚLĄSKIE;100
208011;DUSZNIKI-ZDRÓJ;KŁODZKI;DOLNOŚLĄSKIE;130
208021;KŁODZKO;KŁODZKI;DOLNOŚLĄSKIE;660
208031;KUDOWA-ZDRÓJ;KŁODZKI;DOLNOŚLĄSKIE;290
208041;NOWA RUDA;KŁODZKI;DOLNOŚLĄSKIE;530
208051;POLANICA-ZDRÓJ;KŁODZKI;DOLNOŚLĄSKIE;190
208064;BYSTRZYCA KŁODZKA;KŁODZKI;DOLNOŚLĄSKIE;240
208065;BYSTRZYCA KŁODZKA;KŁODZKI;DOLNOŚLĄSKIE;240
208072;KŁODZKO;KŁODZKI;DOLNOŚLĄSKIE;330
208084;LĄDEK-ZDRÓJ;KŁODZKI;DOLNOŚLĄSKIE;170
208085;LĄDEK-ZDRÓJ;KŁODZKI;DOLNOŚLĄSKIE;50
208092;LEWIN KŁODZKI;KŁODZKI;DOLNOŚLĄSKIE;40
208104;MIĘDZYLESIE;KŁODZKI;DOLNOŚLĄSKIE;50
208105;MIĘDZYLESIE;KŁODZKI;DOLNOŚLĄSKIE;140
208112;NOWA RUDA;KŁODZKI;DOLNOŚLĄSKIE;270
208124;RADKÓW;KŁODZKI;DOLNOŚLĄSKIE;70
208125;RADKÓW;KŁODZKI;DOLNOŚLĄSKIE;150
208134;STRONIE ŚLĄSKIE;KŁODZKI;DOLNOŚLĄSKIE;150
208135;STRONIE ŚLĄSKIE;KŁODZKI;DOLNOŚLĄSKIE;60
208144;SZCZYTNA;KŁODZKI;DOLNOŚLĄSKIE;110
208145;SZCZYTNA;KŁODZKI;DOLNOŚLĄSKIE;50
209011;CHOJNÓW;LEGNICKI;DOLNOŚLĄSKIE;260
209022;CHOJNÓW;LEGNICKI;DOLNOŚLĄSKIE;120
209032;KROTOSZYCE;LEGNICKI;DOLNOŚLĄSKIE;60
209042;KUNICE;LEGNICKI;DOLNOŚLĄSKIE;140
209052;LEGNICKIE POLE;LEGNICKI;DOLNOŚLĄSKIE;60
209062;MIŁKOWICE;LEGNICKI;DOLNOŚLĄSKIE;130
209074;PROCHOWICE;LEGNICKI;DOLNOŚLĄSKIE;60
209075;PROCHOWICE;LEGNICKI;DOLNOŚLĄSKIE;50
209082;RUJA;LEGNICKI;DOLNOŚLĄSKIE;40
210011;LUBAŃ;LUBAŃSKI;DOLNOŚLĄSKIE;550
210021;ŚWIERADÓW-ZDRÓJ;LUBAŃSKI;DOLNOŚLĄSKIE;130
210034;LEŚNA;LUBAŃSKI;DOLNOŚLĄSKIE;110
210035;LEŚNA;LUBAŃSKI;DOLNOŚLĄSKIE;130
210042;LUBAŃ;LUBAŃSKI;DOLNOŚLĄSKIE;130
210054;OLSZYNA;LUBAŃSKI;DOLNOŚLĄSKIE;110
210055;OLSZYNA;LUBAŃSKI;DOLNOŚLĄSKIE;60
210062;PLATERÓWKA;LUBAŃSKI;DOLNOŚLĄSKIE;40
210072;SIEKIERCZYN;LUBAŃSKI;DOLNOŚLĄSKIE;100
211011;LUBIN;LUBIŃSKI;DOLNOŚLĄSKIE;1540
211022;LUBIN;LUBIŃSKI;DOLNOŚLĄSKIE;370
211032;RUDNA;LUBIŃSKI;DOLNOŚLĄSKIE;130
211044;ŚCINAWA;LUBIŃSKI;DOLNOŚLĄSKIE;100
211045;ŚCINAWA;LUBIŃSKI;DOLNOŚLĄSKIE;70
212014;GRYFÓW ŚLĄSKI;LWÓWECKI;DOLNOŚLĄSKIE;140
212015;GRYFÓW ŚLĄSKI;LWÓWECKI;DOLNOŚLĄSKIE;70
212024;LUBOMIERZ;LWÓWECKI;DOLNOŚLĄSKIE;50
212025;LUBOMIERZ;LWÓWECKI;DOLNOŚLĄSKIE;90
212034;LWÓWEK ŚLĄSKI;LWÓWECKI;DOLNOŚLĄSKIE;230
212035;LWÓWEK ŚLĄSKI;LWÓWECKI;DOLNOŚLĄSKIE;160
212044;MIRSK;LWÓWECKI;DOLNOŚLĄSKIE;100
212045;MIRSK;LWÓWECKI;DOLNOŚLĄSKIE;130
212054;WLEŃ;LWÓWECKI;DOLNOŚLĄSKIE;50
212055;WLEŃ;LWÓWECKI;DOLNOŚLĄSKIE;50
213012;CIESZKÓW;MILICKI;DOLNOŚLĄSKIE;90
213022;KROŚNICE;MILICKI;DOLNOŚLĄSKIE;120
213034;MILICZ;MILICKI;DOLNOŚLĄSKIE;250
213035;MILICZ;MILICKI;DOLNOŚLĄSKIE;220
214011;OLEŚNICA;OLEŚNICKI;DOLNOŚLĄSKIE;700
214024;BIERUTÓW;OLEŚNICKI;DOLNOŚLĄSKIE;110
214025;BIERUTÓW;OLEŚNICKI;DOLNOŚLĄSKIE;60
214032;DOBROSZYCE;OLEŚNICKI;DOLNOŚLĄSKIE;110
214042;DZIADOWA KŁODA;OLEŚNICKI;DOLNOŚLĄSKIE;60
214054;MIĘDZYBÓRZ;OLEŚNICKI;DOLNOŚLĄSKIE;40
214055;MIĘDZYBÓRZ;OLEŚNICKI;DOLNOŚLĄSKIE;40
214062;OLEŚNICA;OLEŚNICKI;DOLNOŚLĄSKIE;230
214074;SYCÓW;OLEŚNICKI;DOLNOŚLĄSKIE;210
214075;SYCÓW;OLEŚNICKI;DOLNOŚLĄSKIE;100
214084;TWARDOGÓRA;OLEŚNICKI;DOLNOŚLĄSKIE;120
214085;TWARDOGÓRA;OLEŚNICKI;DOLNOŚLĄSKIE;100
215011;OŁAWA;OŁAWSKI;DOLNOŚLĄSKIE;540
