TERYT gminy;gmina;powiat;województwo;Liczba osób
201011;BOLESŁAWIEC;BOLESŁAWIECKI;DOLNOŚLĄSKIE;20
201022;BOLESŁAWIEC;BOLESŁAWIECKI;DOLNOŚLĄSKIE;10
201032;GROMADKA;BOLESŁAWIECKI;DOLNOŚLĄSKIE;0
201045;NOWOGRODZIEC;BOLESŁAWIECKI;DOLNOŚLĄSKIE;10
201052;OSIECZNICA;BOLESŁAWIECKI;DOLNOŚLĄSKIE;10
201062;WARTA BOLESŁAWIECKA;BOLESŁAWIECKI;DOLNOŚLĄSKIE;0
202011;BIELAWA;DZIERŻONIOWSKI;DOLNOŚLĄSKIE;20
202021;DZIERŻONIÓW;DZIERŻONIOWSKI;DOLNOŚLĄSKIE;30
202034;PIESZYCE;DZIERŻONIOWSKI;DOLNOŚLĄSKIE;0
202041;PIŁAWA GÓRNA;DZIERŻONIOWSKI;DOLNOŚLĄSKIE;0
202052;DZIERŻONIÓW;DZIERŻONIOWSKI;DOLNOŚLĄSKIE;10
202062;ŁAGIEWNIKI;DZIERŻONIOWSKI;DOLNOŚLĄSKIE;10
202074;NIEMCZA;DZIERŻONIOWSKI;DOLNOŚLĄSKIE;0
202075;NIEMCZA;DZIERŻONIOWSKI;DOLNOŚLĄSKIE;0
203011;GŁOGÓW;GŁOGOWSKI;DOLNOŚLĄSKIE;60
203032;JERZMANOWA;GŁOGOWSKI;DOLNOŚLĄSKIE;0
203042;KOTLA;GŁOGOWSKI;DOLNOŚLĄSKIE;0
203062;ŻUKOWICE;GŁOGOWSKI;DOLNOŚLĄSKIE;10
204014;GÓRA;GÓROWSKI;DOLNOŚLĄSKIE;0
204015;GÓRA;GÓROWSKI;DOLNOŚLĄSKIE;0
204022;JEMIELNO;GÓROWSKI;DOLNOŚLĄSKIE;0
204032;NIECHLÓW;GÓROWSKI;DOLNOŚLĄSKIE;0
204045;WĄSOSZ;GÓROWSKI;DOLNOŚLĄSKIE;0
205011;JAWOR;JAWORSKI;DOLNOŚLĄSKIE;10
205025;BOLKÓW;JAWORSKI;DOLNOŚLĄSKIE;0
205032;MĘCINKA;JAWORSKI;DOLNOŚLĄSKIE;0
205042;MŚCIWOJÓW;JAWORSKI;DOLNOŚLĄSKIE;0
206011;KARPACZ;KARKONOSKI;DOLNOŚLĄSKIE;0
206021;KOWARY;KARKONOSKI;DOLNOŚLĄSKIE;0
206031;PIECHOWICE;KARKONOSKI;DOLNOŚLĄSKIE;0
206041;SZKLARSKA PORĘBA;KARKONOSKI;DOLNOŚLĄSKIE;0
206052;JANOWICE WIELKIE;KARKONOSKI;DOLNOŚLĄSKIE;0
206062;JEŻÓW SUDECKI;KARKONOSKI;DOLNOŚLĄSKIE;10
206072;MYSŁAKOWICE;KARKONOSKI;DOLNOŚLĄSKIE;0
206082;PODGÓRZYN;KARKONOSKI;DOLNOŚLĄSKIE;10
206092;STARA KAMIENICA;KARKONOSKI;DOLNOŚLĄSKIE;0
207011;KAMIENNA GÓRA;KAMIENNOGÓRSKI;DOLNOŚLĄSKIE;10
207022;KAMIENNA GÓRA;KAMIENNOGÓRSKI;DOLNOŚLĄSKIE;10
207035;LUBAWKA;KAMIENNOGÓRSKI;DOLNOŚLĄSKIE;0
207042;MARCISZÓW;KAMIENNOGÓRSKI;DOLNOŚLĄSKIE;0
208011;DUSZNIKI-ZDRÓJ;KŁODZKI;DOLNOŚLĄSKIE;0
208021;KŁODZKO;KŁODZKI;DOLNOŚLĄSKIE;10
208031;KUDOWA-ZDRÓJ;KŁODZKI;DOLNOŚLĄSKIE;0
208041;NOWA RUDA;KŁODZKI;DOLNOŚLĄSKIE;20
208051;POLANICA-ZDRÓJ;KŁODZKI;DOLNOŚLĄSKIE;10
208064;BYSTRZYCA KŁODZKA;KŁODZKI;DOLNOŚLĄSKIE;0
208065;BYSTRZYCA KŁODZKA;KŁODZKI;DOLNOŚLĄSKIE;10
208072;KŁODZKO;KŁODZKI;DOLNOŚLĄSKIE;20
208084;LĄDEK-ZDRÓJ;KŁODZKI;DOLNOŚLĄSKIE;0
208085;LĄDEK-ZDRÓJ;KŁODZKI;DOLNOŚLĄSKIE;0
208092;LEWIN KŁODZKI;KŁODZKI;DOLNOŚLĄSKIE;0
208105;MIĘDZYLESIE;KŁODZKI;DOLNOŚLĄSKIE;0
208112;NOWA RUDA;KŁODZKI;DOLNOŚLĄSKIE;10
208124;RADKÓW;KŁODZKI;DOLNOŚLĄSKIE;0
208125;RADKÓW;KŁODZKI;DOLNOŚLĄSKIE;10
208134;STRONIE ŚLĄSKIE;KŁODZKI;DOLNOŚLĄSKIE;10
208135;STRONIE ŚLĄSKIE;KŁODZKI;DOLNOŚLĄSKIE;0
208144;SZCZYTNA;KŁODZKI;DOLNOŚLĄSKIE;0
209011;CHOJNÓW;LEGNICKI;DOLNOŚLĄSKIE;0
209022;CHOJNÓW;LEGNICKI;DOLNOŚLĄSKIE;0
209032;KROTOSZYCE;LEGNICKI;DOLNOŚLĄSKIE;0
209042;KUNICE;LEGNICKI;DOLNOŚLĄSKIE;0
209062;MIŁKOWICE;LEGNICKI;DOLNOŚLĄSKIE;10
209074;PROCHOWICE;LEGNICKI;DOLNOŚLĄSKIE;0
210011;LUBAŃ;LUBAŃSKI;DOLNOŚLĄSKIE;0
210021;ŚWIERADÓW-ZDRÓJ;LUBAŃSKI;DOLNOŚLĄSKIE;0
210034;LEŚNA;LUBAŃSKI;DOLNOŚLĄSKIE;0
210035;LEŚNA;LUBAŃSKI;DOLNOŚLĄSKIE;0
210042;LUBAŃ;LUBAŃSKI;DOLNOŚLĄSKIE;10
210055;OLSZYNA;LUBAŃSKI;DOLNOŚLĄSKIE;0
210072;SIEKIERCZYN;LUBAŃSKI;DOLNOŚLĄSKIE;0
211011;LUBIN;LUBIŃSKI;DOLNOŚLĄSKIE;70
211022;LUBIN;LUBIŃSKI;DOLNOŚLĄSKIE;10
211032;RUDNA;LUBIŃSKI;DOLNOŚLĄSKIE;0
211044;ŚCINAWA;LUBIŃSKI;DOLNOŚLĄSKIE;0
211045;ŚCINAWA;LUBIŃSKI;DOLNOŚLĄSKIE;0
212014;GRYFÓW ŚLĄSKI;LWÓWECKI;DOLNOŚLĄSKIE;0
212015;GRYFÓW ŚLĄSKI;LWÓWECKI;DOLNOŚLĄSKIE;0
212025;LUBOMIERZ;LWÓWECKI;DOLNOŚLĄSKIE;0
212034;LWÓWEK ŚLĄSKI;LWÓWECKI;DOLNOŚLĄSKIE;10
212035;LWÓWEK ŚLĄSKI;LWÓWECKI;DOLNOŚLĄSKIE;0
212045;MIRSK;LWÓWECKI;DOLNOŚLĄSKIE;10
213012;CIESZKÓW;MILICKI;DOLNOŚLĄSKIE;10
213022;KROŚNICE;MILICKI;DOLNOŚLĄSKIE;0
213034;MILICZ;MILICKI;DOLNOŚLĄSKIE;10
213035;MILICZ;MILICKI;DOLNOŚLĄSKIE;10
214011;OLEŚNICA;OLEŚNICKI;DOLNOŚLĄSKIE;20
214032;DOBROSZYCE;OLEŚNICKI;DOLNOŚLĄSKIE;0
214062;OLEŚNICA;OLEŚNICKI;DOLNOŚLĄSKIE;10
214074;SYCÓW;OLEŚNICKI;DOLNOŚLĄSKIE;10
214075;SYCÓW;OLEŚNICKI;DOLNOŚLĄSKIE;0
214084;TWARDOGÓRA;OLEŚNICKI;DOLNOŚLĄSKIE;0
215011;OŁAWA;OŁAWSKI;DOLNOŚLĄSKIE;30
215034;JELCZ-LASKOWICE;OŁAWSKI;DOLNOŚLĄSKIE;10
215035;JELCZ-LASKOWICE;OŁAWSKI;DOLNOŚLĄSKIE;0
215042;OŁAWA;OŁAWSKI;DOLNOŚLĄSKIE;10
216014;CHOCIANÓW;POLKOWICKI;DOLNOŚLĄSKIE;0
216015;CHOCIANÓW;POLKOWICKI;DOLNOŚLĄSKIE;0
216022;GAWORZYCE;POLKOWICKI;DOLNOŚLĄSKIE;0
216044;POLKOWICE;POLKOWICKI;DOLNOŚLĄSKIE;20
216045;POLKOWICE;POLKOWICKI;DOLNOŚLĄSKIE;0
216054;PRZEMKÓW;POLKOWICKI;DOLNOŚLĄSKIE;0
217012;BORÓW;STRZELIŃSKI;DOLNOŚLĄSKIE;0
217022;KONDRATOWICE;STRZELIŃSKI;DOLNOŚLĄSKIE;0
217032;PRZEWORNO;STRZELIŃSKI;DOLNOŚLĄSKIE;0
217044;STRZELIN;STRZELIŃSKI;DOLNOŚLĄSKIE;0
217045;STRZELIN;STRZELIŃSKI;DOLNOŚLĄSKIE;0
217055;WIĄZÓW;STRZELIŃSKI;DOLNOŚLĄSKIE;0
218012;KOSTOMŁOTY;ŚREDZKI;DOLNOŚLĄSKIE;10
218022;MALCZYCE;ŚREDZKI;DOLNOŚLĄSKIE;10
218034;MIĘKINIA;ŚREDZKI;DOLNOŚLĄSKIE;0
218035;MIĘKINIA;ŚREDZKI;DOLNOŚLĄSKIE;10
218044;ŚRODA ŚLĄSKA;ŚREDZKI;DOLNOŚLĄSKIE;0
