TERYT gminy,gmina,powiat,województwo,Liczba osób przypisanych do gminy wg adresu zameldowania na pobyt stały,Liczba osób przypisanych do gminy wg adresu zamieszkania (dopisanych na wniosek)
201011,BOLESŁAWIEC,BOLESŁAWIECKI,DOLNOŚLĄSKIE,348,4
201022,BOLESŁAWIEC,BOLESŁAWIECKI,DOLNOŚLĄSKIE,139,1
201032,GROMADKA,BOLESŁAWIECKI,DOLNOŚLĄSKIE,34,
201044,NOWOGRODZIEC,BOLESŁAWIECKI,DOLNOŚLĄSKIE,29,2
201045,NOWOGRODZIEC,BOLESŁAWIECKI,DOLNOŚLĄSKIE,70,
201052,OSIECZNICA,BOLESŁAWIECKI,DOLNOŚLĄSKIE,59,1
201062,WARTA BOLESŁAWIECKA,BOLESŁAWIECKI,DOLNOŚLĄSKIE,75,1
202011,BIELAWA,DZIERŻONIOWSKI,DOLNOŚLĄSKIE,239,4
202021,DZIERŻONIÓW,DZIERŻONIOWSKI,DOLNOŚLĄSKIE,259,1
202034,PIESZYCE,DZIERŻONIOWSKI,DOLNOŚLĄSKIE,37,4
202035,PIESZYCE,DZIERŻONIOWSKI,DOLNOŚLĄSKIE,17,2
202041,PIŁAWA GÓRNA,DZIERŻONIOWSKI,DOLNOŚLĄSKIE,37,
202052,DZIERŻONIÓW,DZIERŻONIOWSKI,DOLNOŚLĄSKIE,47,
202062,ŁAGIEWNIKI,DZIERŻONIOWSKI,DOLNOŚLĄSKIE,35,3
202074,NIEMCZA,DZIERŻONIOWSKI,DOLNOŚLĄSKIE,27,1
202075,NIEMCZA,DZIERŻONIOWSKI,DOLNOŚLĄSKIE,16,
203011,GŁOGÓW,GŁOGOWSKI,DOLNOŚLĄSKIE,699,17
203022,GŁOGÓW,GŁOGOWSKI,DOLNOŚLĄSKIE,87,3
203032,JERZMANOWA,GŁOGOWSKI,DOLNOŚLĄSKIE,82,3
203042,KOTLA,GŁOGOWSKI,DOLNOŚLĄSKIE,32,
203052,PĘCŁAW,GŁOGOWSKI,DOLNOŚLĄSKIE,16,2
203062,ŻUKOWICE,GŁOGOWSKI,DOLNOŚLĄSKIE,31,1
204014,GÓRA,GÓROWSKI,DOLNOŚLĄSKIE,113,5
204015,GÓRA,GÓROWSKI,DOLNOŚLĄSKIE,58,
204022,JEMIELNO,GÓROWSKI,DOLNOŚLĄSKIE,16,2
204032,NIECHLÓW,GÓROWSKI,DOLNOŚLĄSKIE,34,1
204044,WĄSOSZ,GÓROWSKI,DOLNOŚLĄSKIE,23,2
204045,WĄSOSZ,GÓROWSKI,DOLNOŚLĄSKIE,33,
205011,JAWOR,JAWORSKI,DOLNOŚLĄSKIE,170,2
205024,BOLKÓW,JAWORSKI,DOLNOŚLĄSKIE,52,
205025,BOLKÓW,JAWORSKI,DOLNOŚLĄSKIE,32,1
205032,MĘCINKA,JAWORSKI,DOLNOŚLĄSKIE,30,1
205042,MŚCIWOJÓW,JAWORSKI,DOLNOŚLĄSKIE,26,3
205052,PASZOWICE,JAWORSKI,DOLNOŚLĄSKIE,31,1
205062,WĄDROŻE WIELKIE,JAWORSKI,DOLNOŚLĄSKIE,30,
206011,KARPACZ,KARKONOSKI,DOLNOŚLĄSKIE,70,10
206021,KOWARY,KARKONOSKI,DOLNOŚLĄSKIE,123,6
206031,PIECHOWICE,KARKONOSKI,DOLNOŚLĄSKIE,91,5
206041,SZKLARSKA PORĘBA,KARKONOSKI,DOLNOŚLĄSKIE,118,4
206052,JANOWICE WIELKIE,KARKONOSKI,DOLNOŚLĄSKIE,37,1
206062,JEŻÓW SUDECKI,KARKONOSKI,DOLNOŚLĄSKIE,95,2
206072,MYSŁAKOWICE,KARKONOSKI,DOLNOŚLĄSKIE,84,3
206082,PODGÓRZYN,KARKONOSKI,DOLNOŚLĄSKIE,82,3
206092,STARA KAMIENICA,KARKONOSKI,DOLNOŚLĄSKIE,41,3
207011,KAMIENNA GÓRA,KAMIENNOGÓRSKI,DOLNOŚLĄSKIE,147,3
207022,KAMIENNA GÓRA,KAMIENNOGÓRSKI,DOLNOŚLĄSKIE,61,2
207034,LUBAWKA,KAMIENNOGÓRSKI,DOLNOŚLĄSKIE,52,1
207035,LUBAWKA,KAMIENNOGÓRSKI,DOLNOŚLĄSKIE,33,2
