Okręg;Liczba komisji;Liczba uwzględnionych komisji;Kart przekazane do komisji;Uprawnionych do głosowania;Karty nieużyte;Karty wydane osobiście;Karty wydane pocztą;Karty wydane łącznie;Głosujący przez pełnomocnika;Głosujący z zaświadczeniem;Otrzymane koperty;Koperty bez deklaracji;Koperty z niepodpisaną deklaracją;Koperty bez koperty z głosem;Koperty z niezamnkiętą kopertą z głosem;Koperty z głosem dodane do urny;Karty wyjęte z urny;Karty wyjęte z kopert;Nieważne karty;Ważne karty;Nieważne głosy;Zbyt wiele Xów;Brak Xa;Wykreślona lista;Głosów ważnych łącznie;1 - Komitet Wyborczy Prawo i Sprawiedliwość;2 - Komitet Wyborczy Platforma Obywatelska RP;3 - Komitet Wyborczy Partia Razem;4 - Komitet Wyborczy KORWiN;5 - Komitet Wyborczy Polskie Stronnictwo Ludowe;6 - Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni;7 - Komitet Wyborczy Wyborców „Kukiz'15”;8 - Komitet Wyborczy Nowoczesna Ryszarda Petru;9 - Komitet Wyborczy Wyborców JOW Bezpartyjni;10 - Komitet Wyborczy Wyborców Zbigniewa Stonogi;11 - Komitet Wyborczy Wyborców  Ruch Społeczny Rzeczypospolitej Polskiej;12 - Komitet Wyborczy Wyborców Zjednoczeni dla Śląska;13 - Komitet Wyborczy Samoobrona;14 - Komitet Wyborczy Wyborców Grzegorza Brauna „Szczęść Boże!”;15 - Komitet Wyborczy Kongres Nowej Prawicy;16 - Komitet Wyborczy Wyborców Mniejszość Niemiecka;16 - Komitet Wyborczy Wyborców Obywatele do Parlamentu
1;723;723;604430;787416;236726;367699;185;367884;181;2862;178;3;0;0;0;175;367811;175;15;367796;11017;8057;2740;0;356779;127370;90060;13003;15427;13886;37298;34229;25506;0;0;0;0;0;0;0;0;0
2;535;535;412999;539545;171140;241857;131;241988;212;2695;124;5;1;2;0;116;241935;116;75;241860;7765;5550;1855;0;234095;72929;76424;7984;10075;7448;20517;20634;15544;2540;0;0;0;0;0;0;0;0
3;713;713;747929;988061;213715;534226;477;534703;251;7658;458;15;0;0;0;443;534492;443;119;534373;11002;7316;3423;0;523371;163323;159582;22059;27341;13604;31932;45726;55756;0;2779;0;0;0;1269;0;0;0
4;842;842;611440;804077;226666;384763;250;385013;215;2786;240;8;1;3;0;229;384951;229;7;384944;10667;7800;2577;0;374277;113024;110948;14062;17002;22701;37583;29080;27334;0;2543;0;0;0;0;0;0;0
5;825;825;640432;832502;266665;373762;137;373899;259;3481;131;4;0;1;1;125;373834;125;11;373823;11313;8020;2944;0;362510;121703;93432;13227;14134;24476;39003;30159;23563;0;2041;0;0;772;0;0;0;0
6;989;989;737168;959177;238615;498733;237;498970;388;4231;231;7;0;0;0;224;498858;224;9;498849;11129;7860;2908;0;487720;232014;80892;13395;24376;37733;29172;45448;22158;0;0;599;0;580;1353;0;0;0
7;923;923;595109;771648;245620;349486;117;349603;352;2414;110;5;0;0;0;105;349542;105;22;349520;9834;7105;2515;0;339686;163122;41823;8116;14835;38689;24161;35567;12745;0;0;0;0;628;0;0;0;0
8;720;720;614097;800699;256796;357298;175;357473;202;2549;164;3;2;4;1;154;357392;154;42;357350;11132;8172;2733;0;346218;97877;97676;13825;17274;17743;34695;30284;34586;0;2258;0;0;0;0;0;0;0
9;534;534;504683;642203;140248;364428;259;364687;194;2949;248;11;3;0;5;230;364482;230;88;364394;5330;3366;1803;0;359064;107350;112333;16627;17163;9710;37615;25992;32274;0;0;0;0;0;0;0;0;0
10;522;522;448178;586015;153616;294558;79;294637;220;1363;73;4;0;1;0;68;294576;68;47;294529;8808;6537;1994;0;285721;134134;44173;8747;11160;21364;21352;28808;15983;0;0;0;0;0;0;0;0;0
