Okręg;Liczba komisji;Liczba uwzględnionych komisji;Kart przekazane do komisji;Uprawnionych do głosowania;Karty nieużyte;Karty wydane osobiście;Karty wydane pocztą;Karty wydane łącznie;Głosujący przez pełnomocnika;Głosujący z zaświadczeniem;Otrzymane koperty;Koperty bez deklaracji;Koperty z niepodpisaną deklaracją;Koperty bez koperty z głosem;Koperty z niezamnkiętą kopertą z głosem;Koperty z głosem dodane do urny;Karty wyjęte z urny;Karty wyjęte z kopert;Nieważne karty;Ważne karty;Nieważne głosy;Zbyt wiele Xów;Brak Xa;Wykreślona lista;Głosów ważnych łącznie;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19;KOMITET WYBORCZY AKCJA ZAWIEDZIONYCH EMERYTÓW RENCISTÓW - ZPOW-601-21/19;KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19;KOMITET WYBORCZY PRAWICA - ZPOW-601-20/19;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19;KOMITET WYBORCZY SKUTECZNI PIOTRA LIROYA-MARCA - ZPOW-601-17/19;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19;KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19;KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA - ZPOW-601-15/19
1;0;0;697907;757942;259666;438239;37;438276;490;5597;35;6;1;0;0;28;438194;28;84;438110;5674;3655;2019;0;432436;108191;0;25319;31006;0;183364;0;71061;13495;0
2;0;0;470923;514042;183904;287009;44;287053;417;4854;42;2;1;0;0;39;287015;39;37;286978;3976;2688;1288;0;283002;90812;0;15346;20528;0;114728;0;34957;6631;0
3;0;0;895625;1001757;235423;660182;82;660264;630;8921;80;2;0;0;0;78;660117;78;90;660027;5572;3230;2342;0;654455;214629;0;48775;42269;0;226915;0;100843;21024;0
4;0;0;712403;778558;245980;466427;77;466504;480;3538;75;6;0;0;0;69;466407;69;13;466394;6412;4389;2023;0;459982;142844;0;32406;41497;0;167550;0;69763;5922;0
5;0;0;742540;813079;284127;458383;64;458447;575;5302;64;0;0;0;0;64;458408;64;63;458345;6015;3914;2101;0;452330;119526;0;28625;49225;0;182648;0;67076;5230;0
6;0;0;862523;938157;291363;571149;69;571218;952;4939;69;4;0;1;0;64;571138;64;34;571104;5507;3176;2331;0;565597;109185;0;40012;51474;0;313284;0;44152;7490;0
7;0;0;690813;747526;284118;406690;28;406718;782;3251;27;2;0;0;0;25;406678;25;18;406660;5342;3530;1812;0;401318;59401;0;23439;47604;0;238802;0;27404;4668;0
8;0;0;713950;776935;269383;444548;51;444599;465;3003;51;3;0;0;0;48;444492;48;64;444428;6511;4369;2142;0;437917;136955;0;31490;50943;0;150188;0;68341;0;0
9;0;0;566005;612800;147178;418814;83;418897;414;2941;81;2;1;0;0;78;418745;78;106;418639;3099;1632;1467;0;415540;148830;0;27627;18828;0;136731;0;83524;0;0
10;0;0;521078;567583;170181;350868;21;350889;399;1725;20;0;0;0;0;20;350848;20;16;350832;4506;2973;1533;0;346326;54160;0;23427;36151;0;194658;0;37930;0;0
