teryt;community_name;county_name;voivodship_name;number_of_commissions;eligible_voters;cards_given_out;valid_cards;valid_votes;Komitet Wyborczy Platforma Obywatelska RP;Komitet Wyborczy Prawica;Komitet Wyborczy Polskie Stronnictwo Ludowe;Komitet Wyborczy Prawo i Sprawiedliwość;Komitet Wyborczy Ruch Palikota;Komitet Wyborczy Nowa Prawica - Janusza Korwin-Mikke;Komitet Wyborczy Sojusz Lewicy Demokratycznej;Komitet Wyborczy Nasz Dom Polska-Samoobrona Andrzeja Leppera;Komitet Wyborczy Polska Jest Najważniejsza;Komitet Wyborczy Polska Partia Pracy - Sierpień 80;Komitet Wyborczy Wyborców Mniejszość Niemiecka
201022;Bolesławiec, gm.;bolesławiecki, pow.;dolnośląskie;9;10560;4214;4213;3961;1632;0;359;1043;464;0;368;0;68;27;0
201011;Bolesławiec, m.;bolesławiecki, pow.;dolnośląskie;18;32669;15923;15911;15301;7336;0;432;3496;1867;0;1815;0;276;79;0
201032;Gromadka, gm.;bolesławiecki, pow.;dolnośląskie;4;4480;1775;1775;1628;577;0;169;513;182;0;158;0;21;8;0
201043;Nowogrodziec, gm.;bolesławiecki, pow.;dolnośląskie;12;11907;3910;3908;3622;1325;0;430;1048;425;0;299;0;70;25;0
201052;Osiecznica, gm.;bolesławiecki, pow.;dolnośląskie;7;5283;2022;2022;1862;751;0;126;416;287;0;234;0;38;10;0
201062;Warta Bolesławiecka, gm.;bolesławiecki, pow.;dolnośląskie;5;6557;2394;2393;2221;895;0;163;609;253;0;245;0;44;12;0
203022;Głogów, gm.;głogowski, pow.;dolnośląskie;4;4872;2342;2341;2185;713;0;133;775;242;0;247;0;54;21;0
203011;Głogów, m.;głogowski, pow.;dolnośląskie;37;55592;28488;28414;27049;10176;0;634;8540;2820;0;4108;0;596;175;0
203032;Jerzmanowa, gm.;głogowski, pow.;dolnośląskie;4;3101;1582;1582;1485;497;0;100;466;143;0;246;0;27;6;0
203042;Kotla, gm.;głogowski, pow.;dolnośląskie;5;3314;1208;1207;1092;408;0;66;337;108;0;142;0;22;9;0
203052;Pęcław, gm.;głogowski, pow.;dolnośląskie;2;1789;661;661;604;210;0;63;202;57;0;55;0;11;6;0
203062;Żukowice, gm.;głogowski, pow.;dolnośląskie;2;2783;1050;1050;982;277;0;139;297;152;0;92;0;16;9;0
205023;Bolków, gm.;jaworski, pow.;dolnośląskie;13;8940;3474;3473;3261;1120;0;273;796;345;0;666;0;44;17;0
205011;Jawor, m.;jaworski, pow.;dolnośląskie;14;20097;9061;9060;8658;3599;0;240;2865;889;0;872;0;135;58;0
205032;Męcinka, gm.;jaworski, pow.;dolnośląskie;4;3857;1365;1364;1299;374;0;122;563;107;0;111;0;14;8;0
205042;Mściwojów, gm.;jaworski, pow.;dolnośląskie;3;3291;1342;1342;1232;449;0;148;345;137;0;122;0;17;14;0
205052;Paszowice, gm.;jaworski, pow.;dolnośląskie;2;3195;1165;1165;1075;346;0;121;389;98;0;103;0;11;7;0
205062;Wądroże Wielkie, gm.;jaworski, pow.;dolnośląskie;3;3232;1223;1209;1141;400;0;197;284;143;0;103;0;10;4;0
206052;Janowice Wielkie, gm.;jeleniogórski, pow.;dolnośląskie;5;3596;1478;1476;1351;687;0;66;296;153;0;131;0;9;9;0
206062;Jeżów Sudecki, gm.;jeleniogórski, pow.;dolnośląskie;4;5409;2450;2450;2324;1090;0;156;432;288;0;301;0;29;28;0
206011;Karpacz, m.;jeleniogórski, pow.;dolnośląskie;4;4429;2203;2204;2106;1115;0;65;321;243;0;326;0;28;8;0
206021;Kowary, m.;jeleniogórski, pow.;dolnośląskie;11;9642;4272;4264;4012;1681;0;118;741;521;0;864;0;58;29;0
206072;Mysłakowice, gm.;jeleniogórski, pow.;dolnośląskie;7;8164;3487;3486;3298;1342;0;184;678;365;0;666;0;46;17;0
206031;Piechowice, m.;jeleniogórski, pow.;dolnośląskie;4;5353;2494;2493;2380;1072;0;103;552;325;0;285;0;29;14;0
206082;Podgórzyn, gm.;jeleniogórski, pow.;dolnośląskie;7;6569;2823;2823;2686;1256;0;142;471;329;0;437;0;42;9;0
206092;Stara Kamienica, gm.;jeleniogórski, pow.;dolnośląskie;4;4243;1651;1650;1525;633;0;134;322;221;0;182;0;22;11;0
206041;Szklarska Poręba, m.;jeleniogórski, pow.;dolnośląskie;7;5860;2741;2741;2640;1279;0;88;588;332;0;298;0;40;15;0
207011;Kamienna Góra, m.;kamiennogórski, pow.;dolnośląskie;14;17045;7728;7726;7310;3353;0;173;1940;937;0;795;0;85;27;0
207022;Kamienna Góra, gm.;kamiennogórski, pow.;dolnośląskie;8;6909;2980;2979;2802;1208;0;187;780;338;0;218;0;49;22;0
207033;Lubawka, gm.;kamiennogórski, pow.;dolnośląskie;7;9349;4199;4190;3971;1549;0;131;783;653;0;791;0;41;23;0
207042;Marciszów, gm.;kamiennogórski, pow.;dolnośląskie;7;3730;1457;1456;1358;465;0;346;250;144;0;130;0;16;7;0
209011;Chojnów, m.;legnicki, pow.;dolnośląskie;7;11545;4711;4711;4483;1887;0;149;1246;561;0;523;0;74;43;0
209022;Chojnów, gm.;legnicki, pow.;dolnośląskie;7;7570;2615;2615;2436;771;0;335;735;270;0;263;0;46;16;0
209032;Krotoszyce, gm.;legnicki, pow.;dolnośląskie;3;2496;1076;1076;1011;311;0;88;363;119;0;106;0;18;6;0
209042;Kunice, gm.;legnicki, pow.;dolnośląskie;5;4574;2223;2222;2100;922;0;112;484;263;0;253;0;51;15;0
209052;Legnickie Pole, gm.;legnicki, pow.;dolnośląskie;6;3762;1599;1599;1496;448;0;182;446;139;0;238;0;29;14;0
209062;Miłkowice, gm.;legnicki, pow.;dolnośląskie;8;5055;2178;2177;2059;756;0;183;550;261;0;223;0;73;13;0
209073;Prochowice, gm.;legnicki, pow.;dolnośląskie;6;6000;2371;2371;2205;991;0;202;588;222;0;146;0;39;17;0
209082;Ruja, gm.;legnicki, pow.;dolnośląskie;3;2148;710;710;672;194;0;81;183;92;0;96;0;18;8;0
210033;Leśna, gm.;lubański, pow.;dolnośląskie;8;8374;3234;3234;3032;1165;0;270;698;420;0;413;0;38;28;0
210042;Lubań, gm.;lubański, pow.;dolnośląskie;7;5165;2041;2041;1892;694;0;325;440;212;0;174;0;29;18;0
210011;Lubań, m.;lubański, pow.;dolnośląskie;15;18341;8329;8329;7946;3608;0;248;1936;1016;0;941;0;142;55;0
210053;Olszyna, gm.;lubański, pow.;dolnośląskie;4;5360;2086;2086;1956;746;0;139;416;239;0;372;0;29;15;0
210062;Platerówka, gm.;lubański, pow.;dolnośląskie;1;1315;559;559;512;158;0;71;178;42;0;51;0;10;2;0
210072;Siekierczyn, gm.;lubański, pow.;dolnośląskie;4;4069;1774;1775;1665;614;0;137;441;251;0;180;0;27;15;0
210021;Świeradów-Zdrój, m.;lubański, pow.;dolnośląskie;5;3866;1723;1723;1638;765;0;81;355;220;0;182;0;24;11;0
211011;Lubin, m.;lubiński, pow.;dolnośląskie;51;60930;31696;31682;30252;9113;0;1493;10244;3290;0;5219;0;732;161;0
211022;Lubin, gm.;lubiński, pow.;dolnośląskie;10;10478;5084;5083;4771;1343;0;388;1478;549;0;895;0;98;20;0
211032;Rudna, gm.;lubiński, pow.;dolnośląskie;5;5941;2699;2699;2492;593;0;255;903;241;0;453;0;40;7;0
211043;Ścinawa, gm.;lubiński, pow.;dolnośląskie;7;8379;3575;3575;3322;924;0;328;1314;275;0;404;0;52;25;0
212013;Gryfów Śląski, gm.;lwówecki, pow.;dolnośląskie;7;8333;3191;3153;3002;1158;0;187;893;322;0;385;0;45;12;0
212023;Lubomierz, gm.;lwówecki, pow.;dolnośląskie;6;4916;1805;1805;1676;690;0;214;405;167;0;161;0;24;15;0
212033;Lwówek Śląski, gm.;lwówecki, pow.;dolnośląskie;13;14344;5711;5709;5357;2422;0;338;1285;661;0;520;0;88;43;0
212043;Mirsk, gm.;lwówecki, pow.;dolnośląskie;6;7278;2707;2701;2509;827;0;385;672;289;0;267;0;51;18;0
212053;Wleń, gm.;lwówecki, pow.;dolnośląskie;6;3706;1545;1545;1443;548;0;160;366;226;0;110;0;19;14;0
216013;Chocianów, gm.;polkowicki, pow.;dolnośląskie;10;10329;4604;4602;4294;1108;0;317;1905;385;0;484;0;72;23;0
216022;Gaworzyce, gm.;polkowicki, pow.;dolnośląskie;4;3051;1377;1377;1258;330;0;134;432;149;0;164;0;31;18;0
216032;Grębocice, gm.;polkowicki, pow.;dolnośląskie;4;4085;1630;1630;1506;407;0;156;544;123;0;240;0;21;15;0
216043;Polkowice, gm.;polkowicki, pow.;dolnośląskie;15;20679;10071;10024;9338;2912;0;379;3194;1005;0;1604;0;184;60;0
216053;Przemków, gm.;polkowicki, pow.;dolnośląskie;7;7083;2739;2741;2558;848;0;186;858;262;0;334;0;52;18;0
