Nr okr.;TERYT;Gmina;L. obw.;Liczba wyborców;Otrzymane karty;Niewykorzystane karty;Wydane karty;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia;Pakiety wyborcze;Koperty zwrotne;Koperty  bez oświadczenia;Niepodpisane oświadczenie;Koperty zwrotne bez koperty na kartę do głosowania;Niezaklejona koperta na kartę do głosowania;Koperty na kartę do głosowania wrzucone do urny;Karty wyjęte z urny;Karty wyjęte z kopert na karty do głosowania;Karty nieważne;Karty ważne;Głosy nieważne;w tym: z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list;w tym: z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym: z powodu postawienia znaku „x” wyłącznie obok nazwiska kandydata z listy, której rejestracja została unieważniona;Głosy ważne;1 - Komitet Wyborczy Prawo i Sprawiedliwość;2 - Komitet Wyborczy Platforma Obywatelska RP;3 - Komitet Wyborczy Partia Razem;4 - Komitet Wyborczy KORWiN;5 - Komitet Wyborczy Polskie Stronnictwo Ludowe;6 - Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni;7 - Komitet Wyborczy Wyborców „Kukiz'15”;8 - Komitet Wyborczy Nowoczesna Ryszarda Petru;9 - Komitet Wyborczy Wyborców JOW Bezpartyjni;10 - Komitet Wyborczy Wyborców Zbigniewa Stonogi;11 - Komitet Wyborczy Wyborców  Ruch Społeczny Rzeczypospolitej Polskiej;12 - Komitet Wyborczy Wyborców Zjednoczeni dla Śląska;13 - Komitet Wyborczy Samoobrona;14 - Komitet Wyborczy Wyborców Grzegorza Brauna „Szczęść Boże!”;15 - Komitet Wyborczy Kongres Nowej Prawicy;16 - Komitet Wyborczy Wyborców Mniejszość Niemiecka;16 - Komitet Wyborczy Wyborców Obywatele do Parlamentu
1;020101;m. Bolesławiec;24;31,388;24,221;8,858;15,363;15;100;4;4;-;-;-;-;4;15,365;4;2;15,363;358;246;103;-;15,005;4,579;4,416;520;969;425;1,751;1,154;1,191;;;;;;;;;
1;020102;gm. Bolesławiec;11;10,953;8,338;3,622;4,716;-;33;1;1;-;-;-;-;1;4,715;1;-;4,715;154;105;49;-;4,561;1,591;1,090;140;292;227;338;502;381;;;;;;;;;
1;020103;gm. Gromadka;4;4,509;3,440;1,573;1,867;-;8;-;-;-;-;-;-;-;1,866;-;-;1,866;107;77;19;-;1,759;796;382;60;48;98;149;164;62;;;;;;;;;
1;020104;gm. Nowogrodziec;12;11,915;9,121;4,869;4,252;2;19;-;-;-;-;-;-;-;4,252;-;-;4,252;221;171;48;-;4,031;1,595;834;153;245;208;227;531;238;;;;;;;;;
1;020105;gm. Osiecznica;7;5,456;4,155;2,019;2,136;-;22;-;-;-;-;-;-;-;2,136;-;-;2,136;98;78;18;-;2,038;609;512;90;149;102;197;246;133;;;;;;;;;
1;020106;gm. Warta Bolesławiecka;6;6,705;5,098;2,537;2,561;3;30;3;3;-;-;-;-;3;2,564;3;-;2,564;87;61;22;-;2,477;962;584;90;119;110;203;277;132;;;;;;;;;
2;020201;m. Bielawa;22;25,042;19,148;8,190;10,958;4;42;25;25;-;-;1;-;24;10,978;24;-;10,978;353;252;88;-;10,625;3,393;2,857;421;457;99;1,620;915;726;137;;;;;;;;
2;020202;m. Dzierżoniów;23;27,607;21,136;7,521;13,615;12;60;5;5;-;-;-;-;5;13,619;5;72;13,547;289;197;74;-;13,258;4,186;4,426;447;498;158;1,244;1,075;1,114;110;;;;;;;;
2;020203;m. Pieszyce;8;7,670;5,840;2,657;3,183;6;20;-;-;-;-;-;-;-;3,183;-;-;3,183;128;85;43;-;3,055;1,119;864;95;149;214;205;226;157;26;;;;;;;;
2;020204;m. Piława Górna;3;5,279;4,031;1,870;2,161;9;5;-;-;-;-;-;-;-;2,161;-;-;2,161;80;53;27;-;2,081;779;485;98;108;41;135;215;207;13;;;;;;;;
2;020205;gm. Dzierżoniów;13;7,666;5,900;2,541;3,359;-;13;2;2;-;-;1;-;1;3,356;1;-;3,356;153;107;32;-;3,203;1,230;812;113;118;98;201;405;194;32;;;;;;;;
2;020206;gm. Łagiewniki;6;6,085;4,619;2,103;2,516;1;21;1;1;-;-;-;-;1;2,513;1;-;2,513;109;77;29;-;2,404;1,002;562;88;102;100;152;238;137;23;;;;;;;;
2;020207;gm. Niemcza;6;4,750;3,600;1,664;1,936;1;51;-;-;-;-;-;-;-;1,936;-;-;1,936;77;47;28;-;1,859;625;492;55;79;111;155;190;144;8;;;;;;;;
1;020301;m. Głogów;38;53,869;41,733;13,914;27,819;6;140;12;12;-;-;-;-;12;27,822;12;2;27,820;664;518;130;-;27,156;10,653;7,307;979;876;369;3,101;2,121;1,750;;;;;;;;;
1;020302;gm. Głogów;4;5,190;3,959;1,320;2,639;1;22;-;-;-;-;-;-;-;2,639;-;-;2,639;113;90;23;-;2,526;1,082;564;110;110;70;205;199;186;;;;;;;;;
1;020303;gm. Jerzmanowa;4;3,563;2,710;777;1,933;1;5;-;-;-;-;-;-;-;1,933;-;-;1,933;62;52;9;-;1,871;733;399;76;92;77;190;155;149;;;;;;;;;
1;020304;gm. Kotla;5;3,410;2,731;1,372;1,359;-;6;-;-;-;-;-;-;-;1,358;-;-;1,358;63;50;9;-;1,295;580;294;56;30;44;119;106;66;;;;;;;;;
1;020305;gm. Pęcław;2;1,779;1,350;602;748;-;7;1;1;-;-;-;-;1;749;1;-;749;41;35;3;-;708;341;123;19;18;94;38;61;14;;;;;;;;;
1;020306;gm. Żukowice;2;2,768;2,110;963;1,147;3;3;-;-;-;-;-;-;-;1,147;-;-;1,147;50;43;7;-;1,097;444;267;30;35;53;86;139;43;;;;;;;;;
3;020401;gm. Góra;14;16,082;12,249;5,781;6,468;1;40;2;2;-;-;-;-;2;6,466;2;-;6,466;222;145;77;-;6,244;1,981;2,270;196;198;403;343;538;262;;46;;;;7;;;
3;020402;gm. Jemielno;3;2,479;1,900;1,049;850;3;6;-;-;-;-;-;-;-;851;-;-;851;37;23;14;-;814;293;155;11;21;172;51;78;26;;7;;;;-;;;
3;020403;gm. Niechlów;4;3,936;3,050;1,728;1,322;-;2;3;3;-;-;-;-;3;1,325;3;-;1,325;72;60;12;-;1,253;492;261;51;61;160;62;106;49;;8;;;;3;;;
3;020404;gm. Wąsosz;5;5,865;4,500;2,377;2,123;-;4;3;3;-;-;-;-;3;2,126;3;-;2,126;102;75;26;-;2,024;706;472;72;71;195;144;241;109;;10;;;;4;;;
1;020501;m. Jawor;14;19,624;15,101;5,972;9,129;3;30;7;7;-;-;-;-;7;9,136;7;1;9,135;204;144;55;-;8,931;3,487;2,014;300;416;260;819;1,014;621;;;;;;;;;
1;020502;gm. Bolków;13;8,691;6,682;3,288;3,394;2;26;3;3;-;-;-;-;3;3,397;3;-;3,397;145;120;25;-;3,252;952;704;117;126;457;387;323;186;;;;;;;;;
1;020503;gm. Męcinka;4;3,939;3,010;1,366;1,644;-;6;-;-;-;-;-;-;-;1,644;-;-;1,644;56;48;8;-;1,588;775;240;35;59;131;110;161;77;;;;;;;;;
1;020504;gm. Mściwojów;3;3,272;2,510;1,138;1,372;-;5;-;-;-;-;-;-;-;1,372;-;-;1,372;49;39;8;-;1,323;429;289;45;46;190;122;130;72;;;;;;;;;
1;020505;gm. Paszowice;2;3,201;2,440;1,113;1,327;-;2;-;-;-;-;-;-;-;1,327;-;-;1,327;39;32;7;-;1,288;523;232;36;77;115;92;123;90;;;;;;;;;
1;020506;gm. Wądroże Wielkie;3;3,299;2,512;1,206;1,306;-;33;-;-;-;-;-;-;-;1,306;-;-;1,306;57;44;12;-;1,249;406;227;41;32;260;77;149;57;;;;;;;;;
1;020601;m. Karpacz;7;4,424;3,290;1,111;2,179;2;234;5;5;-;-;-;-;5;2,184;5;-;2,184;40;25;14;-;2,144;404;815;97;128;95;226;155;224;;;;;;;;;
1;020602;m. Kowary;11;9,068;7,055;3,168;3,887;-;26;2;2;-;-;-;-;2;3,889;2;-;3,889;155;112;43;-;3,734;999;1,229;179;182;117;376;345;307;;;;;;;;;
1;020603;m. Piechowice;4;5,246;4,000;1,543;2,457;4;15;-;-;-;-;-;-;-;2,455;-;-;2,455;72;47;25;-;2,383;632;749;94;141;108;211;221;227;;;;;;;;;
1;020604;m. Szklarska Poręba;6;5,506;4,142;1,549;2,593;1;169;-;-;-;-;-;-;-;2,593;-;-;2,593;66;36;30;-;2,527;643;842;123;90;104;268;232;225;;;;;;;;;
1;020605;gm. Janowice Wielkie;5;3,485;2,703;1,165;1,538;2;27;1;1;-;-;-;-;1;1,539;1;-;1,539;66;47;19;-;1,473;407;484;74;45;54;119;127;163;;;;;;;;;
1;020606;gm. Jeżów Sudecki;4;5,617;4,290;1,669;2,621;-;17;3;3;-;-;-;-;3;2,620;3;-;2,620;64;40;24;-;2,556;660;848;106;93;109;225;178;337;;;;;;;;;
1;020607;gm. Mysłakowice;7;8,183;6,238;2,611;3,627;2;24;2;2;-;-;-;-;2;3,629;2;-;3,629;147;96;51;-;3,482;977;1,064;156;144;189;236;352;364;;;;;;;;;
1;020608;gm. Podgórzyn;7;6,628;5,038;2,033;3,005;4;36;2;2;-;-;-;-;2;3,007;2;-;3,007;95;57;38;-;2,912;658;826;110;99;484;225;246;264;;;;;;;;;
1;020609;gm. Stara Kamienica;4;4,205;3,186;1,455;1,731;1;10;-;-;-;-;-;-;-;1,730;-;-;1,730;45;34;11;-;1,685;482;502;73;65;133;131;180;119;;;;;;;;;
1;020701;m. Kamienna Góra;12;16,272;12,599;5,284;7,315;3;36;4;4;-;-;-;-;4;7,317;4;-;7,317;227;156;55;-;7,090;2,259;2,410;261;254;105;694;641;466;;;;;;;;;
1;020702;gm. Kamienna Góra;8;7,013;5,332;2,195;3,137;-;16;1;1;-;-;-;-;1;3,138;1;-;3,138;141;104;35;-;2,997;1,028;935;121;109;89;175;355;185;;;;;;;;;
1;020703;gm. Lubawka;7;9,124;6,960;2,765;4,195;5;27;-;-;-;-;-;-;-;4,195;-;-;4,195;179;144;33;-;4,016;1,115;1,485;142;177;80;464;319;234;;;;;;;;;
