Nr okr.;Siedziba OKW;L. obw.;Liczba wyborców;Otrzymane karty;Niewykorzystane karty;Wydane karty;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia;Pakiety wyborcze;Koperty zwrotne;Koperty  bez oświadczenia;Niepodpisane oświadczenie;Koperty zwrotne bez koperty na kartę do głosowania;Niezaklejona koperta na kartę do głosowania;Koperty na kartę do głosowania wrzucone do urny;Karty wyjęte z urny;Karty wyjęte z kopert na karty do głosowania;Karty nieważne;Karty ważne;Głosy nieważne;w tym: z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list;w tym: z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym: z powodu postawienia znaku „x” wyłącznie obok nazwiska kandydata z listy, której rejestracja została unieważniona;Głosy ważne;1 - Komitet Wyborczy Prawo i Sprawiedliwość;2 - Komitet Wyborczy Platforma Obywatelska RP;3 - Komitet Wyborczy Partia Razem;4 - Komitet Wyborczy KORWiN;5 - Komitet Wyborczy Polskie Stronnictwo Ludowe;6 - Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni;7 - Komitet Wyborczy Wyborców „Kukiz'15”;8 - Komitet Wyborczy Nowoczesna Ryszarda Petru;9 - Komitet Wyborczy Wyborców JOW Bezpartyjni;10 - Komitet Wyborczy Wyborców Zbigniewa Stonogi;11 - Komitet Wyborczy Wyborców  Ruch Społeczny Rzeczypospolitej Polskiej;12 - Komitet Wyborczy Wyborców Zjednoczeni dla Śląska;13 - Komitet Wyborczy Samoobrona;14 - Komitet Wyborczy Wyborców Grzegorza Brauna „Szczęść Boże!”;15 - Komitet Wyborczy Kongres Nowej Prawicy;16 - Komitet Wyborczy Wyborców Mniejszość Niemiecka;16 - Komitet Wyborczy Wyborców Obywatele do Parlamentu
1;Legnica;723;787,416;604,430;236,726;367,699;181;2,862;185;178;3;-;-;-;175;367,811;175;15;367,796;11,017;8,057;2,740;-;356,779;127,370;90,060;13,003;15,427;13,886;37,298;34,229;25,506;;;;;;;;;
2;Wałbrzych;535;539,545;412,999;171,140;241,857;212;2,695;131;124;5;1;2;-;116;241,935;116;75;241,860;7,765;5,550;1,855;-;234,095;72,929;76,424;7,984;10,075;7,448;20,517;20,634;15,544;2,540;;;;;;;;
3;Wrocław;713;988,061;747,929;213,715;534,226;251;7,658;477;458;15;-;-;-;443;534,492;443;119;534,373;11,002;7,316;3,423;-;523,371;163,323;159,582;22,059;27,341;13,604;31,932;45,726;55,756;;2,779;;;;1,269;;;
4;Bydgoszcz;842;804,077;611,440;226,666;384,763;215;2,786;250;240;8;1;3;-;229;384,951;229;7;384,944;10,667;7,800;2,577;-;374,277;113,024;110,948;14,062;17,002;22,701;37,583;29,080;27,334;;2,543;;;;;;;
5;Toruń;825;832,502;640,432;266,665;373,762;259;3,481;137;131;4;-;1;1;125;373,834;125;11;373,823;11,313;8,020;2,944;-;362,510;121,703;93,432;13,227;14,134;24,476;39,003;30,159;23,563;;2,041;;;772;;;;
6;Lublin;989;959,177;737,168;238,615;498,733;388;4,231;237;231;7;-;-;-;224;498,858;224;9;498,849;11,129;7,860;2,908;-;487,720;232,014;80,892;13,395;24,376;37,733;29,172;45,448;22,158;;;599;;580;1,353;;;
7;Chełm;923;771,648;595,109;245,620;349,486;352;2,414;117;110;5;-;-;-;105;349,542;105;22;349,520;9,834;7,105;2,515;-;339,686;163,122;41,823;8,116;14,835;38,689;24,161;35,567;12,745;;;;;628;;;;
8;Zielona Góra;720;800,699;614,097;256,796;357,298;202;2,549;175;164;3;2;4;1;154;357,392;154;42;357,350;11,132;8,172;2,733;-;346,218;97,877;97,676;13,825;17,274;17,743;34,695;30,284;34,586;;2,258;;;;;;;
9;Łódź;534;642,203;504,683;140,248;364,428;194;2,949;259;248;11;3;-;5;230;364,482;230;88;364,394;5,330;3,366;1,803;-;359,064;107,350;112,333;16,627;17,163;9,710;37,615;25,992;32,274;;;;;;;;;
10;Piotrków Trybunalski;522;586,015;448,178;153,616;294,558;220;1,363;79;73;4;-;1;-;68;294,576;68;47;294,529;8,808;6,537;1,994;-;285,721;134,134;44,173;8,747;11,160;21,364;21,352;28,808;15,983;;;;;;;;;
11;Sieradz;802;786,549;586,638;205,441;381,193;243;2,009;135;129;6;-;-;-;123;381,239;123;34;381,205;11,460;7,771;3,355;-;369,745;147,623;78,314;13,077;15,171;29,044;30,256;32,973;19,681;;1,905;;;712;989;;;
12;Kraków I (południe);442;514,765;393,538;113,315;280,218;182;1,387;186;183;3;1;1;-;179;280,333;179;2;280,331;8,754;6,973;1,480;-;271,577;133,213;55,454;8,840;12,089;8,226;14,473;23,551;15,731;;;;;;;;;
13;Kraków II (północ);838;938,869;721,341;169,331;551,861;340;10,131;536;523;15;14;-;1;506;552,207;506;75;552,132;9,364;6,058;2,928;-;542,768;209,607;133,558;21,053;34,446;14,644;34,643;39,379;52,822;;;;;;1,372;1,244;;
14;Nowy Sącz;628;614,295;470,611;150,094;320,515;242;4,539;133;128;2;-;-;-;126;320,559;126;-;320,559;10,098;7,387;2,472;-;310,461;188,010;43,309;6,627;13,379;12,929;7,924;24,318;11,468;;1,606;;;;;891;;
15;Tarnów;559;579,603;444,916;144,437;300,476;227;1,745;150;146;3;2;-;-;141;300,553;141;10;300,543;8,902;6,534;2,069;-;291,641;151,623;42,887;7,082;13,766;23,552;9,933;28,005;13,233;;;;;;906;654;;
16;Płock;686;671,219;513,372;203,120;310,251;218;1,544;97;93;1;1;-;-;91;310,269;91;12;310,257;10,055;7,148;2,731;-;300,202;131,431;49,353;10,062;12,214;31,994;24,440;25,257;15,451;;;;;;;;;
17;Radom;532;574,038;438,720;155,245;283,469;209;1,556;105;98;2;-;-;-;96;283,500;96;14;283,486;8,144;5,766;2,158;-;275,342;130,758;48,332;7,203;10,770;25,933;13,258;23,149;13,233;;2,050;;;;;656;;
18;Siedlce;823;763,101;583,062;197,279;385,783;292;2,414;149;144;7;1;-;-;136;385,858;136;5;385,853;10,613;7,023;3,267;-;375,240;191,733;50,858;9,964;16,332;38,396;16,327;31,378;17,386;1,045;;582;;;1,239;;;
19;Warszawa I (miasto);1,137;1,561,289;1,255,857;179,108;1,076,664;501;24,047;36,989;31,815;1,775;276;28;57;30,068;1,106,006;30,229;577;1,105,429;10,214;5,753;3,827;-;1,095,215;327,342;301,672;60,663;67,700;7,882;93,666;84,937;146,629;;;2,760;;;;;;1,964
20;Warszawa II (okręg);668;832,675;642,015;142,518;499,446;259;4,911;384;375;13;-;1;-;361;499,621;361;45;499,576;8,960;6,022;2,641;-;490,616;190,355;123,227;18,895;23,586;18,666;27,774;35,418;49,098;;3,597;;;;;;;
21;Opole;900;808,931;622,543;273,746;348,791;216;1,957;200;195;15;3;2;1;177;348,894;177;51;348,843;10,595;7,165;2,932;-;338,248;93,926;88,731;10,202;13,346;12,464;22,841;42,533;24,152;1,772;;;;;751;;27,530;
22;Krosno;823;710,602;547,929;210,641;337,285;405;2,893;167;160;8;-;1;-;151;337,363;151;36;337,327;10,462;6,839;2,839;537;326,865;174,900;44,971;7,595;13,984;23,805;14,893;29,919;12,981;2,289;1,528;;;;;;;
23;Rzeszów;986;988,577;760,972;241,400;519,572;409;2,986;173;166;7;2;-;1;156;519,628;156;8;519,620;12,363;8,465;3,620;-;507,257;284,642;66,516;11,623;25,163;23,667;22,409;47,071;21,106;;2,919;;;;1,363;778;;
24;Białystok;961;947,710;732,265;285,878;446,385;369;2,971;194;184;13;-;1;-;171;446,419;171;78;446,341;10,973;6,659;3,009;1,115;435,368;197,575;72,894;11,258;20,297;35,116;32,015;39,509;23,361;;2,088;;;626;;629;;
25;Gdańsk;657;830,798;636,728;200,219;436,461;208;5,723;326;303;7;1;2;1;293;436,642;293;17;436,625;9,494;6,451;2,729;-;427,131;126,466;148,305;16,992;21,366;12,904;28,168;30,536;39,184;;3,210;;;;;;;
26;Gdynia;796;936,485;718,890;238,732;480,131;236;4,340;337;323;20;1;1;2;300;480,326;299;92;480,234;13,526;9,321;3,868;-;466,708;145,698;156,147;18,918;20,677;15,064;30,973;37,410;38,344;;3,477;;;;;;;
27;Bielsko-Biała;488;612,348;477,658;132,617;345,036;227;2,930;236;229;4;2;-;3;221;345,113;221;27;345,086;7,798;5,344;2,274;-;337,288;136,330;79,506;12,557;15,788;11,533;22,122;31,570;27,882;;;;;;;;;
28;Częstochowa;442;486,784;371,765;129,260;242,492;131;1,434;164;157;11;-;1;1;144;242,584;144;6;242,578;5,944;4,212;1,571;-;236,634;84,773;49,580;8,625;10,111;11,799;26,305;27,521;15,942;;1,378;;;;600;;;
29;Gliwice;460;611,771;469,792;169,394;300,398;132;1,405;206;197;26;-;-;1;170;300,506;169;1;300,505;6,838;4,606;2,056;-;293,667;89,584;85,130;12,181;14,949;7,342;21,163;35,793;26,122;;;;;;1,403;;;
30;Rybnik;436;574,191;438,971;141,470;297,490;124;1,012;157;149;3;-;2;-;144;297,573;144;5;297,568;7,605;5,365;1,928;-;289,963;114,799;70,188;9,669;13,136;5,197;17,201;32,794;18,341;;;;7,928;;710;;;
31;Katowice;558;777,770;599,927;180,785;419,114;175;2,323;430;411;21;2;1;-;387;419,420;387;43;419,377;8,187;5,484;2,471;-;411,190;135,367;116,658;16,786;22,803;4,064;27,837;41,344;35,591;;;;10,740;;;;;
32;Sosnowiec;439;564,891;430,794;140,445;290,348;105;1,286;163;156;11;2;-;-;143;290,436;143;6;290,430;5,787;4,061;1,519;-;284,643;84,410;72,755;12,652;13,682;6,687;39,774;29,161;25,522;;;;;;;;;
33;Kielce;983;1,031,221;794,448;311,674;482,772;480;3,637;176;163;9;1;-;-;153;482,800;153;6;482,794;14,104;9,745;3,898;-;468,690;200,652;80,866;13,106;19,395;44,574;36,880;44,115;23,360;2,344;1,792;;;448;1,158;;;
34;Elbląg;460;503,061;386,108;178,389;207,717;126;1,428;119;109;4;-;-;-;105;207,784;105;26;207,758;7,396;5,565;1,708;-;200,362;63,236;60,359;7,608;9,480;13,411;15,407;16,514;11,668;1,426;1,253;;;;;;;
35;Olsztyn;673;636,139;490,345;216,076;274,262;164;2,924;189;170;10;-;1;-;165;274,385;165;8;274,377;8,211;5,738;2,150;-;266,166;80,970;72,055;9,948;13,584;22,458;23,312;23,888;18,141;;1,810;;;;;;;
36;Kalisz;701;797,144;608,886;232,149;376,737;177;1,624;170;164;4;2;1;-;157;376,828;156;3;376,825;13,641;9,581;3,730;-;363,184;115,668;89,668;11,497;15,422;39,874;32,047;28,996;25,557;1,973;1,982;;;500;;;;
37;Konin;528;617,224;469,610;181,782;287,819;149;1,263;161;152;7;4;1;1;139;287,896;139;8;287,888;10,504;7,464;2,721;-;277,384;103,781;56,111;11,032;11,061;19,027;32,649;24,486;19,237;;;;;;;;;
38;Piła;525;610,758;465,076;183,749;281,325;175;1,453;102;99;4;-;-;-;95;281,373;95;2;281,371;11,098;7,962;2,671;-;270,273;73,665;83,845;10,591;11,004;20,712;24,723;24,359;18,859;;2,515;;;;;;;
39;Poznań;476;692,746;532,389;115,266;417,078;171;6,380;464;424;12;-;-;4;408;417,260;408;50;417,210;7,324;4,923;2,145;-;409,886;97,975;146,141;18,854;19,548;7,809;33,080;24,825;59,387;2,267;;;;;;;;
40;Koszalin;469;515,403;394,987;170,152;224,830;136;4,258;172;154;15;-;-;-;139;224,913;139;29;224,884;7,867;5,969;1,738;-;217,017;62,032;65,262;8,466;9,672;8,972;24,697;20,428;17,488;;;;;;;;;
41;Szczecin;657;826,850;628,823;238,025;390,770;229;4,204;321;302;10;-;-;-;292;390,912;292;27;390,885;10,386;7,200;2,947;-;380,499;110,697;121,479;15,678;20,291;14,776;32,584;32,030;32,964;;;;;;;;;
