"Kod TERYT";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"KOMITET WYBORCZY AKCJA ZAWIEDZIONYCH EMERYTÓW RENCISTÓW - ZPOW-601-21/19";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"KOMITET WYBORCZY PRAWICA - ZPOW-601-20/19";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"KOMITET WYBORCZY SKUTECZNI PIOTRA LIROYA-MARCA - ZPOW-601-17/19";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA - ZPOW-601-15/19"
"020101";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"27857";"29895";"9656";"18201";"17";"96";"4";"4";"0";"1";"0";"0";"3";"18199";"3";"0";"18199";"210";"97";"113";"0";"17989";"4308";"";"1109";"972";"";"6445";"";"3997";"1158";""
"020102";"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";"10224";"11171";"3907";"6317";"0";"29";"0";"0";"0";"0";"0";"0";"0";"6317";"0";"1";"6316";"93";"54";"39";"0";"6223";"1197";"";"472";"577";"";"2716";"";"930";"331";""
"020103";"gm. Gromadka";"bolesławiecki";"dolnośląskie";"4014";"4306";"1739";"2274";"1";"8";"0";"0";"0";"0";"0";"0";"0";"2275";"0";"0";"2275";"55";"45";"10";"0";"2220";"287";"";"117";"154";"";"1128";"";"428";"106";""
"020104";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";"10637";"11683";"4937";"5700";"1";"24";"0";"0";"0";"0";"0";"0";"0";"5700";"0";"0";"5700";"109";"69";"40";"0";"5591";"878";"";"432";"537";"";"2980";"";"545";"219";""
"020105";"gm. Osiecznica";"bolesławiecki";"dolnośląskie";"4905";"5392";"2212";"2693";"0";"36";"0";"0";"0";"0";"0";"0";"0";"2693";"0";"0";"2693";"67";"44";"23";"0";"2626";"509";"";"183";"216";"";"1200";"";"410";"108";""
"020106";"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";"6143";"6651";"2717";"3426";"3";"10";"0";"0";"0";"0";"0";"0";"0";"3426";"0";"1";"3425";"56";"38";"18";"0";"3369";"624";"";"245";"285";"";"1667";"";"406";"142";""
"020201";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"21971";"23936";"9028";"12938";"10";"64";"0";"0";"0";"0";"0";"0";"0";"12942";"0";"1";"12941";"186";"127";"59";"0";"12755";"3474";"";"725";"901";"";"5264";"";"1856";"535";""
"020202";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"23857";"26022";"8360";"15497";"26";"64";"3";"3";"0";"0";"0";"0";"3";"15501";"3";"3";"15498";"157";"101";"56";"0";"15341";"4638";"";"811";"2044";"";"5908";"";"1667";"273";""
"020203";"m. Pieszyce";"dzierżoniowski";"dolnośląskie";"6900";"7485";"3023";"3877";"7";"25";"0";"0";"0";"0";"0";"0";"0";"3876";"0";"0";"3876";"72";"47";"25";"0";"3804";"1096";"";"225";"304";"";"1766";"";"318";"95";""
"020204";"m. Piława Górna";"dzierżoniowski";"dolnośląskie";"4550";"4963";"2020";"2530";"4";"5";"1";"1";"0";"0";"0";"0";"1";"2529";"1";"0";"2529";"32";"22";"10";"0";"2497";"487";"";"172";"290";"";"1250";"";"240";"58";""
