"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Nr okręgu";"Liczba komisji";"Liczba uwzględnionych komisji";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie)";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KOMITET WYBORCZY NOWA LEWICA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KOMITET WYBORCZY POLSKA JEST JEDNA";"KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU";"KOMITET WYBORCZY NORMALNY KRAJ";"KOMITET WYBORCZY ANTYPARTIA";"KOMITET WYBORCZY RUCH NAPRAWY POLSKI";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA"
;"Albania";"zagranica";;19;1;1;834;855;19;815;0;815;0;249;0;0;0;0;0;0;815;0;0;815;4;1;3;0;811;12;138;143;69;61;378;10;;;;;
;"Algieria";"zagranica";;19;1;1;100;66;40;60;0;60;0;4;0;0;0;0;0;0;60;0;0;60;3;1;2;0;57;0;10;6;9;5;27;0;;;;;
;"Angola";"zagranica";;19;1;1;60;27;36;24;0;24;0;0;0;0;0;0;0;0;24;0;0;24;0;0;0;0;24;1;2;2;4;4;9;2;;;;;
;"Azerbejdżan";"zagranica";;19;1;1;250;87;163;87;0;87;0;12;0;0;0;0;0;0;87;0;0;87;2;1;1;0;85;3;10;11;3;5;51;2;;;;;
;"Argentyna";"zagranica";;19;1;1;235;224;35;200;0;200;0;8;0;0;0;0;0;0;199;0;0;199;21;19;2;0;178;2;24;46;36;12;58;0;;;;;
;"Australia";"zagranica";;19;6;6;5041;4586;830;4208;0;4208;0;90;0;0;0;0;0;0;4213;0;5;4208;24;11;13;0;4184;41;347;607;719;301;2084;85;;;;;
;"Austria";"zagranica";;19;8;8;13903;11887;2732;11166;0;11166;0;549;0;0;0;0;0;0;11170;0;5;11165;89;44;45;0;11076;160;1317;1586;2317;863;4538;295;;;;;
;"Armenia";"zagranica";;19;1;1;280;111;173;107;0;107;0;21;0;0;0;0;0;0;107;0;0;107;0;0;0;0;107;3;19;25;7;3;50;0;;;;;
;"Belgia";"zagranica";;19;11;11;24596;20979;4813;19781;0;19781;0;513;0;0;0;0;0;0;19777;0;16;19761;191;92;99;0;19570;241;2682;2744;3289;1917;8321;376;;;;;
;"Bośnia i Hercegowina";"zagranica";;19;1;1;200;144;61;139;0;139;0;24;0;0;0;0;0;0;139;0;0;139;0;0;0;0;139;5;16;18;33;11;51;5;;;;;
;"Brazylia";"zagranica";;19;2;2;160;127;63;97;0;97;0;3;0;0;0;0;0;0;97;0;0;97;1;1;0;0;96;2;8;17;28;6;32;3;;;;;
;"Bułgaria";"zagranica";;19;2;2;1150;995;189;961;0;961;0;120;0;0;0;0;0;0;961;0;4;957;6;4;2;0;951;15;151;160;109;87;423;6;;;;;
;"Białoruś";"zagranica";;19;1;1;150;95;60;90;0;90;0;7;0;0;0;0;0;0;90;0;0;90;2;1;1;0;88;2;10;8;32;9;27;0;;;;;
;"Kanada";"zagranica";;19;12;12;14509;12166;3290;11216;0;11216;0;193;0;0;0;0;0;0;11217;0;9;11208;200;48;152;0;11008;48;547;623;5182;688;3568;352;;;;;
;"Chile";"zagranica";;19;1;1;170;149;34;136;0;136;0;6;0;0;0;0;0;0;136;0;0;136;1;0;1;0;135;2;19;19;18;9;67;1;;;;;
;"Chiny";"zagranica";;19;5;5;1585;1327;362;1223;0;1223;0;114;0;0;0;0;0;0;1220;0;0;1220;13;7;6;0;1207;12;191;214;79;91;613;7;;;;;
;"Miasto Tajpej";"zagranica";;19;1;1;330;287;55;275;0;275;0;14;0;0;0;0;0;0;275;0;0;275;2;0;2;0;273;4;53;93;21;21;79;2;;;;;
;"Kolumbia";"zagranica";;19;1;1;120;105;30;90;0;90;0;1;0;0;0;0;0;0;90;0;0;90;1;0;1;0;89;4;10;31;15;3;26;0;;;;;
;"Chorwacja";"zagranica";;19;2;2;2505;1900;722;1783;0;1783;0;364;0;0;0;0;0;0;1783;0;0;1783;13;9;4;0;1770;26;308;285;208;125;753;65;;;;;
;"Kuba";"zagranica";;19;1;1;150;126;33;117;0;117;0;27;0;0;0;0;0;0;117;0;0;117;1;1;0;0;116;1;11;13;13;17;60;1;;;;;
;"Cypr";"zagranica";;19;1;1;3000;2548;847;2153;0;2153;0;467;0;0;0;0;0;0;2153;0;0;2153;12;3;9;0;2141;27;330;346;148;147;1135;8;;;;;
;"Czechy";"zagranica";;19;4;4;3900;3383;664;3236;0;3236;0;307;0;0;0;0;0;0;3236;0;2;3234;20;12;8;0;3214;39;485;817;311;172;1365;25;;;;;
;"Dania";"zagranica";;19;5;5;12094;10729;2233;9883;0;9883;0;389;0;0;0;0;0;0;9882;0;1;9881;69;35;34;0;9812;117;1186;2261;946;1048;4121;133;;;;;
;"Etiopia";"zagranica";;19;1;1;40;26;19;21;0;21;0;0;0;0;0;0;0;0;21;0;0;21;0;0;0;0;21;0;4;3;7;0;7;0;;;;;
;"Estonia";"zagranica";;19;1;1;250;224;38;212;0;212;0;23;0;0;0;0;0;0;212;0;0;212;1;1;0;0;211;4;30;56;25;17;77;2;;;;;
;"Finlandia";"zagranica";;19;2;2;1800;1692;209;1591;0;1591;0;49;0;0;0;0;0;0;1591;0;0;1591;6;4;2;0;1585;21;186;400;126;153;680;19;;;;;
;"Francja";"zagranica";;19;18;18;24153;20693;5048;19097;0;19097;0;972;0;0;0;0;0;0;19099;0;15;19084;167;62;105;0;18917;165;2190;2887;3840;1144;8350;341;;;;;
;"Gruzja";"zagranica";;19;1;1;1500;942;587;913;0;913;0;338;0;0;0;0;0;0;912;0;0;912;8;4;4;0;904;21;134;141;130;76;388;14;;;;;
;"Niemcy";"zagranica";;19;47;47;135102;113556;32538;102447;0;102447;0;4734;0;0;0;0;0;0;102553;0;239;102314;773;511;262;0;101541;1007;11537;12522;16124;8489;50013;1849;;;;;
;"Grecja";"zagranica";;19;4;4;6600;5841;1559;5041;0;5041;0;1047;0;0;0;0;0;0;5041;0;1;5040;54;28;26;0;4986;75;847;848;528;300;2323;65;;;;;
;"Węgry";"zagranica";;19;1;1;1800;1919;42;1758;0;1758;0;331;0;0;0;0;0;0;1757;0;4;1753;17;10;7;0;1736;34;281;338;278;139;643;23;;;;;
;"Islandia";"zagranica";;19;5;5;7721;6424;1747;5970;0;5970;0;200;0;0;0;0;0;0;5967;0;4;5963;61;43;18;0;5902;125;838;1234;602;919;2094;90;;;;;
;"Indie";"zagranica";;19;2;2;540;357;233;307;0;307;0;53;0;0;0;0;0;0;307;0;0;307;3;0;3;0;304;3;45;78;13;13;151;1;;;;;
;"Indonezja";"zagranica";;19;2;2;1245;924;422;823;0;823;0;92;0;0;0;0;0;0;823;0;0;823;2;0;2;0;821;11;138;197;25;39;409;2;;;;;
;"Iran";"zagranica";;19;1;1;50;36;17;33;0;33;0;3;0;0;0;0;0;0;33;0;0;33;1;0;1;0;32;0;4;4;4;3;17;0;;;;;
;"Irak";"zagranica";;19;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Irlandia";"zagranica";;19;11;11;26227;24822;3195;23032;0;23032;0;384;0;0;0;0;0;0;23011;0;10;23001;237;87;150;0;22764;257;2833;2984;2939;2395;10871;485;;;;;
;"Włochy";"zagranica";;19;8;8;19800;17489;4049;15749;0;15749;0;2928;0;0;0;0;0;0;15734;0;0;15734;92;61;31;0;15642;174;2267;2870;2387;755;6940;249;;;;;
;"Kosowo";"zagranica";;19;1;1;300;286;27;273;0;273;0;0;0;0;0;0;0;0;273;0;0;273;7;7;0;0;266;7;28;8;91;89;41;2;;;;;
;"Japonia";"zagranica";;19;2;2;1690;1639;133;1557;0;1557;0;208;0;0;0;0;0;0;1556;0;0;1556;14;4;10;0;1542;15;207;441;81;84;704;10;;;;;
;"Kazachstan";"zagranica";;19;2;2;280;186;101;179;0;179;0;11;0;0;0;0;0;0;179;0;0;179;2;1;1;0;177;2;19;14;50;14;74;4;;;;;
;"Jordania";"zagranica";;19;1;1;500;250;285;215;0;215;0;37;0;0;0;0;0;0;215;0;0;215;5;3;2;0;210;1;33;34;25;8;109;0;;;;;
;"Kenia";"zagranica";;19;1;1;160;128;45;115;0;115;0;8;0;0;0;0;0;0;115;0;0;115;0;0;0;0;115;0;11;28;17;4;53;2;;;;;
;"Korea Południowa";"zagranica";;19;1;1;690;684;51;639;0;639;0;74;0;0;0;0;0;0;639;0;0;639;8;7;1;0;631;8;109;193;34;20;259;8;;;;;
;"Kuwejt";"zagranica";;19;1;1;150;117;39;111;0;111;0;5;0;0;0;0;0;0;111;0;0;111;2;1;1;0;109;2;18;19;14;2;52;2;;;;;
;"Liban";"zagranica";;19;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Łotwa";"zagranica";;19;1;1;700;536;177;523;0;523;0;50;0;0;0;0;0;0;523;0;0;523;8;8;0;0;515;18;60;93;85;85;167;7;;;;;
;"Litwa";"zagranica";;19;1;1;500;366;134;366;0;366;0;54;0;0;0;0;0;0;366;0;0;366;6;2;4;0;360;7;48;77;76;20;131;1;;;;;
;"Luksemburg";"zagranica";;19;2;2;6013;3949;2231;3781;0;3781;0;133;0;0;0;0;0;0;3781;0;0;3781;14;8;6;0;3767;44;488;555;411;209;2007;53;;;;;
;"Malezja";"zagranica";;19;1;1;450;248;217;233;0;233;0;27;0;0;0;0;0;0;233;0;0;233;1;0;1;0;232;2;38;47;27;9;106;3;;;;;
;"Malta";"zagranica";;19;1;1;2750;2612;331;2419;0;2419;0;512;0;0;0;0;0;0;2419;0;0;2419;15;1;14;0;2404;32;412;404;219;163;1150;24;;;;;
;"Meksyk";"zagranica";;19;1;1;380;346;125;255;0;255;0;17;0;0;0;0;0;0;255;0;0;255;3;3;0;0;252;5;26;60;19;7;132;3;;;;;
;"Mongolia";"zagranica";;19;1;1;28;18;10;18;0;18;0;0;0;0;0;0;0;0;18;0;0;18;0;0;0;0;18;0;1;4;5;0;8;0;;;;;
;"Mołdawia";"zagranica";;19;1;1;200;98;113;87;0;87;0;6;0;0;0;0;0;0;87;0;0;87;0;0;0;0;87;0;12;8;25;6;35;1;;;;;
;"Czarnogóra";"zagranica";;19;1;1;1000;633;432;568;0;568;0;88;0;0;0;0;0;0;568;0;0;568;5;3;2;0;563;10;104;121;38;53;234;3;;;;;
;"Maroko";"zagranica";;19;2;2;626;409;241;385;0;385;0;85;0;0;0;0;0;0;385;0;0;385;5;4;1;0;380;1;53;79;26;11;204;6;;;;;
;"Oman";"zagranica";;19;1;1;141;103;43;98;0;98;0;10;0;0;0;0;0;0;98;0;0;98;0;0;0;0;98;5;9;21;4;7;52;0;;;;;
;"Holandia";"zagranica";;19;13;13;44023;37661;11009;32996;0;32996;0;940;0;0;0;0;0;0;32985;0;23;32962;256;147;109;0;32706;468;4071;6556;2654;4335;14261;361;;;;;
;"Nowa Zelandia";"zagranica";;19;2;2;630;498;181;449;0;449;0;10;0;0;0;0;0;0;449;0;0;449;8;2;6;0;441;3;54;99;33;17;230;5;;;;;
;"Nigeria";"zagranica";;19;1;1;30;23;7;23;0;23;0;3;0;0;0;0;0;0;23;0;0;23;0;0;0;0;23;1;3;4;2;3;10;0;;;;;
;"Norwegia";"zagranica";;19;11;11;31520;27069;7477;24042;0;24042;0;780;0;0;0;0;0;0;24041;0;5;24036;169;96;73;0;23867;345;2974;3424;3570;3202;9885;467;;;;;
;"Pakistan";"zagranica";;19;1;1;80;49;36;44;0;44;0;5;0;0;0;0;0;0;44;0;0;44;1;1;0;0;43;3;6;5;7;3;18;1;;;;;
;"Panama";"zagranica";;19;1;1;100;75;33;67;0;67;0;0;0;0;0;0;0;0;67;0;0;67;0;0;0;0;67;0;11;12;5;7;31;1;;;;;
;"Peru";"zagranica";;19;1;1;200;152;67;133;0;133;0;7;0;0;0;0;0;0;133;0;0;133;4;1;3;0;129;0;13;17;14;13;72;0;;;;;
;"Filipiny";"zagranica";;19;1;1;140;107;47;93;0;93;0;2;0;0;0;0;0;0;93;0;0;93;1;1;0;0;92;0;13;19;7;14;39;0;;;;;
;"Portugalia";"zagranica";;19;3;3;6703;4841;2181;4521;0;4521;0;876;0;0;0;0;0;0;4520;0;11;4509;22;8;14;0;4487;45;660;1211;376;191;1950;54;;;;;
;"Katar";"zagranica";;19;1;1;330;323;27;303;0;303;0;16;0;0;0;0;0;0;303;0;0;303;1;0;1;0;302;3;32;43;20;21;181;2;;;;;
;"Rumunia";"zagranica";;19;1;1;1000;644;401;600;0;600;0;35;0;0;0;0;0;0;599;0;0;599;5;3;2;0;594;10;92;107;99;105;175;6;;;;;
