"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MALISZEWSKA Iwona Barbara - KW BEZPARTYJNI SAMORZĄDOWCY";"JAKUBOWSKI Andrzej Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"SYCHOWSKI Marcin Przemysław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GAWŁOWSKI Stanisław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"ŁAGOCKI Marek Adam - KWW PAKT SENAT DLA OBYWATELI";"KURIATA Jan - KWW TAK DLA SENATU RP JAN KURIATA"
320901;"gm. Będzino";"koszaliński";"zachodniopomorskie";7;7;398;1197;380;1662;310;346
320902;"gm. Biesiekierz";"koszaliński";"zachodniopomorskie";5;5;344;745;268;1523;225;326
320903;"gm. Bobolice";"koszaliński";"zachodniopomorskie";12;12;476;1204;314;1433;379;296
320904;"gm. Manowo";"koszaliński";"zachodniopomorskie";7;7;308;649;212;1253;241;270
320905;"gm. Mielno";"koszaliński";"zachodniopomorskie";8;8;403;1172;293;1862;151;267
320906;"gm. Polanów";"koszaliński";"zachodniopomorskie";11;11;312;1141;266;1549;241;248
320907;"gm. Sianów";"koszaliński";"zachodniopomorskie";16;16;734;1758;598;2727;537;559
320908;"gm. Świeszyno";"koszaliński";"zachodniopomorskie";9;9;332;845;376;1849;333;698
321301;"m. Darłowo";"sławieński";"zachodniopomorskie";8;8;587;1710;418;3613;291;362
321302;"m. Sławno";"sławieński";"zachodniopomorskie";6;6;478;1746;469;2567;427;264
321303;"gm. Darłowo";"sławieński";"zachodniopomorskie";18;18;464;1437;383;2135;214;249
321304;"gm. Malechowo";"sławieński";"zachodniopomorskie";11;11;281;1070;250;964;256;170
321305;"gm. Postomino";"sławieński";"zachodniopomorskie";14;14;361;1305;333;1464;208;172
321306;"gm. Sławno";"sławieński";"zachodniopomorskie";16;16;335;1332;374;1333;296;155
321501;"m. Szczecinek";"szczecinecki";"zachodniopomorskie";24;24;1481;5387;1489;9321;832;1148
321502;"gm. Barwice";"szczecinecki";"zachodniopomorskie";5;5;302;1206;295;1104;217;250
321503;"gm. Biały Bór";"szczecinecki";"zachodniopomorskie";8;8;199;787;165;849;127;206
321504;"gm. Borne Sulinowo";"szczecinecki";"zachodniopomorskie";13;13;369;1411;347;2070;283;246
321505;"gm. Grzmiąca";"szczecinecki";"zachodniopomorskie";6;6;139;659;161;678;262;122
321506;"gm. Szczecinek";"szczecinecki";"zachodniopomorskie";14;14;334;1437;430;1486;212;257
326101;"Koszalin";"Koszalin";"zachodniopomorskie";55;55;4558;12901;3647;25534;4596;7613
