"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SZELIGA Sławomir Kazimierz - KW BEZPARTYJNI SAMORZĄDOWCY";"BOGDANOWICZ Mikołaj - KW PRAWO I SPRAWIEDLIWOŚĆ";"LATAWIEC Jarosław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BREJZA Ryszard Franciszek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"WEGNER Łukasz Mikołaj - KWW EUROPEJSKA LEWICA"
40701;"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";51;51;2633;10497;1872;21316;2581
40702;"gm. Dąbrowa Biskupia";"inowrocławski";"kujawsko-pomorskie";8;8;157;1050;154;896;147
40703;"gm. Gniewkowo";"inowrocławski";"kujawsko-pomorskie";21;21;484;2649;527;2914;415
40704;"gm. Inowrocław";"inowrocławski";"kujawsko-pomorskie";16;16;509;2361;448;2758;400
40705;"gm. Janikowo";"inowrocławski";"kujawsko-pomorskie";11;11;502;2401;453;2811;487
40706;"gm. Kruszwica";"inowrocławski";"kujawsko-pomorskie";23;23;367;4778;454;3310;411
40707;"gm. Pakość";"inowrocławski";"kujawsko-pomorskie";11;11;596;1601;387;1986;305
40708;"gm. Rojewo";"inowrocławski";"kujawsko-pomorskie";8;8;175;1007;200;742;142
40709;"gm. Złotniki Kujawskie";"inowrocławski";"kujawsko-pomorskie";12;12;391;1605;473;1835;333
40901;"gm. Dąbrowa";"mogileński";"kujawsko-pomorskie";6;6;132;953;175;813;186
40902;"gm. Jeziora Wielkie";"mogileński";"kujawsko-pomorskie";8;8;157;1111;146;730;163
40903;"gm. Mogilno";"mogileński";"kujawsko-pomorskie";21;21;816;4453;1005;5545;1017
40904;"gm. Strzelno";"mogileński";"kujawsko-pomorskie";14;14;348;2306;387;2339;370
41001;"gm. Kcynia";"nakielski";"kujawsko-pomorskie";16;16;403;2391;568;2199;511
41002;"gm. Mrocza";"nakielski";"kujawsko-pomorskie";15;15;298;1591;389;1568;338
41003;"gm. Nakło nad Notecią";"nakielski";"kujawsko-pomorskie";32;32;1074;5296;1303;7772;1312
41004;"gm. Sadki";"nakielski";"kujawsko-pomorskie";12;12;257;1435;321;1241;262
41005;"gm. Szubin";"nakielski";"kujawsko-pomorskie";24;24;866;3902;1154;6093;915
41301;"gm. Kamień Krajeński";"sępoleński";"kujawsko-pomorskie";10;10;288;1184;288;1175;260
41302;"gm. Sępólno Krajeńskie";"sępoleński";"kujawsko-pomorskie";18;18;516;2625;600;3428;524
41303;"gm. Sośno";"sępoleński";"kujawsko-pomorskie";8;8;171;1016;197;636;165
41304;"gm. Więcbork";"sępoleński";"kujawsko-pomorskie";17;17;432;2344;507;2439;375
41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";20;20;581;2164;501;3689;473
41902;"gm. Gąsawa";"żniński";"kujawsko-pomorskie";10;10;169;1213;236;1060;160
41903;"gm. Janowiec Wielkopolski";"żniński";"kujawsko-pomorskie";16;16;268;1746;381;1714;322
41904;"gm. Łabiszyn";"żniński";"kujawsko-pomorskie";13;13;422;1805;474;2281;375
41905;"gm. Rogowo";"żniński";"kujawsko-pomorskie";11;11;193;1430;265;1494;206
41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";27;27;703;4757;983;5299;776
