"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAZURKIEWICZ Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"LENZ Tomasz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
40401;"m. Chełmno";"chełmiński";"kujawsko-pomorskie";17;17;2891;5822
40402;"gm. Chełmno";"chełmiński";"kujawsko-pomorskie";4;4;1082;1628
40403;"gm. Kijewo Królewskie";"chełmiński";"kujawsko-pomorskie";5;5;974;1270
40404;"gm. Lisewo";"chełmiński";"kujawsko-pomorskie";5;5;1200;1266
40405;"gm. Papowo Biskupie";"chełmiński";"kujawsko-pomorskie";5;5;871;917
40406;"gm. Stolno";"chełmiński";"kujawsko-pomorskie";8;8;1114;1392
40407;"gm. Unisław";"chełmiński";"kujawsko-pomorskie";8;8;1422;1868
41501;"m. Chełmża";"toruński";"kujawsko-pomorskie";8;8;2429;4018
41502;"gm. Chełmża";"toruński";"kujawsko-pomorskie";14;14;2142;2431
41503;"gm. Czernikowo";"toruński";"kujawsko-pomorskie";8;8;1884;2324
41504;"gm. Lubicz";"toruński";"kujawsko-pomorskie";16;16;4066;7233
41505;"gm. Łubianka";"toruński";"kujawsko-pomorskie";8;8;1568;2709
41506;"gm. Łysomice";"toruński";"kujawsko-pomorskie";7;7;1893;3839
41507;"gm. Obrowo";"toruński";"kujawsko-pomorskie";10;10;3736;6883
41508;"gm. Wielka Nieszawka";"toruński";"kujawsko-pomorskie";6;6;853;2080
41509;"gm. Zławieś Wielka";"toruński";"kujawsko-pomorskie";12;12;2685;5484
46301;"Toruń";"Toruń";"kujawsko-pomorskie";123;123;32669;77591
