"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BOBER Ryszard Jakub - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"RAMLAU Józef Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"RYBIŃSKI Adam Krzysztof - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ADAMCZYK Zbigniew - KW ZWIĄZKU SŁOWIAŃSKIEGO"
40201;"m. Brodnica";"brodnicki";"kujawsko-pomorskie";16;16;8388;4105;1244;537
40202;"gm. Bobrowo";"brodnicki";"kujawsko-pomorskie";10;10;1547;1187;265;126
40203;"gm. Brodnica";"brodnicki";"kujawsko-pomorskie";6;6;2653;1361;422;193
40204;"gm. Brzozie";"brodnicki";"kujawsko-pomorskie";5;5;846;887;217;96
40205;"gm. Górzno";"brodnicki";"kujawsko-pomorskie";6;6;782;955;180;82
40206;"gm. Bartniczka";"brodnicki";"kujawsko-pomorskie";7;7;1001;983;217;98
40207;"gm. Jabłonowo Pomorskie";"brodnicki";"kujawsko-pomorskie";10;10;2419;1274;290;108
40208;"gm. Osiek";"brodnicki";"kujawsko-pomorskie";3;3;843;709;182;63
40209;"gm. Świedziebnia";"brodnicki";"kujawsko-pomorskie";7;7;1182;981;197;63
40210;"gm. Zbiczno";"brodnicki";"kujawsko-pomorskie";6;6;1440;870;214;108
40501;"m. Golub-Dobrzyń";"golubsko-dobrzyński";"kujawsko-pomorskie";7;7;2853;2054;638;257
40502;"gm. Ciechocin";"golubsko-dobrzyński";"kujawsko-pomorskie";6;6;792;971;234;110
40503;"gm. Golub-Dobrzyń";"golubsko-dobrzyński";"kujawsko-pomorskie";7;7;1963;1791;512;252
40504;"gm. Kowalewo Pomorskie";"golubsko-dobrzyński";"kujawsko-pomorskie";11;11;2660;2053;715;266
40505;"gm. Radomin";"golubsko-dobrzyński";"kujawsko-pomorskie";6;6;628;1025;226;90
40506;"gm. Zbójno";"golubsko-dobrzyński";"kujawsko-pomorskie";4;4;786;914;248;126
40601;"gm. Grudziądz";"grudziądzki";"kujawsko-pomorskie";15;15;3607;2093;850;377
40602;"gm. Gruta";"grudziądzki";"kujawsko-pomorskie";9;9;1364;1245;319;157
40603;"gm. Łasin";"grudziądzki";"kujawsko-pomorskie";9;9;1358;1411;477;161
40604;"gm. Radzyń Chełmiński";"grudziądzki";"kujawsko-pomorskie";9;9;886;798;237;110
40605;"gm. Rogóźno";"grudziądzki";"kujawsko-pomorskie";7;7;776;827;227;116
40606;"gm. Świecie nad Osą";"grudziądzki";"kujawsko-pomorskie";8;8;798;739;141;78
41201;"m. Rypin";"rypiński";"kujawsko-pomorskie";16;16;4209;2741;696;391
41202;"gm. Brzuze";"rypiński";"kujawsko-pomorskie";9;9;1042;1072;283;137
41203;"gm. Rogowo";"rypiński";"kujawsko-pomorskie";8;8;775;1080;279;127
41204;"gm. Rypin";"rypiński";"kujawsko-pomorskie";12;12;1517;1342;447;194
41205;"gm. Skrwilno";"rypiński";"kujawsko-pomorskie";8;8;937;1358;329;133
41206;"gm. Wąpielsk";"rypiński";"kujawsko-pomorskie";6;6;694;831;206;111
41701;"m. Wąbrzeźno";"wąbrzeski";"kujawsko-pomorskie";11;11;3728;1686;524;246
41702;"gm. Dębowa Łąka";"wąbrzeski";"kujawsko-pomorskie";3;3;576;586;167;60
41703;"gm. Książki";"wąbrzeski";"kujawsko-pomorskie";4;4;878;714;186;97
41704;"gm. Płużnica";"wąbrzeski";"kujawsko-pomorskie";5;5;1114;827;215;67
41705;"gm. Ryńsk";"wąbrzeski";"kujawsko-pomorskie";11;11;1940;1435;446;195
46201;"Grudziądz";"Grudziądz";"kujawsko-pomorskie";55;55;25744;12501;4303;2418
