"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SKRODZKI Sławomir Andrzej - KW BEZPARTYJNI SAMORZĄDOWCY";"KUKUCKI Krzysztof Aleksander - KW NOWA LEWICA";"ŁYCZAK Józef Mikołaj - KW PRAWO I SPRAWIEDLIWOŚĆ";"LISIECKI Jakub Andrzej - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";10;10;597;2946;1962;652
40102;"m. Ciechocinek";"aleksandrowski";"kujawsko-pomorskie";7;7;745;4455;3261;592
40103;"m. Nieszawa";"aleksandrowski";"kujawsko-pomorskie";3;3;77;407;371;110
40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";17;17;669;2187;2305;797
40105;"gm. Bądkowo";"aleksandrowski";"kujawsko-pomorskie";5;5;186;665;1121;227
40106;"gm. Koneck";"aleksandrowski";"kujawsko-pomorskie";5;5;159;415;811;158
40107;"gm. Raciążek";"aleksandrowski";"kujawsko-pomorskie";5;5;146;648;711;168
40108;"gm. Waganiec";"aleksandrowski";"kujawsko-pomorskie";8;8;232;661;1193;233
40109;"gm. Zakrzewo";"aleksandrowski";"kujawsko-pomorskie";6;6;162;517;784;199
40801;"m. Lipno";"lipnowski";"kujawsko-pomorskie";10;10;602;3044;2204;664
40802;"gm. Bobrowniki";"lipnowski";"kujawsko-pomorskie";5;5;115;658;549;121
40803;"gm. Chrostkowo";"lipnowski";"kujawsko-pomorskie";4;4;148;329;642;193
40804;"gm. Dobrzyń nad Wisłą";"lipnowski";"kujawsko-pomorskie";10;10;319;1173;1660;381
40805;"gm. Kikół";"lipnowski";"kujawsko-pomorskie";13;13;363;1093;1350;424
40806;"gm. Lipno";"lipnowski";"kujawsko-pomorskie";13;13;546;1917;2272;628
40807;"gm. Skępe";"lipnowski";"kujawsko-pomorskie";10;10;337;1349;1487;419
40808;"gm. Tłuchowo";"lipnowski";"kujawsko-pomorskie";6;6;224;630;1093;291
40809;"gm. Wielgie";"lipnowski";"kujawsko-pomorskie";13;13;282;1132;1147;347
41101;"m. Radziejów";"radziejowski";"kujawsko-pomorskie";6;6;245;1225;1106;343
41102;"gm. Bytoń";"radziejowski";"kujawsko-pomorskie";5;5;159;414;976;185
41103;"gm. Dobre";"radziejowski";"kujawsko-pomorskie";6;6;255;687;1211;294
41104;"gm. Osięciny";"radziejowski";"kujawsko-pomorskie";9;9;278;1332;1811;443
41105;"gm. Piotrków Kujawski";"radziejowski";"kujawsko-pomorskie";13;13;386;1357;2249;455
41106;"gm. Radziejów";"radziejowski";"kujawsko-pomorskie";10;10;219;702;1013;261
41107;"gm. Topólka";"radziejowski";"kujawsko-pomorskie";7;7;221;793;1172;262
41801;"m. Kowal";"włocławski";"kujawsko-pomorskie";4;4;138;881;583;220
41802;"gm. Baruchowo";"włocławski";"kujawsko-pomorskie";7;7;147;583;815;222
41803;"gm. Boniewo";"włocławski";"kujawsko-pomorskie";7;7;150;595;855;176
41804;"gm. Brześć Kujawski";"włocławski";"kujawsko-pomorskie";11;11;417;2989;2125;680
41805;"gm. Choceń";"włocławski";"kujawsko-pomorskie";9;9;244;1448;1517;400
41806;"gm. Chodecz";"włocławski";"kujawsko-pomorskie";8;8;216;981;1234;333
41807;"gm. Fabianki";"włocławski";"kujawsko-pomorskie";6;6;366;2913;1423;455
41808;"gm. Izbica Kujawska";"włocławski";"kujawsko-pomorskie";6;6;254;990;1926;344
41809;"gm. Kowal";"włocławski";"kujawsko-pomorskie";6;6;163;714;891;242
41810;"gm. Lubanie";"włocławski";"kujawsko-pomorskie";5;5;227;829;1146;264
41811;"gm. Lubień Kujawski";"włocławski";"kujawsko-pomorskie";10;10;274;1010;1613;355
41812;"gm. Lubraniec";"włocławski";"kujawsko-pomorskie";11;11;355;1808;2041;470
41813;"gm. Włocławek";"włocławski";"kujawsko-pomorskie";10;10;312;1955;1381;406
46401;"Włocławek";"Włocławek";"kujawsko-pomorskie";68;68;2784;34467;13905;4066
