"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GOGACZ Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"PIETRAS Artur Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"RAJCHEL Jan Bogdan - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
60801;"m. Lubartów";"lubartowski";"lubelskie";12;12;4903;1714;5202
60802;"gm. Abramów";"lubartowski";"lubelskie";7;7;1418;415;322
60803;"gm. Firlej";"lubartowski";"lubelskie";8;8;1622;529;796
60804;"gm. Jeziorzany";"lubartowski";"lubelskie";3;3;843;216;266
60805;"gm. Kamionka";"lubartowski";"lubelskie";10;10;1676;667;1070
60806;"gm. Kock";"lubartowski";"lubelskie";8;8;2010;421;682
60807;"gm. Lubartów";"lubartowski";"lubelskie";17;17;3121;1251;2052
60808;"gm. Michów";"lubartowski";"lubelskie";6;6;1808;472;680
60809;"gm. Niedźwiada";"lubartowski";"lubelskie";6;6;2001;594;670
60810;"gm. Ostrów Lubelski";"lubartowski";"lubelskie";6;6;1628;449;619
60811;"gm. Ostrówek";"lubartowski";"lubelskie";6;6;1185;334;353
60812;"gm. Serniki";"lubartowski";"lubelskie";5;5;1680;467;539
60813;"gm. Uścimów";"lubartowski";"lubelskie";4;4;936;285;396
61101;"m. Łuków";"łukowski";"lubelskie";22;22;7601;2196;6107
61102;"m. Stoczek Łukowski";"łukowski";"lubelskie";2;2;738;185;509
61103;"gm. Adamów";"łukowski";"lubelskie";7;7;1673;399;698
61104;"gm. Krzywda";"łukowski";"lubelskie";12;12;3119;933;1026
61105;"gm. Łuków";"łukowski";"lubelskie";28;28;5969;1705;2121
61106;"gm. Serokomla";"łukowski";"lubelskie";5;5;1303;291;332
61107;"gm. Stanin";"łukowski";"lubelskie";14;14;3049;948;969
61108;"gm. Stoczek Łukowski";"łukowski";"lubelskie";19;19;2775;631;714
61109;"gm. Trzebieszów";"łukowski";"lubelskie";10;10;2832;728;602
61110;"gm. Wojcieszków";"łukowski";"lubelskie";10;10;2205;601;627
61111;"gm. Wola Mysłowska";"łukowski";"lubelskie";4;4;1509;421;449
61201;"gm. Chodel";"opolski";"lubelskie";8;8;2029;507;626
61202;"gm. Józefów nad Wisłą";"opolski";"lubelskie";8;8;1798;479;805
61203;"gm. Karczmiska";"opolski";"lubelskie";7;7;1424;473;795
61204;"gm. Łaziska";"opolski";"lubelskie";6;6;1374;382;578
61205;"gm. Opole Lubelskie";"opolski";"lubelskie";21;21;4441;1343;2879
61206;"gm. Poniatowa";"opolski";"lubelskie";13;13;3674;1008;2365
61207;"gm. Wilków";"opolski";"lubelskie";8;8;1390;363;476
61401;"m. Puławy";"puławski";"lubelskie";24;24;9940;3209;12707
61402;"gm. Baranów";"puławski";"lubelskie";9;9;1169;308;540
61403;"gm. Janowiec";"puławski";"lubelskie";6;6;1022;313;728
61404;"gm. Kazimierz Dolny";"puławski";"lubelskie";5;5;1794;542;1671
61405;"gm. Końskowola";"puławski";"lubelskie";10;10;2394;777;1656
61406;"gm. Kurów";"puławski";"lubelskie";9;9;2188;669;1157
61407;"gm. Markuszów";"puławski";"lubelskie";4;4;894;281;411
61408;"gm. Nałęczów";"puławski";"lubelskie";16;16;2953;830;2231
61409;"gm. Puławy";"puławski";"lubelskie";9;9;3239;1079;2487
61410;"gm. Wąwolnica";"puławski";"lubelskie";5;5;1418;421;546
61411;"gm. Żyrzyn";"puławski";"lubelskie";12;12;1973;548;1021
61601;"m. Dęblin";"rycki";"lubelskie";18;18;3717;878;4007
61602;"gm. Kłoczew";"rycki";"lubelskie";13;13;2624;566;635
61603;"gm. Nowodwór";"rycki";"lubelskie";8;8;1488;342;386
61604;"gm. Ryki";"rycki";"lubelskie";25;25;5756;1404;4120
61605;"gm. Stężyca";"rycki";"lubelskie";7;7;1637;306;883
61606;"gm. Ułęż";"rycki";"lubelskie";7;7;904;253;497
