"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAZUR Stanisław Jan - KW NOWA LEWICA";"CZELEJ Grzegorz - KW PRAWO I SPRAWIEDLIWOŚĆ";"WYPYCH Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
60501;"gm. Batorz";"janowski";"lubelskie";4;4;316;1272;218
60502;"gm. Chrzanów";"janowski";"lubelskie";5;5;224;1390;171
60503;"gm. Dzwola";"janowski";"lubelskie";8;8;613;2285;392
60504;"gm. Godziszów";"janowski";"lubelskie";5;5;570;2515;336
60505;"gm. Janów Lubelski";"janowski";"lubelskie";10;10;2791;4692;932
60506;"gm. Modliborzyce";"janowski";"lubelskie";6;6;1043;2092;445
60507;"gm. Potok Wielki";"janowski";"lubelskie";7;7;612;1428;271
60701;"m. Kraśnik";"kraśnicki";"lubelskie";22;22;6425;8224;1981
60702;"gm. Annopol";"kraśnicki";"lubelskie";10;10;1108;2639;486
60703;"gm. Dzierzkowice";"kraśnicki";"lubelskie";6;6;681;1610;389
60704;"gm. Gościeradów";"kraśnicki";"lubelskie";13;13;831;2148;383
60705;"gm. Kraśnik";"kraśnicki";"lubelskie";5;5;989;2090;534
60706;"gm. Szastarka";"kraśnicki";"lubelskie";8;8;568;2021;329
60707;"gm. Trzydnik Duży";"kraśnicki";"lubelskie";11;11;736;1849;426
60708;"gm. Urzędów";"kraśnicki";"lubelskie";9;9;998;2580;665
60709;"gm. Wilkołaz";"kraśnicki";"lubelskie";4;4;560;1993;468
60710;"gm. Zakrzówek";"kraśnicki";"lubelskie";7;7;723;2077;501
60901;"gm. Bełżyce";"lubelski";"lubelskie";15;15;1854;3827;1205
60902;"gm. Borzechów";"lubelski";"lubelskie";6;6;405;1304;312
60903;"gm. Bychawa";"lubelski";"lubelskie";20;20;1625;3388;1009
60904;"gm. Garbów";"lubelski";"lubelskie";10;10;1340;2644;915
60905;"gm. Głusk";"lubelski";"lubelskie";11;11;3202;3163;1399
60906;"gm. Jabłonna";"lubelski";"lubelskie";7;7;1275;2182;828
60907;"gm. Jastków";"lubelski";"lubelskie";8;8;3136;3912;1446
60908;"gm. Konopnica";"lubelski";"lubelskie";6;6;3859;3201;1597
60909;"gm. Krzczonów";"lubelski";"lubelskie";6;6;562;1286;388
60910;"gm. Niedrzwica Duża";"lubelski";"lubelskie";11;11;1947;3369;1278
60911;"gm. Niemce";"lubelski";"lubelskie";11;11;4513;5427;2166
60912;"gm. Strzyżewice";"lubelski";"lubelskie";8;8;1289;2179;852
60913;"gm. Wojciechów";"lubelski";"lubelskie";6;6;824;1707;562
60914;"gm. Wólka";"lubelski";"lubelskie";9;9;2835;3095;1428
60915;"gm. Wysokie";"lubelski";"lubelskie";6;6;457;1495;302
60916;"gm. Zakrzew";"lubelski";"lubelskie";4;4;225;1007;157
61001;"gm. Cyców";"łęczyński";"lubelskie";12;12;903;2156;664
61002;"gm. Ludwin";"łęczyński";"lubelskie";7;7;771;1551;565
61003;"gm. Łęczna";"łęczyński";"lubelskie";17;17;4156;5953;2136
61004;"gm. Milejów";"łęczyński";"lubelskie";9;9;1236;2310;751
61005;"gm. Puchaczów";"łęczyński";"lubelskie";12;12;784;1763;609
61006;"gm. Spiczyn";"łęczyński";"lubelskie";7;7;980;1455;641
61701;"m. Świdnik";"świdnicki";"lubelskie";23;23;8982;9066;3080
61702;"gm. Mełgiew";"świdnicki";"lubelskie";10;10;1946;2712;989
61703;"gm. Piaski";"świdnicki";"lubelskie";17;17;1707;2941;880
61704;"gm. Rybczewice";"świdnicki";"lubelskie";5;5;308;1114;282
61705;"gm. Trawniki";"świdnicki";"lubelskie";6;6;1085;2386;762
