"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SULIMA Marek Artur - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BIERECKI Grzegorz Michał - KW PRAWO I SPRAWIEDLIWOŚĆ"
60101;"m. Międzyrzec Podlaski";"bialski";"lubelskie";11;11;4118;4455
60102;"m. Terespol";"bialski";"lubelskie";3;3;1451;1386
60103;"gm. Biała Podlaska";"bialski";"lubelskie";16;16;3956;3741
60104;"gm. Drelów";"bialski";"lubelskie";6;6;1132;1369
60105;"gm. Janów Podlaski";"bialski";"lubelskie";5;5;1289;1447
60106;"gm. Kodeń";"bialski";"lubelskie";6;6;955;1063
60107;"gm. Konstantynów";"bialski";"lubelskie";6;6;779;1167
60108;"gm. Leśna Podlaska";"bialski";"lubelskie";4;4;800;1353
60109;"gm. Łomazy";"bialski";"lubelskie";8;8;994;1463
60110;"gm. Międzyrzec Podlaski";"bialski";"lubelskie";15;15;2326;3009
60111;"gm. Piszczac";"bialski";"lubelskie";7;7;1248;2134
60112;"gm. Rokitno";"bialski";"lubelskie";6;6;589;832
60113;"gm. Rossosz";"bialski";"lubelskie";3;3;540;697
60114;"gm. Sławatycze";"bialski";"lubelskie";4;4;570;630
60115;"gm. Sosnówka";"bialski";"lubelskie";4;4;524;580
60116;"gm. Terespol";"bialski";"lubelskie";11;11;1308;1901
60117;"gm. Tuczna";"bialski";"lubelskie";3;3;517;857
60118;"gm. Wisznice";"bialski";"lubelskie";8;8;1151;1248
60119;"gm. Zalesie";"bialski";"lubelskie";6;6;875;1171
61301;"gm. Dębowa Kłoda";"parczewski";"lubelskie";7;7;843;1010
61302;"gm. Jabłoń";"parczewski";"lubelskie";6;6;687;1155
61303;"gm. Milanów";"parczewski";"lubelskie";6;6;742;1052
61304;"gm. Parczew";"parczewski";"lubelskie";14;14;3852;3523
61305;"gm. Podedwórze";"parczewski";"lubelskie";3;3;354;477
61306;"gm. Siemień";"parczewski";"lubelskie";6;6;823;1394
61307;"gm. Sosnowica";"parczewski";"lubelskie";4;4;495;653
61501;"m. Radzyń Podlaski";"radzyński";"lubelskie";10;10;3954;3993
61502;"gm. Borki";"radzyński";"lubelskie";11;11;1075;1857
61503;"gm. Czemierniki";"radzyński";"lubelskie";8;8;975;1333
61504;"gm. Kąkolewnica";"radzyński";"lubelskie";9;9;1218;2757
61505;"gm. Komarówka Podlaska";"radzyński";"lubelskie";9;9;872;1247
61506;"gm. Radzyń Podlaski";"radzyński";"lubelskie";14;14;1558;2582
61507;"gm. Ulan-Majorat";"radzyński";"lubelskie";7;7;894;2133
61508;"gm. Wohyń";"radzyński";"lubelskie";9;9;1268;1905
66101;"Biała Podlaska";"Biała Podlaska";"lubelskie";29;29;16518;13593
