"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GRZYWACZEWSKA Kamila - KW PRAWO I SPRAWIEDLIWOŚĆ";"DUDA Jolanta - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ZAJĄC Józef - KWW JÓZEFA ZAJĄCA"
60301;"m. Rejowiec Fabryczny";"chełmski";"lubelskie";3;3;841;310;886
60302;"gm. Białopole";"chełmski";"lubelskie";3;3;539;210;474
60303;"gm. Chełm";"chełmski";"lubelskie";25;25;2389;1022;3984
60304;"gm. Dorohusk";"chełmski";"lubelskie";7;7;1404;431;1066
60305;"gm. Dubienka";"chełmski";"lubelskie";3;3;387;189;502
60306;"gm. Kamień";"chełmski";"lubelskie";6;6;756;294;864
60307;"gm. Leśniowice";"chełmski";"lubelskie";5;5;535;224;726
60308;"gm. Rejowiec Fabryczny";"chełmski";"lubelskie";5;5;997;326;554
60309;"gm. Ruda-Huta";"chełmski";"lubelskie";5;5;736;335;895
60310;"gm. Sawin";"chełmski";"lubelskie";6;6;1097;441;1012
60311;"gm. Siedliszcze";"chełmski";"lubelskie";9;9;1548;544;905
60312;"gm. Wierzbica";"chełmski";"lubelskie";10;10;1307;344;712
60313;"gm. Wojsławice";"chełmski";"lubelskie";6;6;884;205;606
60314;"gm. Żmudź";"chełmski";"lubelskie";6;6;596;243;605
60315;"gm. Rejowiec";"chełmski";"lubelskie";8;8;1198;458;982
60601;"m. Krasnystaw";"krasnostawski";"lubelskie";18;18;3477;1553;4113
60602;"gm. Fajsławice";"krasnostawski";"lubelskie";6;6;1407;488;614
60603;"gm. Gorzków";"krasnostawski";"lubelskie";8;8;805;279;561
60604;"gm. Izbica";"krasnostawski";"lubelskie";9;9;1797;714;1252
60605;"gm. Krasnystaw";"krasnostawski";"lubelskie";19;19;1823;710;1443
60606;"gm. Kraśniczyn";"krasnostawski";"lubelskie";11;11;796;279;609
60607;"gm. Łopiennik Górny";"krasnostawski";"lubelskie";8;8;1005;360;523
60609;"gm. Rudnik";"krasnostawski";"lubelskie";5;5;750;221;388
60610;"gm. Siennica Różana";"krasnostawski";"lubelskie";8;8;600;290;1121
60611;"gm. Żółkiewka";"krasnostawski";"lubelskie";9;9;1277;397;734
61901;"m. Włodawa";"włodawski";"lubelskie";7;7;2454;1167;2947
61902;"gm. Hanna";"włodawski";"lubelskie";5;5;585;306;462
61903;"gm. Hańsk";"włodawski";"lubelskie";4;4;847;253;534
61904;"gm. Stary Brus";"włodawski";"lubelskie";4;4;610;156;258
61905;"gm. Urszulin";"włodawski";"lubelskie";5;5;1374;308;616
61906;"gm. Włodawa";"włodawski";"lubelskie";12;12;1258;600;1145
61907;"gm. Wola Uhruska";"włodawski";"lubelskie";8;8;824;255;729
61908;"gm. Wyryki";"włodawski";"lubelskie";7;7;661;243;231
66201;"Chełm";"Chełm";"lubelskie";36;36;9190;3468;17710
