"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOWALIK Rafał - KW BEZPARTYJNI SAMORZĄDOWCY";"CHRÓŚCIKOWSKI Jerzy Mieczysław - KW PRAWO I SPRAWIEDLIWOŚĆ";"ZAGDAŃSKI Dariusz Zbigniew - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"LIPIEC Marek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"POZNAŃSKI Marek - KW NOWA DEMOKRACJA - TAK";"BRATKOWSKI Arkadiusz Tomasz - KWW ZAMOJSZCZYZNY"
60201;"m. Biłgoraj";"biłgorajski";"lubelskie";15;15;1056;5451;1340;4363;306;1069
60202;"gm. Aleksandrów";"biłgorajski";"lubelskie";4;4;99;976;192;173;24;155
60203;"gm. Biłgoraj";"biłgorajski";"lubelskie";17;17;486;3608;770;991;120;785
60204;"gm. Biszcza";"biłgorajski";"lubelskie";4;4;90;1068;204;219;20;205
60205;"gm. Frampol";"biłgorajski";"lubelskie";9;9;226;1580;323;408;29;363
60206;"gm. Goraj";"biłgorajski";"lubelskie";6;6;172;1201;221;213;27;227
60207;"gm. Józefów";"biłgorajski";"lubelskie";10;10;228;1479;341;744;56;314
60208;"gm. Księżpol";"biłgorajski";"lubelskie";7;7;216;1895;407;520;63;398
60209;"gm. Łukowa";"biłgorajski";"lubelskie";3;3;132;1327;172;300;23;148
60210;"gm. Obsza";"biłgorajski";"lubelskie";4;4;122;1285;233;216;37;188
60211;"gm. Potok Górny";"biłgorajski";"lubelskie";4;4;133;1702;255;306;21;254
60212;"gm. Tarnogród";"biłgorajski";"lubelskie";9;9;237;1908;339;565;48;260
60213;"gm. Tereszpol";"biłgorajski";"lubelskie";5;5;128;987;226;362;46;201
60214;"gm. Turobin";"biłgorajski";"lubelskie";14;14;224;2034;284;369;45;303
60401;"m. Hrubieszów";"hrubieszowski";"lubelskie";15;15;341;3089;572;2032;2104;669
60402;"gm. Dołhobyczów";"hrubieszowski";"lubelskie";8;8;106;1108;180;286;155;310
60403;"gm. Horodło";"hrubieszowski";"lubelskie";6;6;110;1019;168;368;243;244
60404;"gm. Hrubieszów";"hrubieszowski";"lubelskie";19;19;232;2196;349;617;653;493
60405;"gm. Mircze";"hrubieszowski";"lubelskie";11;11;150;1452;221;384;432;477
60406;"gm. Trzeszczany";"hrubieszowski";"lubelskie";4;4;80;979;120;246;172;248
60407;"gm. Uchanie";"hrubieszowski";"lubelskie";7;7;94;1169;163;216;117;365
60408;"gm. Werbkowice";"hrubieszowski";"lubelskie";15;15;291;2074;321;572;359;608
61801;"m. Tomaszów Lubelski";"tomaszowski";"lubelskie";12;12;642;4074;831;3194;268;856
61802;"gm. Bełżec";"tomaszowski";"lubelskie";4;4;103;723;131;281;25;231
61803;"gm. Jarczów";"tomaszowski";"lubelskie";5;5;122;959;154;178;29;178
61804;"gm. Krynice";"tomaszowski";"lubelskie";9;9;91;895;127;225;38;239
61805;"gm. Lubycza Królewska";"tomaszowski";"lubelskie";9;9;177;1297;263;573;54;396
61806;"gm. Łaszczów";"tomaszowski";"lubelskie";11;11;171;1418;215;425;71;455
61807;"gm. Rachanie";"tomaszowski";"lubelskie";10;10;194;1438;225;302;54;229
61808;"gm. Susiec";"tomaszowski";"lubelskie";7;7;223;1980;300;610;70;460
61809;"gm. Tarnawatka";"tomaszowski";"lubelskie";5;5;71;1221;200;219;30;172
61810;"gm. Telatyn";"tomaszowski";"lubelskie";7;7;100;918;177;192;40;312
61811;"gm. Tomaszów Lubelski";"tomaszowski";"lubelskie";14;14;428;2916;588;972;119;589
61812;"gm. Tyszowce";"tomaszowski";"lubelskie";9;9;145;1436;180;347;67;386
61813;"gm. Ulhówek";"tomaszowski";"lubelskie";10;10;100;1082;159;210;37;233
62001;"gm. Adamów";"zamojski";"lubelskie";7;7;151;1299;210;346;49;358
62002;"gm. Grabowiec";"zamojski";"lubelskie";6;6;72;993;150;198;40;376
62003;"gm. Komarów-Osada";"zamojski";"lubelskie";11;11;138;1333;223;351;32;445
62004;"gm. Krasnobród";"zamojski";"lubelskie";13;13;194;2308;368;563;73;501
62005;"gm. Łabunie";"zamojski";"lubelskie";8;8;232;1799;369;447;54;350
62006;"gm. Miączyn";"zamojski";"lubelskie";9;9;105;1142;166;211;38;873
62007;"gm. Nielisz";"zamojski";"lubelskie";7;7;227;1195;300;352;36;421
62008;"gm. Radecznica";"zamojski";"lubelskie";11;11;373;1543;210;252;27;358
62009;"gm. Sitno";"zamojski";"lubelskie";10;10;192;1749;349;461;63;545
62010;"gm. Skierbieszów";"zamojski";"lubelskie";6;6;156;1366;228;347;29;296
62011;"gm. Stary Zamość";"zamojski";"lubelskie";8;8;152;1332;369;432;53;334
62012;"gm. Sułów";"zamojski";"lubelskie";6;6;480;1050;138;234;27;212
62013;"gm. Szczebrzeszyn";"zamojski";"lubelskie";13;13;1932;1939;291;702;122;367
62014;"gm. Zamość";"zamojski";"lubelskie";25;25;1066;5387;1287;3135;282;1435
62015;"gm. Zwierzyniec";"zamojski";"lubelskie";9;9;424;1304;211;912;57;427
66401;"Zamość";"Zamość";"lubelskie";35;35;2240;11964;2802;10901;919;2920
