"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BARCZYK Kamil Sebastian - KW BEZPARTYJNI SAMORZĄDOWCY";"WITKOWSKI Waldemar Włodzimierz - KW NOWA LEWICA";"ŚLUSARZ Rafał Józef - KW PRAWO I SPRAWIEDLIWOŚĆ"
20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";24;24;6728;8463;4991
20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";21;21;2907;2769;2306
20103;"gm. Gromadka";"bolesławiecki";"dolnośląskie";6;6;743;812;1062
20104;"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";14;14;2257;2057;2796
20105;"gm. Osiecznica";"bolesławiecki";"dolnośląskie";7;7;1070;1122;1047
20106;"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";10;10;1382;1302;1490
21001;"m. Lubań";"lubański";"dolnośląskie";10;10;2377;4904;3232
21002;"m. Świeradów-Zdrój";"lubański";"dolnośląskie";5;5;564;1301;795
21003;"gm. Leśna";"lubański";"dolnośląskie";10;10;1143;1835;1643
21004;"gm. Lubań";"lubański";"dolnośląskie";8;8;955;1269;1082
21005;"gm. Olszyna";"lubański";"dolnośląskie";5;5;742;1304;1047
21006;"gm. Platerówka";"lubański";"dolnośląskie";2;2;211;317;361
21007;"gm. Siekierczyn";"lubański";"dolnośląskie";4;4;668;948;934
21201;"gm. Gryfów Śląski";"lwówecki";"dolnośląskie";11;11;1044;1880;1713
21202;"gm. Lubomierz";"lwówecki";"dolnośląskie";8;8;631;1042;1066
21203;"gm. Lwówek Śląski";"lwówecki";"dolnośląskie";17;17;2132;3503;2788
21204;"gm. Mirsk";"lwówecki";"dolnośląskie";6;6;840;1619;1513
21205;"gm. Wleń";"lwówecki";"dolnośląskie";8;8;460;878;761
22501;"m. Zawidów";"zgorzelecki";"dolnośląskie";2;2;564;801;650
22502;"m. Zgorzelec";"zgorzelecki";"dolnośląskie";20;20;5019;7327;4867
22503;"gm. Bogatynia";"zgorzelecki";"dolnośląskie";27;27;2660;4408;4123
22504;"gm. Pieńsk";"zgorzelecki";"dolnośląskie";10;10;1204;1542;1272
22505;"gm. Sulików";"zgorzelecki";"dolnośląskie";10;10;805;840;1280
22506;"gm. Węgliniec";"zgorzelecki";"dolnośląskie";10;10;988;1488;1305
22507;"gm. Zgorzelec";"zgorzelecki";"dolnośląskie";17;17;1560;1641;1520
