"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ADAMCZAK Rafał Zdzisław - KW BEZPARTYJNI SAMORZĄDOWCY";"RÓŻAŃSKI Mirosław - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MAĆKOWIAK Grzegorz Przemysław - KW PRAWO I SPRAWIEDLIWOŚĆ"
80201;"m. Gubin";"krośnieński";"lubuskie";10;10;1204;5220;1776
80202;"gm. Bobrowice";"krośnieński";"lubuskie";5;5;224;815;531
80203;"gm. Bytnica";"krośnieński";"lubuskie";3;3;179;549;379
80204;"gm. Dąbie";"krośnieński";"lubuskie";10;10;422;1291;816
80205;"gm. Gubin";"krośnieński";"lubuskie";12;12;648;1734;1052
80206;"gm. Krosno Odrzańskie";"krośnieński";"lubuskie";18;18;1255;5358;2569
80207;"gm. Maszewo";"krośnieński";"lubuskie";5;5;204;592;497
80801;"gm. Lubrza";"świebodziński";"lubuskie";6;6;336;1046;615
80802;"gm. Łagów";"świebodziński";"lubuskie";6;6;449;1235;785
80803;"gm. Skąpe";"świebodziński";"lubuskie";8;8;392;1429;783
80804;"gm. Szczaniec";"świebodziński";"lubuskie";5;5;316;834;724
80805;"gm. Świebodzin";"świebodziński";"lubuskie";26;26;2280;8587;4248
80806;"gm. Zbąszynek";"świebodziński";"lubuskie";7;7;700;2599;1167
80901;"gm. Babimost";"zielonogórski";"lubuskie";6;6;592;1792;937
80902;"gm. Bojadła";"zielonogórski";"lubuskie";4;4;337;733;489
80903;"gm. Czerwieńsk";"zielonogórski";"lubuskie";9;9;928;2942;1374
80904;"gm. Kargowa";"zielonogórski";"lubuskie";5;5;539;1693;800
80905;"gm. Nowogród Bobrzański";"zielonogórski";"lubuskie";14;14;1017;2621;1439
80906;"gm. Sulechów";"zielonogórski";"lubuskie";19;19;2339;7556;3507
80907;"gm. Świdnica";"zielonogórski";"lubuskie";6;6;791;2210;883
80908;"gm. Trzebiechów";"zielonogórski";"lubuskie";7;7;290;757;473
80909;"gm. Zabór";"zielonogórski";"lubuskie";5;5;481;1629;549
86201;"Zielona Góra";"Zielona Góra";"lubuskie";77;77;12333;50825;17214
