"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"JASKUŁA Tomasz - KW BEZPARTYJNI SAMORZĄDOWCY";"KOMARNICKI Władysław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
80101;"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";17;17;3193;5750
80102;"gm. Bogdaniec";"gorzowski";"lubuskie";6;6;1643;1992
80103;"gm. Deszczno";"gorzowski";"lubuskie";8;8;2573;2979
80104;"gm. Kłodawa";"gorzowski";"lubuskie";9;9;1824;3208
80105;"gm. Lubiszyn";"gorzowski";"lubuskie";7;7;1431;1873
80106;"gm. Santok";"gorzowski";"lubuskie";8;8;1895;2611
80107;"gm. Witnica";"gorzowski";"lubuskie";14;14;2614;3339
80301;"gm. Bledzew";"międzyrzecki";"lubuskie";6;6;966;962
80302;"gm. Międzyrzecz";"międzyrzecki";"lubuskie";23;23;5080;7403
80303;"gm. Przytoczna";"międzyrzecki";"lubuskie";7;7;1176;1367
80304;"gm. Pszczew";"międzyrzecki";"lubuskie";8;8;1079;986
80305;"gm. Skwierzyna";"międzyrzecki";"lubuskie";12;12;2396;3198
80306;"gm. Trzciel";"międzyrzecki";"lubuskie";9;9;1412;1669
80501;"gm. Cybinka";"słubicki";"lubuskie";5;5;1380;1508
80502;"gm. Górzyca";"słubicki";"lubuskie";4;4;935;1035
80503;"gm. Ośno Lubuskie";"słubicki";"lubuskie";4;4;1376;1614
80504;"gm. Rzepin";"słubicki";"lubuskie";5;5;2093;2517
80505;"gm. Słubice";"słubicki";"lubuskie";20;20;3856;7464
80601;"gm. Dobiegniew";"strzelecko-drezdenecki";"lubuskie";8;8;1326;1534
80602;"gm. Drezdenko";"strzelecko-drezdenecki";"lubuskie";17;17;3501;4396
80603;"gm. Stare Kurowo";"strzelecko-drezdenecki";"lubuskie";6;6;808;1003
80604;"gm. Strzelce Krajeńskie";"strzelecko-drezdenecki";"lubuskie";16;16;3217;4618
80605;"gm. Zwierzyn";"strzelecko-drezdenecki";"lubuskie";5;5;910;968
80701;"gm. Krzeszyce";"sulęciński";"lubuskie";5;5;1080;1175
80702;"gm. Lubniewice";"sulęciński";"lubuskie";4;4;562;909
80703;"gm. Słońsk";"sulęciński";"lubuskie";7;7;1200;1240
80704;"gm. Sulęcin";"sulęciński";"lubuskie";22;22;3531;3684
80705;"gm. Torzym";"sulęciński";"lubuskie";11;11;1375;1560
86101;"Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";68;68;23947;36301
