"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KŁOSOWSKI Tomasz Jacek - KW PRAWO I SPRAWIEDLIWOŚĆ";"TYSZKIEWICZ Wadim - KWW WADIM TYSZKIEWICZ - PAKT SENACKI"
80401;"m. Nowa Sól";"nowosolski";"lubuskie";18;18;5049;14380
80402;"gm. Bytom Odrzański";"nowosolski";"lubuskie";4;4;756;1915
80403;"gm. Kolsko";"nowosolski";"lubuskie";2;2;534;1111
80404;"gm. Kożuchów";"nowosolski";"lubuskie";14;14;2158;5349
80405;"gm. Nowa Sól";"nowosolski";"lubuskie";9;9;1147;2657
80406;"gm. Nowe Miasteczko";"nowosolski";"lubuskie";8;8;825;1650
80407;"gm. Otyń";"nowosolski";"lubuskie";6;6;1008;2710
80408;"gm. Siedlisko";"nowosolski";"lubuskie";4;4;590;1135
81001;"m. Gozdnica";"żagański";"lubuskie";3;3;459;768
81002;"m. Żagań";"żagański";"lubuskie";14;14;3461;8783
81003;"gm. Brzeźnica";"żagański";"lubuskie";4;4;694;1060
81004;"gm. Iłowa";"żagański";"lubuskie";9;9;1168;1963
81005;"gm. Małomice";"żagański";"lubuskie";5;5;859;1511
81006;"gm. Niegosławice";"żagański";"lubuskie";8;8;941;1136
81007;"gm. Szprotawa";"żagański";"lubuskie";19;19;3096;6189
81008;"gm. Wymiarki";"żagański";"lubuskie";2;2;368;615
81009;"gm. Żagań";"żagański";"lubuskie";13;13;1137;2336
81101;"m. Łęknica";"żarski";"lubuskie";2;2;317;837
81102;"m. Żary";"żarski";"lubuskie";23;23;5311;12918
81103;"gm. Brody";"żarski";"lubuskie";6;6;499;981
81104;"gm. Jasień";"żarski";"lubuskie";5;5;994;2120
81105;"gm. Lipinki Łużyckie";"żarski";"lubuskie";5;5;533;1039
81106;"gm. Lubsko";"żarski";"lubuskie";15;15;2537;5801
81107;"gm. Przewóz";"żarski";"lubuskie";6;6;618;913
81108;"gm. Trzebiel";"żarski";"lubuskie";5;5;1018;1699
81109;"gm. Tuplice";"żarski";"lubuskie";2;2;460;984
81110;"gm. Żary";"żarski";"lubuskie";14;14;2163;3937
81201;"gm. Sława";"wschowski";"lubuskie";15;15;2175;3988
81202;"gm. Szlichtyngowa";"wschowski";"lubuskie";8;8;1229;1158
81203;"gm. Wschowa";"wschowski";"lubuskie";21;21;3956;5993
