"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ADAMCZYK Piotr - KW PRAWO I SPRAWIEDLIWOŚĆ";"CIUPKA Bogusław Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KWIATKOWSKI Krzysztof - KWW KRZYSZTOF KWIATKOWSKI - PAKT SENACKI"
100602;"gm. Andrespol";"łódzki wschodni";"łódzkie";17;17;2947;1159;5157
100603;"gm. Brójce";"łódzki wschodni";"łódzkie";7;7;1771;614;1964
100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";26;26;5368;1615;6927
100608;"gm. Nowosolna";"łódzki wschodni";"łódzkie";6;6;887;360;2358
100610;"gm. Rzgów";"łódzki wschodni";"łódzkie";9;9;2456;846;3502
100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";22;22;2978;977;3732
102101;"m. Brzeziny";"brzeziński";"łódzkie";9;9;2705;802;3472
102102;"gm. Brzeziny";"brzeziński";"łódzkie";10;10;1518;498;1569
102103;"gm. Dmosin";"brzeziński";"łódzkie";9;9;1188;379;973
102104;"gm. Jeżów";"brzeziński";"łódzkie";10;10;1081;235;591
102105;"gm. Rogów";"brzeziński";"łódzkie";7;7;1259;343;1074
;"Część miasta na prawach powiatu Łódź";"Część miasta na prawach powiatu Łódź";"łódzkie";135;135;44583;16952;108370
