"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GAJDA Radosław Władysław - KW BEZPARTYJNI SAMORZĄDOWCY";"GAJDA Tadeusz Stanisław - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BŁASZCZYK Przemysław Jacek - KW PRAWO I SPRAWIEDLIWOŚĆ";"SOBOL Kamil - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PIGŁOWSKI Dariusz Andrzej - KW RUCH NAPRAWY POLSKI"
100201;"m. Kutno";"kutnowski";"łódzkie";29;29;1825;10420;9317;1827;510
100202;"gm. Bedlno";"kutnowski";"łódzkie";7;7;176;744;1536;267;52
100203;"gm. Dąbrowice";"kutnowski";"łódzkie";4;4;50;221;582;84;18
100204;"gm. Krośniewice";"kutnowski";"łódzkie";10;10;293;1226;2156;323;70
100205;"gm. Krzyżanów";"kutnowski";"łódzkie";4;4;160;598;1206;209;37
100206;"gm. Kutno";"kutnowski";"łódzkie";10;10;331;1670;2222;468;83
100207;"gm. Łanięta";"kutnowski";"łódzkie";3;3;117;243;635;79;18
100208;"gm. Nowe Ostrowy";"kutnowski";"łódzkie";4;4;119;522;898;156;46
100209;"gm. Oporów";"kutnowski";"łódzkie";2;2;100;334;754;113;9
100210;"gm. Strzelce";"kutnowski";"łódzkie";4;4;132;562;1088;172;49
100211;"gm. Żychlin";"kutnowski";"łódzkie";9;9;376;2068;2555;508;120
100401;"m. Łęczyca";"łęczycki";"łódzkie";12;12;516;3295;2725;597;164
100402;"gm. Daszyna";"łęczycki";"łódzkie";2;2;142;478;1188;152;34
100403;"gm. Góra Świętej Małgorzaty";"łęczycki";"łódzkie";6;6;127;440;1531;243;28
100404;"gm. Grabów";"łęczycki";"łódzkie";7;7;160;642;1835;231;46
100405;"gm. Łęczyca";"łęczycki";"łódzkie";9;9;342;1455;2770;512;98
100406;"gm. Piątek";"łęczycki";"łódzkie";8;8;215;811;1914;278;44
100407;"gm. Świnice Warckie";"łęczycki";"łódzkie";4;4;142;545;1137;168;42
100408;"gm. Witonia";"łęczycki";"łódzkie";5;5;91;409;1024;168;27
100501;"m. Łowicz";"łowicki";"łódzkie";23;23;1164;6320;5764;2163;378
100502;"gm. Bielawy";"łowicki";"łódzkie";8;8;199;800;1444;315;59
100503;"gm. Chąśno";"łowicki";"łódzkie";3;3;94;405;865;294;26
100504;"gm. Domaniewice";"łowicki";"łódzkie";8;8;134;937;1192;285;35
100505;"gm. Kiernozia";"łowicki";"łódzkie";4;4;78;464;991;181;21
100506;"gm. Kocierzew Południowy";"łowicki";"łódzkie";4;4;97;484;1394;294;26
100507;"gm. Łowicz";"łowicki";"łódzkie";8;8;311;1361;2019;689;90
100508;"gm. Łyszkowice";"łowicki";"łódzkie";9;9;234;979;1857;452;58
100509;"gm. Nieborów";"łowicki";"łódzkie";8;8;366;1784;2565;707;104
100510;"gm. Zduny";"łowicki";"łódzkie";6;6;197;1042;1434;376;44
101101;"gm. Dalików";"poddębicki";"łódzkie";5;5;177;773;1179;229;62
101102;"gm. Pęczniew";"poddębicki";"łódzkie";5;5;141;622;1009;151;54
101103;"gm. Poddębice";"poddębicki";"łódzkie";21;21;556;3570;3405;654;489
101104;"gm. Uniejów";"poddębicki";"łódzkie";8;8;246;1287;2135;336;104
101105;"gm. Wartkowice";"poddębicki";"łódzkie";10;10;209;890;1695;301;129
101106;"gm. Zadzim";"poddębicki";"łódzkie";6;6;197;790;1384;248;86
