"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KARPIŃSKI Marcin - KW NOWA LEWICA";"ŁUCZAK Maciej Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"DOMAGAŁA Klaudia Ewa - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
100301;"gm. Buczek";"łaski";"łódzkie";8;8;1055;1287;584
100302;"gm. Łask";"łaski";"łódzkie";23;23;7369;5792;2460
100303;"gm. Sędziejowice";"łaski";"łódzkie";16;16;1127;1920;595
100304;"gm. Widawa";"łaski";"łódzkie";8;8;1061;2232;720
100305;"gm. Wodzierady";"łaski";"łódzkie";5;5;977;944;372
100801;"m. Konstantynów Łódzki";"pabianicki";"łódzkie";13;13;5994;3350;1769
100802;"m. Pabianice";"pabianicki";"łódzkie";29;29;19279;11527;4806
100803;"gm. Dłutów";"pabianicki";"łódzkie";5;5;1140;1258;480
100804;"gm. Dobroń";"pabianicki";"łódzkie";6;6;2190;1749;763
100805;"gm. Ksawerów";"pabianicki";"łódzkie";7;7;2505;1494;769
100806;"gm. Lutomiersk";"pabianicki";"łódzkie";7;7;2671;1963;924
100807;"gm. Pabianice";"pabianicki";"łódzkie";5;5;2519;1835;803
102001;"m. Głowno";"zgierski";"łódzkie";12;12;3921;2585;1180
102002;"m. Ozorków";"zgierski";"łódzkie";16;16;4704;3746;1655
102003;"m. Zgierz";"zgierski";"łódzkie";42;42;17043;10123;4575
102004;"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";17;17;11414;5628;3099
102005;"gm. Głowno";"zgierski";"łódzkie";6;6;840;1347;472
102006;"gm. Ozorków";"zgierski";"łódzkie";7;7;1687;1994;638
102007;"gm. Parzęczew";"zgierski";"łódzkie";9;9;1398;1254;592
102008;"gm. Stryków";"zgierski";"łódzkie";16;16;3940;2650;1211
102009;"gm. Zgierz";"zgierski";"łódzkie";10;10;5273;3097;1310
