"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SEWERYŃSKI Michał - KW PRAWO I SPRAWIEDLIWOŚĆ";"SZYMCZAK Robert - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"RYL Dorota Helena - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
100901;"gm. Działoszyn";"pajęczański";"łódzkie";8;8;3140;955;2595
100902;"gm. Kiełczygłów";"pajęczański";"łódzkie";3;3;1333;371;599
100903;"gm. Nowa Brzeźnica";"pajęczański";"łódzkie";4;4;1314;374;827
100904;"gm. Pajęczno";"pajęczański";"łódzkie";9;9;2976;848;2419
100905;"gm. Rząśnia";"pajęczański";"łódzkie";7;7;1612;425;716
100906;"gm. Siemkowice";"pajęczański";"łódzkie";4;4;1441;416;701
100907;"gm. Strzelce Wielkie";"pajęczański";"łódzkie";4;4;1412;376;646
100908;"gm. Sulmierzyce";"pajęczański";"łódzkie";5;5;1430;384;690
101401;"m. Sieradz";"sieradzki";"łódzkie";28;28;8422;2772;12556
101402;"gm. Błaszki";"sieradzki";"łódzkie";12;12;4129;1111;2226
101403;"gm. Brąszewice";"sieradzki";"łódzkie";4;4;1394;373;539
101404;"gm. Brzeźnio";"sieradzki";"łódzkie";5;5;1598;531;1346
101405;"gm. Burzenin";"sieradzki";"łódzkie";9;9;1402;502;993
101406;"gm. Goszczanów";"sieradzki";"łódzkie";7;7;1530;441;735
101407;"gm. Klonowa";"sieradzki";"łódzkie";5;5;915;239;369
101408;"gm. Sieradz";"sieradzki";"łódzkie";8;8;2948;843;2229
101409;"gm. Warta";"sieradzki";"łódzkie";12;12;3560;971;2141
101410;"gm. Wróblew";"sieradzki";"łódzkie";4;4;1848;506;1010
101411;"gm. Złoczew";"sieradzki";"łódzkie";7;7;1892;592;1239
101701;"gm. Biała";"wieluński";"łódzkie";8;8;1385;448;1023
101702;"gm. Czarnożyły";"wieluński";"łódzkie";6;6;1218;362;896
101703;"gm. Konopnica";"wieluński";"łódzkie";6;6;980;313;787
101704;"gm. Mokrsko";"wieluński";"łódzkie";6;6;1422;441;1025
101705;"gm. Osjaków";"wieluński";"łódzkie";6;6;1393;438;837
101706;"gm. Ostrówek";"wieluński";"łódzkie";7;7;1191;368;796
101707;"gm. Pątnów";"wieluński";"łódzkie";10;10;2064;531;1097
101708;"gm. Skomlin";"wieluński";"łódzkie";4;4;823;264;616
101709;"gm. Wieluń";"wieluński";"łódzkie";27;27;6388;2040;8974
101710;"gm. Wierzchlas";"wieluński";"łódzkie";8;8;1673;542;1327
101801;"gm. Bolesławiec";"wieruszowski";"łódzkie";4;4;911;368;788
101802;"gm. Czastary";"wieruszowski";"łódzkie";4;4;972;358;712
101803;"gm. Galewice";"wieruszowski";"łódzkie";8;8;1520;631;1047
101804;"gm. Lututów";"wieruszowski";"łódzkie";6;6;1157;422;762
101805;"gm. Łubnice";"wieruszowski";"łódzkie";5;5;961;406;796
101806;"gm. Sokolniki";"wieruszowski";"łódzkie";5;5;1285;481;1049
101807;"gm. Wieruszów";"wieruszowski";"łódzkie";13;13;2983;1287;3899
101901;"m. Zduńska Wola";"zduńskowolski";"łódzkie";23;23;8559;2573;10846
101902;"gm. Szadek";"zduńskowolski";"łódzkie";8;8;1925;633;1489
101903;"gm. Zapolice";"zduńskowolski";"łódzkie";5;5;1267;599;1089
101904;"gm. Zduńska Wola";"zduńskowolski";"łódzkie";7;7;3008;1039;2778
