"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CHRZANOWSKI Marek - KW BEZPARTYJNI SAMORZĄDOWCY";"MAZUR Marek Marian - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"DOBKOWSKI Wiesław Józef - KW PRAWO I SPRAWIEDLIWOŚĆ";"KWAPISIEWICZ Marek Łukasz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JANOWSKA Małgorzata Monika - KW POLSKA JEST JEDNA"
100101;"m. Bełchatów";"bełchatowski";"łódzkie";28;28;4229;9703;10782;2436;3299
100102;"gm. Bełchatów";"bełchatowski";"łódzkie";9;9;719;1857;2620;622;1597
100103;"gm. Drużbice";"bełchatowski";"łódzkie";6;6;259;739;1369;258;341
100104;"gm. Kleszczów";"bełchatowski";"łódzkie";7;7;441;1208;1354;492;190
100105;"gm. Kluki";"bełchatowski";"łódzkie";5;5;269;594;1093;243;364
100106;"gm. Rusiec";"bełchatowski";"łódzkie";6;6;211;748;1174;230;590
100107;"gm. Szczerców";"bełchatowski";"łódzkie";7;7;395;1235;2157;455;551
100108;"gm. Zelów";"bełchatowski";"łódzkie";11;11;1261;2122;3429;608;579
101001;"gm. Aleksandrów";"piotrkowski";"łódzkie";6;6;96;745;1409;153;146
101002;"gm. Czarnocin";"piotrkowski";"łódzkie";6;6;136;717;1203;247;115
101003;"gm. Gorzkowice";"piotrkowski";"łódzkie";10;10;248;1289;2431;340;267
101004;"gm. Grabica";"piotrkowski";"łódzkie";6;6;203;1030;1752;316;174
101005;"gm. Łęki Szlacheckie";"piotrkowski";"łódzkie";4;4;108;522;949;151;85
101006;"gm. Moszczenica";"piotrkowski";"łódzkie";10;10;478;2527;3368;675;344
101007;"gm. Ręczno";"piotrkowski";"łódzkie";4;4;112;623;996;131;100
101008;"gm. Rozprza";"piotrkowski";"łódzkie";10;10;364;2012;3350;533;375
101009;"gm. Sulejów";"piotrkowski";"łódzkie";13;13;646;3365;4086;790;531
101010;"gm. Wola Krzysztoporska";"piotrkowski";"łódzkie";12;12;447;1740;3551;523;372
101011;"gm. Wolbórz";"piotrkowski";"łódzkie";12;12;352;1587;2051;498;216
101201;"m. Radomsko";"radomszczański";"łódzkie";24;24;2075;10958;8716;1773;1251
101202;"gm. Dobryszyce";"radomszczański";"łódzkie";4;4;204;895;986;202;127
101203;"gm. Gidle";"radomszczański";"łódzkie";7;7;223;1032;1381;302;212
101204;"gm. Gomunice";"radomszczański";"łódzkie";7;7;202;1160;1502;266;151
101205;"gm. Kamieńsk";"radomszczański";"łódzkie";7;7;240;813;1668;247;258
101206;"gm. Kobiele Wielkie";"radomszczański";"łódzkie";5;5;209;749;999;175;143
101207;"gm. Kodrąb";"radomszczański";"łódzkie";7;7;200;739;1121;171;159
101208;"gm. Lgota Wielka";"radomszczański";"łódzkie";7;7;202;641;1106;247;137
101209;"gm. Ładzice";"radomszczański";"łódzkie";5;5;179;791;1133;183;174
101210;"gm. Masłowice";"radomszczański";"łódzkie";7;7;147;518;1205;162;211
101211;"gm. Przedbórz";"radomszczański";"łódzkie";7;7;210;998;1816;269;289
101212;"gm. Radomsko";"radomszczański";"łódzkie";7;7;210;1198;1250;256;155
101213;"gm. Wielgomłyny";"radomszczański";"łódzkie";7;7;148;582;1283;166;154
101214;"gm. Żytno";"radomszczański";"łódzkie";6;6;190;606;1454;213;174
106201;"Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";41;41;2826;18593;13099;2771;2170
