"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KUCHARSKI Sylwester Wojciech - KW BEZPARTYJNI SAMORZĄDOWCY";"MATYSIAK Józef Adam - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"AMBROZIK Rafał Michał - KW PRAWO I SPRAWIEDLIWOŚĆ";"FĄK Andrzej - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SKIBA Rafał - KWW POROZUMIENIE OBYWATELSKIE"
100701;"gm. Białaczów";"opoczyński";"łódzkie";8;8;187;643;1803;257;170
100702;"gm. Drzewica";"opoczyński";"łódzkie";17;17;307;1197;3580;467;321
100703;"gm. Mniszków";"opoczyński";"łódzkie";4;4;179;479;1661;213;128
100704;"gm. Opoczno";"opoczyński";"łódzkie";32;32;1080;5341;9594;1553;1347
100705;"gm. Paradyż";"opoczyński";"łódzkie";4;4;134;431;1619;182;78
100706;"gm. Poświętne";"opoczyński";"łódzkie";4;4;93;347;1139;155;78
100707;"gm. Sławno";"opoczyński";"łódzkie";11;11;264;864;2623;392;159
100708;"gm. Żarnów";"opoczyński";"łódzkie";12;12;155;712;1978;251;160
101301;"m. Rawa Mazowiecka";"rawski";"łódzkie";9;9;522;3924;4070;638;615
101302;"gm. Biała Rawska";"rawski";"łódzkie";12;12;274;2131;2643;518;232
101303;"gm. Cielądz";"rawski";"łódzkie";5;5;117;654;1178;181;69
101304;"gm. Rawa Mazowiecka";"rawski";"łódzkie";6;6;263;1500;2497;418;201
101305;"gm. Regnów";"rawski";"łódzkie";2;2;34;532;444;49;19
101306;"gm. Sadkowice";"rawski";"łódzkie";4;4;121;802;1498;246;120
101501;"gm. Bolimów";"skierniewicki";"łódzkie";5;5;159;674;1076;217;185
101502;"gm. Głuchów";"skierniewicki";"łódzkie";4;4;193;700;2219;269;114
101503;"gm. Godzianów";"skierniewicki";"łódzkie";2;2;95;335;923;146;77
101504;"gm. Kowiesy";"skierniewicki";"łódzkie";5;5;94;581;745;183;123
101505;"gm. Lipce Reymontowskie";"skierniewicki";"łódzkie";3;3;84;448;1108;149;126
101506;"gm. Maków";"skierniewicki";"łódzkie";6;6;239;929;1805;361;226
101507;"gm. Nowy Kawęczyn";"skierniewicki";"łódzkie";4;4;110;543;1006;218;117
101508;"gm. Skierniewice";"skierniewicki";"łódzkie";9;9;317;1221;2063;429;385
101509;"gm. Słupia";"skierniewicki";"łódzkie";4;4;93;321;965;149;80
101601;"m. Tomaszów Mazowiecki";"tomaszowski";"łódzkie";28;28;4218;11060;11740;2624;3321
101602;"gm. Będków";"tomaszowski";"łódzkie";4;4;126;420;1021;230;132
101603;"gm. Budziszewice";"tomaszowski";"łódzkie";3;3;69;293;677;135;65
101604;"gm. Czerniewice";"tomaszowski";"łódzkie";4;4;167;692;1601;272;93
101605;"gm. Inowłódz";"tomaszowski";"łódzkie";4;4;212;707;1031;183;187
101606;"gm. Lubochnia";"tomaszowski";"łódzkie";10;10;351;887;2209;424;218
101607;"gm. Rokiciny";"tomaszowski";"łódzkie";6;6;257;1022;1729;329;318
101608;"gm. Rzeczyca";"tomaszowski";"łódzkie";4;4;160;520;1627;225;102
101609;"gm. Tomaszów Mazowiecki";"tomaszowski";"łódzkie";13;13;727;2005;2896;567;527
101610;"gm. Ujazd";"tomaszowski";"łódzkie";10;10;339;1234;2018;419;340
101611;"gm. Żelechlinek";"tomaszowski";"łódzkie";5;5;68;519;1063;141;48
106301;"Skierniewice";"Skierniewice";"łódzkie";27;27;1881;10889;9132;2185;3543
