"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"OBRĘBALSKI Marek Adam - KW BEZPARTYJNI SAMORZĄDOWCY";"MRÓZ Krzysztof Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"ZAWIŁA Marcin Edward - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"STRAUS Patryk Piotr - KW NOWA DEMOKRACJA - TAK";"PAWELCZYK Robert Sebastian - KW POLSKA 2050";"MISZTELA Damian - KWW NASZA LEWICA"
20501;"m. Jawor";"jaworski";"dolnośląskie";14;14;887;4400;3931;183;770;1231
20502;"gm. Bolków";"jaworski";"dolnośląskie";14;14;343;1738;1577;124;314;660
20503;"gm. Męcinka";"jaworski";"dolnośląskie";10;10;257;1265;700;67;182;244
20504;"gm. Mściwojów";"jaworski";"dolnośląskie";3;3;183;769;651;47;160;169
20505;"gm. Paszowice";"jaworski";"dolnośląskie";3;3;223;872;599;42;176;228
20506;"gm. Wądroże Wielkie";"jaworski";"dolnośląskie";3;3;174;799;589;49;192;222
20601;"m. Karpacz";"karkonoski";"dolnośląskie";6;6;283;861;2082;46;250;334
20602;"m. Kowary";"karkonoski";"dolnośląskie";9;9;449;1409;2396;100;310;468
20603;"m. Piechowice";"karkonoski";"dolnośląskie";4;4;236;844;1582;44;213;267
20604;"m. Szklarska Poręba";"karkonoski";"dolnośląskie";9;9;338;955;2047;69;320;365
20605;"gm. Janowice Wielkie";"karkonoski";"dolnośląskie";6;6;232;614;1038;46;144;189
20606;"gm. Jeżów Sudecki";"karkonoski";"dolnośląskie";4;4;398;1015;2188;69;261;285
20607;"gm. Mysłakowice";"karkonoski";"dolnośląskie";8;8;526;1563;2448;83;429;371
20608;"gm. Podgórzyn";"karkonoski";"dolnośląskie";7;7;347;1159;2428;102;255;322
20609;"gm. Stara Kamienica";"karkonoski";"dolnośląskie";5;5;242;808;1174;68;201;203
20701;"m. Kamienna Góra";"kamiennogórski";"dolnośląskie";10;10;379;2781;2786;2007;420;603
20702;"gm. Kamienna Góra";"kamiennogórski";"dolnośląskie";15;15;204;1364;1068;1669;188;266
20703;"gm. Lubawka";"kamiennogórski";"dolnośląskie";9;9;319;1700;1793;890;338;543
20704;"gm. Marciszów";"kamiennogórski";"dolnośląskie";7;7;149;726;665;286;158;179
22601;"m. Wojcieszów";"złotoryjski";"dolnośląskie";3;3;135;491;706;32;91;162
22602;"m. Złotoryja";"złotoryjski";"dolnośląskie";11;11;444;2702;3347;106;465;807
22603;"gm. Pielgrzymka";"złotoryjski";"dolnośląskie";7;7;184;844;614;41;179;194
22604;"gm. Świerzawa";"złotoryjski";"dolnośląskie";9;9;282;1258;1246;80;214;343
22605;"gm. Zagrodno";"złotoryjski";"dolnośląskie";8;8;231;1293;613;38;181;191
22606;"gm. Złotoryja";"złotoryjski";"dolnośląskie";8;8;264;1451;1273;65;243;330
26101;"Jelenia Góra";"Jelenia Góra";"dolnośląskie";49;49;3755;10841;21658;718;2516;3017
