"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KLĘCZAR Krzysztof Jan - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"PAJĄK Andrzej Michał - KW PRAWO I SPRAWIEDLIWOŚĆ";"ŁUKAJCZYK Dawid - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GRACZYK Piotr Paweł - KWW RDIP";"BURZYŃSKI Zbigniew Józef - KW WIS"
120301;"gm. Alwernia";"chrzanowski";"małopolskie";11;11;2924;2836;710;188;450
120302;"gm. Babice";"chrzanowski";"małopolskie";9;9;2126;2150;532;144;283
120303;"gm. Chrzanów";"chrzanowski";"małopolskie";31;31;12854;7946;2207;829;1539
120304;"gm. Libiąż";"chrzanowski";"małopolskie";15;15;5129;5003;1200;303;668
120305;"gm. Trzebinia";"chrzanowski";"małopolskie";26;26;8871;6142;1980;599;1179
120901;"gm. Dobczyce";"myślenicki";"małopolskie";15;15;2963;3998;1149;215;473
120902;"gm. Lubień";"myślenicki";"małopolskie";5;5;1179;3187;739;143;209
120903;"gm. Myślenice";"myślenicki";"małopolskie";30;30;10666;11332;2821;587;1105
120904;"gm. Pcim";"myślenicki";"małopolskie";8;8;1604;3611;711;150;277
120905;"gm. Raciechowice";"myślenicki";"małopolskie";11;11;915;1854;414;105;195
120906;"gm. Siepraw";"myślenicki";"małopolskie";6;6;1817;2506;687;144;234
120907;"gm. Sułkowice";"myślenicki";"małopolskie";9;9;2661;3926;1036;329;484
120908;"gm. Tokarnia";"myślenicki";"małopolskie";6;6;969;3049;592;86;156
120909;"gm. Wiśniowa";"myślenicki";"małopolskie";7;7;885;2669;567;73;150
121301;"m. Oświęcim";"oświęcimski";"małopolskie";25;25;10710;6565;1673;519;1161
121302;"gm. Brzeszcze";"oświęcimski";"małopolskie";13;13;5327;4754;1035;280;689
121303;"gm. Chełmek";"oświęcimski";"małopolskie";9;9;3020;2636;736;208;423
121304;"gm. Kęty";"oświęcimski";"małopolskie";21;21;10799;6260;1249;249;530
121305;"gm. Osiek";"oświęcimski";"małopolskie";4;4;2039;1986;417;66;146
121306;"gm. Oświęcim";"oświęcimski";"małopolskie";16;16;5432;4279;980;234;574
121307;"gm. Polanka Wielka";"oświęcimski";"małopolskie";3;3;1135;1071;263;38;89
121308;"gm. Przeciszów";"oświęcimski";"małopolskie";4;4;1639;1510;365;83;185
121309;"gm. Zator";"oświęcimski";"małopolskie";12;12;2162;2192;513;123;250
121501;"m. Jordanów";"suski";"małopolskie";4;4;1021;1297;324;62;115
121502;"m. Sucha Beskidzka";"suski";"małopolskie";7;7;2375;1976;513;142;251
121503;"gm. Budzów";"suski";"małopolskie";6;6;1067;2332;491;373;187
121504;"gm. Bystra-Sidzina";"suski";"małopolskie";4;4;780;1948;418;67;138
121505;"gm. Jordanów";"suski";"małopolskie";7;7;1243;3492;715;126;217
121506;"gm. Maków Podhalański";"suski";"małopolskie";12;12;2674;4361;969;198;368
121507;"gm. Stryszawa";"suski";"małopolskie";9;9;1969;3605;724;166;304
121508;"gm. Zawoja";"suski";"małopolskie";8;8;1436;2758;509;99;225
121509;"gm. Zembrzyce";"suski";"małopolskie";5;5;1010;1448;320;109;157
121801;"gm. Andrychów";"wadowicki";"małopolskie";24;24;9965;9850;2466;579;1120
121802;"gm. Brzeźnica";"wadowicki";"małopolskie";12;12;2375;2648;647;148;293
121803;"gm. Kalwaria Zebrzydowska";"wadowicki";"małopolskie";16;16;4216;4587;1288;276;931
121804;"gm. Lanckorona";"wadowicki";"małopolskie";4;4;1027;1576;379;85;386
121805;"gm. Mucharz";"wadowicki";"małopolskie";5;5;888;1039;238;50;140
121806;"gm. Spytkowice";"wadowicki";"małopolskie";6;6;1966;2795;546;98;259
121807;"gm. Stryszów";"wadowicki";"małopolskie";6;6;1314;1704;434;93;270
121808;"gm. Tomice";"wadowicki";"małopolskie";6;6;1764;1878;499;111;250
121809;"gm. Wadowice";"wadowicki";"małopolskie";28;28;8972;8362;2088;530;1250
121810;"gm. Wieprz";"wadowicki";"małopolskie";9;9;2535;3408;767;159;315
