"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"PĘK Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"MAŁODOBRY Grzegorz Franciszek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"OZDOBA Wojciech Piotr - KW NOWA DEMOKRACJA - TAK";"BATOR Wiesław Adam - KW WIS"
120601;"gm. Czernichów";"krakowski";"małopolskie";12;12;3959;3196;458;748
120602;"gm. Igołomia-Wawrzeńczyce";"krakowski";"małopolskie";9;9;2425;1186;198;322
120603;"gm. Iwanowice";"krakowski";"małopolskie";11;11;2866;1830;274;439
120604;"gm. Jerzmanowice-Przeginia";"krakowski";"małopolskie";8;8;3414;1991;342;549
120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";20;20;4308;4048;476;837
120606;"gm. Krzeszowice";"krakowski";"małopolskie";27;27;7314;9166;734;1294
120607;"gm. Liszki";"krakowski";"małopolskie";13;13;5077;3899;484;901
120608;"gm. Michałowice";"krakowski";"małopolskie";9;9;2588;3650;341;564
120609;"gm. Mogilany";"krakowski";"małopolskie";11;11;3580;4357;415;685
120610;"gm. Skała";"krakowski";"małopolskie";12;12;3137;2350;330;467
120611;"gm. Skawina";"krakowski";"małopolskie";29;29;10458;10969;1231;2153
120612;"gm. Słomniki";"krakowski";"małopolskie";20;20;4021;2322;463;637
120613;"gm. Sułoszowa";"krakowski";"małopolskie";5;5;2217;781;161;248
120614;"gm. Świątniki Górne";"krakowski";"małopolskie";5;5;2821;2489;318;521
120615;"gm. Wielka Wieś";"krakowski";"małopolskie";13;13;3250;4791;471;738
120616;"gm. Zabierzów";"krakowski";"małopolskie";26;26;6088;9496;695;1265
120617;"gm. Zielonki";"krakowski";"małopolskie";21;21;4670;8605;684;1085
120801;"gm. Charsznica";"miechowski";"małopolskie";12;12;2131;1203;201;348
120802;"gm. Gołcza";"miechowski";"małopolskie";10;10;2006;848;211;237
120803;"gm. Kozłów";"miechowski";"małopolskie";9;9;1445;495;133;213
120804;"gm. Książ Wielki";"miechowski";"małopolskie";14;14;1713;687;165;207
120805;"gm. Miechów";"miechowski";"małopolskie";31;31;4990;3912;620;856
120806;"gm. Racławice";"miechowski";"małopolskie";5;5;800;269;88;109
120807;"gm. Słaboszów";"miechowski";"małopolskie";8;8;1056;456;119;151
121201;"m. Bukowno";"olkuski";"małopolskie";9;9;1943;2606;418;425
121203;"gm. Bolesław";"olkuski";"małopolskie";6;6;1521;1939;364;407
121204;"gm. Klucze";"olkuski";"małopolskie";15;15;3302;3916;722;673
121205;"gm. Olkusz";"olkuski";"małopolskie";34;34;10742;10631;4039;1531
121206;"gm. Trzyciąż";"olkuski";"małopolskie";11;11;2452;966;280;357
121207;"gm. Wolbrom";"olkuski";"małopolskie";26;26;6277;4181;922;1096
