"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BERNACKI Włodzimierz - KW PRAWO I SPRAWIEDLIWOŚĆ";"MACOŃ Radosław Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KORTA Adam Janusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KRZYCH Bartłomiej Hubert - KW POLSKA JEST JEDNA"
120101;"m. Bochnia";"bocheński";"małopolskie";17;17;6080;1438;8194;961
120102;"gm. Bochnia";"bocheński";"małopolskie";20;20;5607;1194;3787;675
120103;"gm. Drwinia";"bocheński";"małopolskie";6;6;2267;363;888;180
120104;"gm. Lipnica Murowana";"bocheński";"małopolskie";5;5;1851;275;711;151
120105;"gm. Łapanów";"bocheński";"małopolskie";7;7;2628;534;1302;276
120106;"gm. Nowy Wiśnicz";"bocheński";"małopolskie";9;9;4735;856;2478;512
120107;"gm. Rzezawa";"bocheński";"małopolskie";11;11;3345;711;1660;448
120108;"gm. Trzciana";"bocheński";"małopolskie";5;5;1990;318;801;212
120109;"gm. Żegocina";"bocheński";"małopolskie";5;5;2151;304;584;187
120201;"gm. Borzęcin";"brzeski";"małopolskie";7;7;2345;568;915;298
120202;"gm. Brzesko";"brzeski";"małopolskie";22;22;8865;2096;6711;1404
120203;"gm. Czchów";"brzeski";"małopolskie";9;9;2876;541;1142;460
120204;"gm. Dębno";"brzeski";"małopolskie";14;14;4054;978;2049;673
120205;"gm. Gnojnik";"brzeski";"małopolskie";6;6;2506;556;799;301
120206;"gm. Iwkowa";"brzeski";"małopolskie";4;4;2308;405;622;202
120207;"gm. Szczurowa";"brzeski";"małopolskie";13;13;2502;493;1038;330
121401;"gm. Koniusza";"proszowicki";"małopolskie";19;19;2679;599;1169;313
121402;"gm. Koszyce";"proszowicki";"małopolskie";11;11;1579;297;684;150
121403;"gm. Nowe Brzesko";"proszowicki";"małopolskie";12;12;1936;311;760;167
121404;"gm. Pałecznica";"proszowicki";"małopolskie";7;7;1120;186;381;114
121405;"gm. Proszowice";"proszowicki";"małopolskie";25;25;4624;927;2674;548
121406;"gm. Radziemice";"proszowicki";"małopolskie";8;8;1066;199;339;124
121901;"gm. Biskupice";"wielicki";"małopolskie";12;12;2890;713;2296;633
121902;"gm. Gdów";"wielicki";"małopolskie";27;27;4952;1235;3411;908
121903;"gm. Kłaj";"wielicki";"małopolskie";10;10;2471;687;2711;502
121904;"gm. Niepołomice";"wielicki";"małopolskie";20;20;6572;1974;8282;1463
121905;"gm. Wieliczka";"wielicki";"małopolskie";39;39;12348;3620;18105;4462
