"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SZTORC Józef - KW BEZPARTYJNI SAMORZĄDOWCY";"SORYS Stanisław Andrzej - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"WIATR Kazimierz Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"POŚWIATOWSKI Mirosław Sergiusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KLICH Dariusz Zbigniew - KW POLSKA JEST JEDNA"
120401;"gm. Bolesław";"dąbrowski";"małopolskie";3;3;105;236;590;67;39
120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";20;20;771;2500;5723;816;484
120403;"gm. Gręboszów";"dąbrowski";"małopolskie";7;7;177;344;849;59;31
120404;"gm. Mędrzechów";"dąbrowski";"małopolskie";5;5;139;329;853;137;60
120405;"gm. Olesno";"dąbrowski";"małopolskie";10;10;319;664;2211;314;172
120406;"gm. Radgoszcz";"dąbrowski";"małopolskie";7;7;260;473;2409;302;126
120407;"gm. Szczucin";"dąbrowski";"małopolskie";11;11;644;1335;3308;483;251
121601;"gm. Ciężkowice";"tarnowski";"małopolskie";13;13;435;1551;3002;433;243
121602;"gm. Gromnik";"tarnowski";"małopolskie";8;8;262;843;2638;329;268
121603;"gm. Lisia Góra";"tarnowski";"małopolskie";12;12;933;1825;4137;741;487
121604;"gm. Pleśna";"tarnowski";"małopolskie";12;12;334;2154;3034;473;297
121605;"gm. Radłów";"tarnowski";"małopolskie";14;14;464;1213;2470;394;266
121606;"gm. Ryglice";"tarnowski";"małopolskie";9;9;684;1108;3107;573;338
121607;"gm. Rzepiennik Strzyżewski";"tarnowski";"małopolskie";6;6;306;560;2172;348;226
121608;"gm. Skrzyszów";"tarnowski";"małopolskie";9;9;1017;1788;3847;683;358
121609;"gm. Tarnów";"tarnowski";"małopolskie";17;17;1619;4592;6151;1231;923
121610;"gm. Tuchów";"tarnowski";"małopolskie";17;17;747;2186;4759;806;574
121611;"gm. Wierzchosławice";"tarnowski";"małopolskie";11;11;470;1728;2762;541;367
121612;"gm. Wietrzychowice";"tarnowski";"małopolskie";8;8;222;456;794;133;75
121613;"gm. Wojnicz";"tarnowski";"małopolskie";13;13;564;1795;3618;691;433
121614;"gm. Zakliczyn";"tarnowski";"małopolskie";18;18;361;1453;3604;640;398
121615;"gm. Żabno";"tarnowski";"małopolskie";20;20;836;2622;4753;736;473
121616;"gm. Szerzyny";"tarnowski";"małopolskie";5;5;360;654;2379;387;205
126301;"Tarnów";"Tarnów";"małopolskie";74;74;4998;24440;20412;4377;3885
