"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"HAMERSKI Jan Wincenty - KW PRAWO I SPRAWIEDLIWOŚĆ";"CHMURA Krzysztof - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"WAKSMUNDZKI Bogusław - KWW KANDYDAT ZIEM GÓRSKICH"
120701;"m. Limanowa";"limanowski";"małopolskie";15;15;4232;1328;2621
120702;"m. Mszana Dolna";"limanowski";"małopolskie";4;4;2086;629;1471
120703;"gm. Dobra";"limanowski";"małopolskie";10;10;2965;971;1224
120704;"gm. Jodłownik";"limanowski";"małopolskie";14;14;2799;785;844
120705;"gm. Kamienica";"limanowski";"małopolskie";6;6;2608;586;741
120706;"gm. Laskowa";"limanowski";"małopolskie";8;8;3367;691;632
120707;"gm. Limanowa";"limanowski";"małopolskie";20;20;8648;2202;3071
120708;"gm. Łukowica";"limanowski";"małopolskie";8;8;3399;942;996
120709;"gm. Mszana Dolna";"limanowski";"małopolskie";14;14;5959;1343;1805
120710;"gm. Niedźwiedź";"limanowski";"małopolskie";4;4;2078;546;732
120711;"gm. Słopnice";"limanowski";"małopolskie";5;5;2423;607;557
120712;"gm. Tymbark";"limanowski";"małopolskie";6;6;2251;583;699
121101;"m. Nowy Targ";"nowotarski";"małopolskie";22;22;6297;3282;7339
121102;"gm. Szczawnica";"nowotarski";"małopolskie";6;6;2123;695;2195
121103;"gm. Czarny Dunajec";"nowotarski";"małopolskie";23;23;5637;1633;1801
121104;"gm. Czorsztyn";"nowotarski";"małopolskie";8;8;1852;674;1388
121105;"gm. Jabłonka";"nowotarski";"małopolskie";11;11;5096;3354;973
121106;"gm. Krościenko nad Dunajcem";"nowotarski";"małopolskie";6;6;1486;395;1841
121107;"gm. Lipnica Wielka";"nowotarski";"małopolskie";5;5;1730;802;395
121108;"gm. Łapsze Niżne";"nowotarski";"małopolskie";9;9;2427;650;1116
121109;"gm. Nowy Targ";"nowotarski";"małopolskie";21;21;6177;1768;3253
121110;"gm. Ochotnica Dolna";"nowotarski";"małopolskie";4;4;2966;565;846
121111;"gm. Raba Wyżna";"nowotarski";"małopolskie";11;11;3795;1335;1770
121112;"gm. Rabka-Zdrój";"nowotarski";"małopolskie";14;14;4640;1475;3170
121113;"gm. Spytkowice";"nowotarski";"małopolskie";5;5;1339;427;550
121114;"gm. Szaflary";"nowotarski";"małopolskie";10;10;2865;840;964
121701;"m. Zakopane";"tatrzański";"małopolskie";24;24;6798;3042;8214
121702;"gm. Biały Dunajec";"tatrzański";"małopolskie";8;8;2135;613;756
121703;"gm. Bukowina Tatrzańska";"tatrzański";"małopolskie";10;10;4117;1055;1875
121704;"gm. Kościelisko";"tatrzański";"małopolskie";4;4;2307;859;1717
121705;"gm. Poronin";"tatrzański";"małopolskie";8;8;3297;1134;1741
