"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KALISZ Beata - KW BEZPARTYJNI SAMORZĄDOWCY";"PASOŃ Stanisław Wojciech - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"DURLAK Wiktor Michał - KW PRAWO I SPRAWIEDLIWOŚĆ";"JAKUBOWSKI Jarosław Jerzy - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
120501;"m. Gorlice";"gorlicki";"małopolskie";22;22;2404;4937;5115;1254
120502;"gm. Biecz";"gorlicki";"małopolskie";12;12;914;2084;4535;876
120503;"gm. Bobowa";"gorlicki";"małopolskie";7;7;333;956;3054;579
120504;"gm. Gorlice";"gorlicki";"małopolskie";11;11;1299;2388;4479;891
120505;"gm. Lipinki";"gorlicki";"małopolskie";7;7;404;745;2057;365
120506;"gm. Łużna";"gorlicki";"małopolskie";9;9;438;959;2411;500
120507;"gm. Moszczenica";"gorlicki";"małopolskie";3;3;246;478;1461;275
120508;"gm. Ropa";"gorlicki";"małopolskie";6;6;250;638;1695;316
120509;"gm. Sękowa";"gorlicki";"małopolskie";10;10;336;971;1098;238
120510;"gm. Uście Gorlickie";"gorlicki";"małopolskie";12;12;332;1490;1525;365
121001;"m. Grybów";"nowosądecki";"małopolskie";4;4;227;777;2012;309
121002;"gm. Chełmiec";"nowosądecki";"małopolskie";28;28;1229;3940;9028;1917
121003;"gm. Gródek nad Dunajcem";"nowosądecki";"małopolskie";10;10;350;1073;3014;494
121004;"gm. Grybów";"nowosądecki";"małopolskie";17;17;808;2031;9535;1634
121005;"gm. Kamionka Wielka";"nowosądecki";"małopolskie";8;8;454;1109;3519;771
121006;"gm. Korzenna";"nowosądecki";"małopolskie";14;14;464;1380;5313;851
121007;"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";18;18;909;4249;4554;1082
121008;"gm. Łabowa";"nowosądecki";"małopolskie";7;7;207;562;1914;370
121009;"gm. Łącko";"nowosądecki";"małopolskie";13;13;561;1887;5231;931
121010;"gm. Łososina Dolna";"nowosądecki";"małopolskie";12;12;336;1050;4202;601
121011;"gm. Muszyna";"nowosądecki";"małopolskie";14;14;509;2173;3040;778
121012;"gm. Nawojowa";"nowosądecki";"małopolskie";8;8;309;995;2704;564
121013;"gm. Piwniczna-Zdrój";"nowosądecki";"małopolskie";9;9;306;1536;2965;486
121014;"gm. Podegrodzie";"nowosądecki";"małopolskie";13;13;653;1376;4409;807
121015;"gm. Rytro";"nowosądecki";"małopolskie";2;2;120;555;1220;181
121016;"gm. Stary Sącz";"nowosądecki";"małopolskie";15;15;928;3526;7066;1448
126201;"Nowy Sącz";"Nowy Sącz";"małopolskie";53;53;3808;16835;18913;5402
