"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"OSIŃSKI Sylwester Artur - KW BEZPARTYJNI SAMORZĄDOWCY";"PAWLAK Waldemar - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MARTYNOWSKI Marek Eryk - KW PRAWO I SPRAWIEDLIWOŚĆ";"MATYSZEWSKI Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
140401;"m. Gostynin";"gostyniński";"mazowieckie";16;16;774;4416;3645;822
140402;"gm. Gostynin";"gostyniński";"mazowieckie";16;16;478;2132;3076;650
140403;"gm. Pacyna";"gostyniński";"mazowieckie";5;5;82;580;1048;124
140404;"gm. Sanniki";"gostyniński";"mazowieckie";10;10;169;1006;1776;241
140405;"gm. Szczawin Kośc.";"gostyniński";"mazowieckie";4;4;160;848;1326;228
141901;"gm. Bielsk";"płocki";"mazowieckie";7;7;279;1672;2338;401
141902;"gm. Bodzanów";"płocki";"mazowieckie";15;15;304;1538;2016;355
141903;"gm. Brudzeń Duży";"płocki";"mazowieckie";13;13;328;1337;2173;372
141904;"gm. Bulkowo";"płocki";"mazowieckie";7;7;167;746;1665;248
141905;"gm. Drobin";"płocki";"mazowieckie";6;6;223;1192;1863;328
141906;"gm. Gąbin";"płocki";"mazowieckie";13;13;400;2148;2962;531
141907;"gm. Łąck";"płocki";"mazowieckie";7;7;246;1230;1329;319
141908;"gm. Mała Wieś";"płocki";"mazowieckie";6;6;211;944;1477;262
141909;"gm. Nowy Duninów";"płocki";"mazowieckie";5;5;124;732;1076;179
141910;"gm. Radzanowo";"płocki";"mazowieckie";7;7;328;2093;1904;398
141911;"gm. Słubice";"płocki";"mazowieckie";6;6;111;677;1283;192
141912;"gm. Słupno";"płocki";"mazowieckie";14;14;411;2688;1640;466
141913;"gm. Stara Biała";"płocki";"mazowieckie";12;12;527;2721;2760;655
141914;"gm. Staroźreby";"płocki";"mazowieckie";8;8;252;1118;1874;277
141915;"gm. Wyszogród";"płocki";"mazowieckie";10;10;209;1053;1366;255
142701;"m. Sierpc";"sierpecki";"mazowieckie";16;16;656;4115;3611;784
142702;"gm. Gozdowo";"sierpecki";"mazowieckie";8;8;199;871;1495;307
142703;"gm. Mochowo";"sierpecki";"mazowieckie";6;6;189;894;1440;315
142704;"gm. Rościszewo";"sierpecki";"mazowieckie";5;5;109;552;1226;179
142705;"gm. Sierpc";"sierpecki";"mazowieckie";6;6;255;1077;1606;330
142706;"gm. Szczutowo";"sierpecki";"mazowieckie";7;7;148;644;1109;197
142707;"gm. Zawidz";"sierpecki";"mazowieckie";5;5;220;1016;1739;289
142801;"m. Sochaczew";"sochaczewski";"mazowieckie";23;23;2078;9500;6602;1709
142802;"gm. Brochów";"sochaczewski";"mazowieckie";4;4;254;872;1108;274
142803;"gm. Iłów";"sochaczewski";"mazowieckie";6;6;278;1020;1689;330
142804;"gm. Młodzieszyn";"sochaczewski";"mazowieckie";6;6;250;923;1595;319
142805;"gm. Nowa Sucha";"sochaczewski";"mazowieckie";5;5;417;1390;1628;432
142806;"gm. Rybno";"sochaczewski";"mazowieckie";4;4;184;582;953;220
142807;"gm. Sochaczew";"sochaczewski";"mazowieckie";10;10;638;2769;2444;722
142808;"gm. Teresin";"sochaczewski";"mazowieckie";9;9;627;2891;2710;821
143801;"m. Żyrardów";"żyrardowski";"mazowieckie";24;24;2931;12354;7016;1829
143802;"gm. Mszczonów";"żyrardowski";"mazowieckie";14;14;797;2644;2623;706
143803;"gm. Puszcza Mariańska";"żyrardowski";"mazowieckie";9;9;488;1892;2104;494
143804;"gm. Radziejowice";"żyrardowski";"mazowieckie";6;6;460;2090;1300;386
143805;"gm. Wiskitki";"żyrardowski";"mazowieckie";11;11;684;2232;2385;631
146201;"Płock";"Płock";"mazowieckie";70;70;5141;31944;22287;5251
