"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BIEŃKOWSKI Krzysztof - KW PRAWO I SPRAWIEDLIWOŚĆ";"JACKOWSKI Jan Maria - KWW JANA MARII JACKOWSKIEGO";"JANOWSKI Gabriel - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
140201;"m. Ciechanów";"ciechanowski";"mazowieckie";24;24;8686;12573;2175
140202;"gm. Ciechanów";"ciechanowski";"mazowieckie";8;8;1772;1837;376
140203;"gm. Glinojeck";"ciechanowski";"mazowieckie";5;5;1865;1479;436
140204;"gm. Gołymin-Ośrodek";"ciechanowski";"mazowieckie";3;3;977;588;268
140205;"gm. Grudusk";"ciechanowski";"mazowieckie";3;3;965;545;271
140206;"gm. Ojrzeń";"ciechanowski";"mazowieckie";3;3;1095;760;210
140207;"gm. Opinogóra Górna";"ciechanowski";"mazowieckie";6;6;1469;1199;424
140208;"gm. Regimin";"ciechanowski";"mazowieckie";8;8;1236;1038;275
140209;"gm. Sońsk";"ciechanowski";"mazowieckie";10;10;2086;1518;389
141301;"m. Mława";"mławski";"mazowieckie";15;15;5786;8258;1641
141302;"gm. Dzierzgowo";"mławski";"mazowieckie";5;5;839;361;200
141303;"gm. Lipowiec Kościelny";"mławski";"mazowieckie";6;6;1179;870;236
141304;"gm. Radzanów";"mławski";"mazowieckie";4;4;866;601;178
141305;"gm. Strzegowo";"mławski";"mazowieckie";6;6;1914;1314;409
141306;"gm. Stupsk";"mławski";"mazowieckie";7;7;1179;901;282
141307;"gm. Szreńsk";"mławski";"mazowieckie";3;3;1104;609;200
141308;"gm. Szydłowo";"mławski";"mazowieckie";4;4;1126;842;288
141309;"gm. Wieczfnia Kościelna";"mławski";"mazowieckie";5;5;1011;640;215
141310;"gm. Wiśniewo";"mławski";"mazowieckie";10;10;1268;982;372
142001;"m. Płońsk";"płoński";"mazowieckie";21;21;4086;6334;1271
142002;"m. Raciąż";"płoński";"mazowieckie";3;3;1045;896;197
142003;"gm. Baboszewo";"płoński";"mazowieckie";6;6;1909;1329;462
142004;"gm. Czerwińsk nad Wisłą";"płoński";"mazowieckie";5;5;1849;1148;450
142005;"gm. Dzierzążnia";"płoński";"mazowieckie";3;3;1012;550;267
142006;"gm. Joniec";"płoński";"mazowieckie";4;4;806;900;191
142007;"gm. Naruszewo";"płoński";"mazowieckie";7;7;1582;951;347
142008;"gm. Nowe Miasto";"płoński";"mazowieckie";6;6;1352;1052;240
142009;"gm. Płońsk";"płoński";"mazowieckie";9;9;1811;1793;490
142010;"gm. Raciąż";"płoński";"mazowieckie";6;6;2302;1054;402
142011;"gm. Sochocin";"płoński";"mazowieckie";5;5;1460;1240;353
142012;"gm. Załuski";"płoński";"mazowieckie";7;7;1389;1184;349
142201;"m. Przasnysz";"przasnyski";"mazowieckie";15;15;4181;3780;851
142202;"gm. Chorzele";"przasnyski";"mazowieckie";13;13;2594;1404;528
142203;"gm. Czernice Borowe";"przasnyski";"mazowieckie";6;6;1214;541;257
142204;"gm. Jednorożec";"przasnyski";"mazowieckie";10;10;1990;827;347
142205;"gm. Krasne";"przasnyski";"mazowieckie";3;3;1104;418;243
142206;"gm. Krzynowłoga Mała";"przasnyski";"mazowieckie";7;7;1274;310;221
142207;"gm. Przasnysz";"przasnyski";"mazowieckie";9;9;2178;921;395
143701;"gm. Bieżuń";"żuromiński";"mazowieckie";3;3;1325;891;241
143702;"gm. Kuczbork-Osada";"żuromiński";"mazowieckie";4;4;1016;984;232
143703;"gm. Lubowidz";"żuromiński";"mazowieckie";5;5;1608;1320;327
143704;"gm. Lutocin";"żuromiński";"mazowieckie";5;5;1098;641;225
143705;"gm. Siemiątkowo";"żuromiński";"mazowieckie";5;5;1026;448;129
143706;"gm. Żuromin";"żuromiński";"mazowieckie";14;14;2933;3573;679
