"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MYRDA Tymoteusz Dominik - KW BEZPARTYJNI SAMORZĄDOWCY";"SEKUŁA-SZMAJDZIŃSKA Małgorzata Helena - KW NOWA LEWICA";"CZUDOWSKA Dorota - KW PRAWO I SPRAWIEDLIWOŚĆ";"JASIŃSKI Krzysztof Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
20301;"m. Głogów";"głogowski";"dolnośląskie";36;36;3960;15340;11784;3182
20302;"gm. Głogów";"głogowski";"dolnośląskie";4;4;502;1501;1559;425
20303;"gm. Jerzmanowa";"głogowski";"dolnośląskie";7;7;417;1365;1093;364
20304;"gm. Kotla";"głogowski";"dolnośląskie";5;5;297;666;980;271
20305;"gm. Pęcław";"głogowski";"dolnośląskie";3;3;146;249;566;127
20306;"gm. Żukowice";"głogowski";"dolnośląskie";2;2;233;530;691;290
20901;"m. Chojnów";"legnicki";"dolnośląskie";7;7;640;2556;2466;715
20902;"gm. Chojnów";"legnicki";"dolnośląskie";9;9;608;1510;2127;636
20903;"gm. Krotoszyce";"legnicki";"dolnośląskie";5;5;257;544;753;229
20904;"gm. Kunice";"legnicki";"dolnośląskie";10;10;611;1875;1400;473
20905;"gm. Legnickie Pole";"legnicki";"dolnośląskie";9;9;404;922;1159;354
20906;"gm. Miłkowice";"legnicki";"dolnośląskie";8;8;577;1399;1483;479
20907;"gm. Prochowice";"legnicki";"dolnośląskie";9;9;595;1300;1484;449
20908;"gm. Ruja";"legnicki";"dolnośląskie";3;3;154;311;592;162
21101;"m. Lubin";"lubiński";"dolnośląskie";51;51;8735;13663;12638;3098
21102;"gm. Lubin";"lubiński";"dolnośląskie";16;16;2143;3706;3355;1056
21103;"gm. Rudna";"lubiński";"dolnośląskie";13;13;923;1116;1691;433
21104;"gm. Ścinawa";"lubiński";"dolnośląskie";12;12;971;1239;2425;451
21601;"gm. Chocianów";"polkowicki";"dolnośląskie";11;11;1218;1692;2993;724
21602;"gm. Gaworzyce";"polkowicki";"dolnośląskie";5;5;339;564;923;243
21603;"gm. Grębocice";"polkowicki";"dolnośląskie";6;6;402;770;1257;347
21604;"gm. Polkowice";"polkowicki";"dolnośląskie";16;16;1918;5075;5493;1507
21605;"gm. Przemków";"polkowicki";"dolnośląskie";9;9;492;1209;1744;428
21606;"gm. Radwanice";"polkowicki";"dolnośląskie";5;5;356;876;1175;293
26201;"Legnica";"Legnica";"dolnośląskie";49;49;6170;22533;16235;4666
