"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KRAWCZYK Urszula Barbara - KW BEZPARTYJNI SAMORZĄDOWCY";"LUBIAK Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"HIBNER Jolanta Emilia - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"ROGUSKI Robert - KWW ROBERTA ROGUSKIEGO"
140801;"m. Legionowo";"legionowski";"mazowieckie";25;25;3690;9469;18011;1268
140802;"gm. Jabłonna";"legionowski";"mazowieckie";9;9;1419;3233;7809;515
140803;"gm. Nieporęt";"legionowski";"mazowieckie";15;15;1155;3138;5711;423
140804;"gm. Serock";"legionowski";"mazowieckie";8;8;1465;3348;5394;407
140805;"gm. Wieliszew";"legionowski";"mazowieckie";15;15;1587;3322;6162;473
141401;"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";13;13;2076;4804;8760;618
141402;"gm. Czosnów";"nowodworski";"mazowieckie";6;6;994;2104;3165;274
141403;"gm. Leoncin";"nowodworski";"mazowieckie";4;4;482;1511;1137;182
141404;"gm. Nasielsk";"nowodworski";"mazowieckie";16;16;1318;4839;3866;524
141405;"gm. Pomiechówek";"nowodworski";"mazowieckie";10;10;765;2076;2533;276
141406;"gm. Zakroczym";"nowodworski";"mazowieckie";5;5;459;1282;1290;163
143201;"gm. Błonie";"warszawski zachodni";"mazowieckie";13;13;1569;4366;6584;544
143202;"gm. Izabelin";"warszawski zachodni";"mazowieckie";5;5;646;2267;3776;277
143203;"gm. Kampinos";"warszawski zachodni";"mazowieckie";2;2;365;1127;1125;139
143204;"gm. Leszno";"warszawski zachodni";"mazowieckie";7;7;714;1999;3362;253
143205;"gm. Łomianki";"warszawski zachodni";"mazowieckie";13;13;1765;5020;11491;636
143206;"gm. Ożarów Mazowiecki";"warszawski zachodni";"mazowieckie";21;21;2302;5155;9122;753
143207;"gm. Stare Babice";"warszawski zachodni";"mazowieckie";8;8;1476;3613;7867;482
143401;"m. Kobyłka";"wołomiński";"mazowieckie";15;15;1337;4455;6360;3893
143402;"m. Marki";"wołomiński";"mazowieckie";14;14;3162;6941;12243;1086
143403;"m. Ząbki";"wołomiński";"mazowieckie";15;15;2769;6511;11923;1255
143404;"m. Zielonka";"wołomiński";"mazowieckie";16;16;1257;3784;5519;820
143405;"gm. Dąbrówka";"wołomiński";"mazowieckie";12;12;555;2918;1368;281
143406;"gm. Jadów";"wołomiński";"mazowieckie";10;10;488;2088;1268;284
143407;"gm. Klembów";"wołomiński";"mazowieckie";12;12;784;3105;1916;597
143408;"gm. Poświętne";"wołomiński";"mazowieckie";7;7;420;2198;762;264
143409;"gm. Radzymin";"wołomiński";"mazowieckie";13;13;2108;7191;6663;1183
143410;"gm. Strachówka";"wołomiński";"mazowieckie";5;5;176;825;373;95
143411;"gm. Tłuszcz";"wołomiński";"mazowieckie";16;16;1486;5382;3547;1088
143412;"gm. Wołomin";"wołomiński";"mazowieckie";32;32;3351;11858;12434;3002
