"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MALCZYK Łukasz Paweł - KW BEZPARTYJNI SAMORZĄDOWCY";"KAMIŃSKI Michał Tomasz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SOCHA Barbara Jadwiga - KW PRAWO I SPRAWIEDLIWOŚĆ";"WALO Paweł - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
140501;"m. Milanówek";"grodziski";"mazowieckie";7;7;788;6022;2894;806
140502;"m. Podkowa Leśna";"grodziski";"mazowieckie";2;2;153;1689;649;177
140503;"gm. Baranów";"grodziski";"mazowieckie";4;4;242;1183;1194;378
140504;"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";28;28;2569;17214;8707;2870
140505;"gm. Jaktorów";"grodziski";"mazowieckie";7;7;683;3825;2628;795
140506;"gm. Żabia Wola";"grodziski";"mazowieckie";6;6;644;3243;1910;717
141701;"m. Józefów";"otwocki";"mazowieckie";9;9;962;7439;3765;1421
141702;"m. Otwock";"otwocki";"mazowieckie";30;30;1943;13373;8933;3245
141703;"gm. Celestynów";"otwocki";"mazowieckie";12;12;581;2752;3140;851
141704;"gm. Karczew";"otwocki";"mazowieckie";14;14;723;4101;3956;1052
141705;"gm. Kołbiel";"otwocki";"mazowieckie";7;7;374;1538;2497;517
141706;"gm. Osieck";"otwocki";"mazowieckie";5;5;198;547;1266;239
141707;"gm. Sobienie-Jeziory";"otwocki";"mazowieckie";7;7;321;1392;1815;371
141708;"gm. Wiązowna";"otwocki";"mazowieckie";22;22;850;4368;3126;1066
141801;"gm. Góra Kalwaria";"piaseczyński";"mazowieckie";19;19;1356;7615;5521;1728
141802;"gm. Konstancin-Jeziorna";"piaseczyński";"mazowieckie";25;25;1004;8753;4678;1126
141803;"gm. Lesznowola";"piaseczyński";"mazowieckie";16;16;1671;12633;4410;2019
141804;"gm. Piaseczno";"piaseczyński";"mazowieckie";46;46;4162;33362;12543;4683
141805;"gm. Prażmów";"piaseczyński";"mazowieckie";9;9;634;3779;2412;776
141806;"gm. Tarczyn";"piaseczyński";"mazowieckie";9;9;600;3075;2967;746
142101;"m. Piastów";"pruszkowski";"mazowieckie";10;10;1103;7446;4335;1255
142102;"m. Pruszków";"pruszkowski";"mazowieckie";30;30;3004;21755;10327;3371
142103;"gm. Brwinów";"pruszkowski";"mazowieckie";16;16;1336;9717;4780;1393
142104;"gm. Michałowice";"pruszkowski";"mazowieckie";12;12;820;7743;3071;1019
142105;"gm. Nadarzyn";"pruszkowski";"mazowieckie";9;9;861;6203;2640;951
142106;"gm. Raszyn";"pruszkowski";"mazowieckie";15;15;1239;7307;4666;1373
