"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ŻEBROWSKA Alicja - KW PRAWO I SPRAWIEDLIWOŚĆ";"BODNAR Adam Piotr - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
146503;"Białołęka";"Warszawa";"mazowieckie";61;61;21643;65128
146504;"Bielany";"Warszawa";"mazowieckie";50;50;23635;56936
146510;"Śródmieście";"Warszawa";"mazowieckie";47;47;17767;47243
146519;"Żoliborz";"Warszawa";"mazowieckie";20;20;8331;26345
;"Albania";"zagranica";;1;1;98;698
;"Algieria";"zagranica";;1;1;10;44
;"Angola";"zagranica";;1;1;6;18
;"Arabia Saudyjska";"zagranica";;1;1;13;166
;"Oman";"zagranica";;1;1;9;88
;"Argentyna";"zagranica";;1;1;45;144
;"Armenia";"zagranica";;1;1;9;94
;"Australia";"zagranica";;6;6;945;3169
;"Austria";"zagranica";;8;8;2989;7820
;"Azerbejdżan";"zagranica";;1;1;12;73
;"Belgia";"zagranica";;11;11;4380;14601
;"Białoruś";"zagranica";;1;1;37;48
;"Bośnia i Hercegowina";"zagranica";;1;1;41;90
;"Brazylia";"zagranica";;2;2;33;60
;"Bułgaria";"zagranica";;2;2;158;764
;"Chile";"zagranica";;1;1;26;109
;"Chiny";"zagranica";;5;5;122;1065
;"Chorwacja";"zagranica";;2;2;292;1438
;"Cypr";"zagranica";;1;1;210;1897
;"Czarnogóra";"zagranica";;1;1;59;500
;"Czechy";"zagranica";;4;4;415;2762
;"Dania";"zagranica";;5;5;1429;8103
;"Egipt";"zagranica";;2;2;170;1327
;"Estonia";"zagranica";;1;1;37;175
;"Etiopia";"zagranica";;1;1;7;14
;"Filipiny";"zagranica";;1;1;15;78
;"Finlandia";"zagranica";;2;2;208;1335
;"Francja";"zagranica";;18;18;4667;13872
;"Grecja";"zagranica";;4;4;743;4129
;"Gruzja";"zagranica";;1;1;179;710
;"Hiszpania";"zagranica";;15;15;2671;22042
;"Indie";"zagranica";;2;2;18;285
;"Indonezja";"zagranica";;2;2;36;776
;"Irak";"zagranica";;2;2;;
;"Iran";"zagranica";;1;1;5;25
;"Irlandia";"zagranica";;11;11;4275;17694
;"Islandia";"zagranica";;5;5;1014;4647
;"Japonia";"zagranica";;2;2;128;1386
;"Jordania";"zagranica";;1;1;33;178
;"Kanada";"zagranica";;12;12;5882;4940
;"Katar";"zagranica";;1;1;29;267
;"Kazachstan";"zagranica";;2;2;64;110
;"Kenia";"zagranica";;1;1;19;94
;"Kolumbia";"zagranica";;1;1;14;74
;"Korea Południowa";"zagranica";;1;1;53;573
;"Kosowo";"zagranica";;1;1;161;103
;"Kuba";"zagranica";;1;1;24;90
;"Kuwejt";"zagranica";;1;1;18;91
;"Liban";"zagranica";;2;2;;
;"Litwa";"zagranica";;1;1;96;253
;"Luksemburg";"zagranica";;2;2;561;3132
;"Łotwa";"zagranica";;1;1;131;368
;"Macedonia Północna";"zagranica";;1;1;28;104
;"Malezja";"zagranica";;1;1;27;204
;"Malta";"zagranica";;1;1;311;2042
;"Maroko";"zagranica";;2;2;38;344
;"Meksyk";"zagranica";;1;1;25;223
;"Mołdawia";"zagranica";;1;1;28;54
;"Mongolia";"zagranica";;1;1;6;12
;"Holandia";"zagranica";;13;13;4274;27245
;"Niemcy";"zagranica";;47;47;20683;78785
;"Nigeria";"zagranica";;1;1;6;17
;"Norwegia";"zagranica";;11;11;5130;17819
;"Nowa Zelandia";"zagranica";;2;2;42;394
;"Pakistan";"zagranica";;1;1;10;33
;"Panama";"zagranica";;1;1;9;53
;"Peru";"zagranica";;1;1;19;108
;"Portugalia";"zagranica";;3;3;520;3918
;"Południowa Afryka";"zagranica";;2;2;108;356
;"Rosja";"zagranica";;1;1;47;93
;"Rumunia";"zagranica";;1;1;156;417
;"Senegal";"zagranica";;1;1;9;26
;"Serbia";"zagranica";;1;1;21;158
;"Singapur";"zagranica";;1;1;59;537
;"Słowacja";"zagranica";;1;1;116;465
;"Słowenia";"zagranica";;1;1;99;394
;"Stany Zjednoczone";"zagranica";;52;52;20139;22806
;"Szwajcaria";"zagranica";;6;6;2146;10473
;"Szwecja";"zagranica";;5;5;2804;10557
;"Tajlandia";"zagranica";;1;1;43;528
;"Miasto Tajpej";"zagranica";;1;1;33;238
;"Tanzania";"zagranica";;1;1;21;123
;"Tunezja";"zagranica";;1;1;44;352
;"Turcja";"zagranica";;4;4;506;3134
;"Uzbekistan";"zagranica";;1;1;27;44
;"Wenezuela";"zagranica";;1;1;10;22
;"Węgry";"zagranica";;1;1;357;1337
;"Wielka Brytania";"zagranica";;77;77;27905;111359
;"Wietnam";"zagranica";;2;2;34;483
;"Włochy";"zagranica";;8;8;3028;12385
;"Zjednoczone Emiraty Arabskie";"zagranica";;2;2;217;2075
;"Dzielnice m.st. Warszawy: Białołęka, Bielany, Śródmieście, Żoliborz";"Dzielnice m.st. Warszawy: Białołęka, Bielany, Śródmieście, Żoliborz";"mazowieckie";178;178;71376;195652
