"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"NOWOSIELSKI Grzegorz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MAMĄTOW Robert Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"KASJANIUK Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"AUGUSTYNIAK Mirosław Jan - KWW M. AUGUSTYNIAK";"DĄBROWSKI Zbigniew - KW ZJEDNOCZENI";"ROGALSKI Bogusław - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
141101;"m. Maków Mazowiecki";"makowski";"mazowieckie";7;7;1076;1738;298;1675;87;106
141102;"gm. Czerwonka";"makowski";"mazowieckie";8;8;164;708;87;447;9;36
141103;"gm. Karniewo";"makowski";"mazowieckie";4;4;297;1099;165;1083;24;43
141104;"gm. Krasnosielc";"makowski";"mazowieckie";7;7;387;989;209;1026;40;478
141105;"gm. Młynarze";"makowski";"mazowieckie";4;4;102;428;82;315;11;37
141106;"gm. Płoniawy-Bramura";"makowski";"mazowieckie";8;8;270;1062;152;1119;28;95
141107;"gm. Różan";"makowski";"mazowieckie";3;3;590;1029;173;568;50;79
141108;"gm. Rzewnie";"makowski";"mazowieckie";3;3;231;655;63;513;19;29
141109;"gm. Sypniewo";"makowski";"mazowieckie";4;4;80;537;77;926;8;66
141110;"gm. Szelków";"makowski";"mazowieckie";7;7;260;936;114;600;27;44
141501;"gm. Baranowo";"ostrołęcki";"mazowieckie";8;8;468;1394;263;832;41;83
141502;"gm. Czarnia";"ostrołęcki";"mazowieckie";4;4;114;564;87;287;22;32
141503;"gm. Czerwin";"ostrołęcki";"mazowieckie";8;8;423;1316;199;627;48;76
141504;"gm. Goworowo";"ostrołęcki";"mazowieckie";11;11;692;2203;326;764;99;87
141505;"gm. Kadzidło";"ostrołęcki";"mazowieckie";19;19;928;2601;630;1122;107;144
141506;"gm. Lelis";"ostrołęcki";"mazowieckie";9;9;866;2227;495;1133;111;176
141507;"gm. Łyse";"ostrołęcki";"mazowieckie";12;12;576;1600;557;947;81;77
141508;"gm. Myszyniec";"ostrołęcki";"mazowieckie";14;14;755;2510;494;807;136;159
141509;"gm. Olszewo-Borki";"ostrołęcki";"mazowieckie";8;8;1378;2371;530;1182;113;320
141510;"gm. Rzekuń";"ostrołęcki";"mazowieckie";16;16;1988;2700;684;1330;190;223
141511;"gm. Troszyn";"ostrołęcki";"mazowieckie";7;7;373;1336;172;533;44;49
141601;"m. Ostrów Mazowiecka";"ostrowski";"mazowieckie";13;13;4867;4650;1074;748;279;254
141602;"gm. Andrzejewo";"ostrowski";"mazowieckie";5;5;350;1332;188;267;44;53
141603;"gm. Boguty-Pianki";"ostrowski";"mazowieckie";5;5;196;968;115;57;24;40
141604;"gm. Brok";"ostrowski";"mazowieckie";3;3;518;701;141;186;31;48
141605;"gm. Małkinia Górna";"ostrowski";"mazowieckie";15;15;1512;3407;567;426;129;133
141606;"gm. Nur";"ostrowski";"mazowieckie";5;5;289;969;120;101;37;26
141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";24;24;1719;3459;685;499;138;217
141608;"gm. Stary Lubotyń";"ostrowski";"mazowieckie";7;7;297;1110;159;200;41;43
141609;"gm. Szulborze Wielkie";"ostrowski";"mazowieckie";2;2;162;549;95;183;27;22
141610;"gm. Wąsewo";"ostrowski";"mazowieckie";8;8;530;1136;198;323;21;39
141611;"gm. Zaręby Kościelne";"ostrowski";"mazowieckie";5;5;321;1201;179;118;37;46
142401;"gm. Gzy";"pułtuski";"mazowieckie";5;5;473;1008;186;142;42;41
142402;"gm. Obryte";"pułtuski";"mazowieckie";7;7;658;1415;265;234;46;60
142403;"gm. Pokrzywnica";"pułtuski";"mazowieckie";7;7;1046;1404;289;131;49;75
142404;"gm. Pułtusk";"pułtuski";"mazowieckie";22;22;5999;4975;1087;865;317;238
142405;"gm. Świercze";"pułtuski";"mazowieckie";5;5;821;1192;271;141;49;100
142406;"gm. Winnica";"pułtuski";"mazowieckie";4;4;682;1103;223;143;64;77
142407;"gm. Zatory";"pułtuski";"mazowieckie";6;6;916;1407;287;176;46;77
143501;"gm. Brańszczyk";"wyszkowski";"mazowieckie";9;9;1478;2237;451;246;67;102
143502;"gm. Długosiodło";"wyszkowski";"mazowieckie";6;6;1318;2046;377;327;80;81
143503;"gm. Rząśnik";"wyszkowski";"mazowieckie";9;9;975;2035;444;268;48;98
143504;"gm. Somianka";"wyszkowski";"mazowieckie";7;7;1108;1536;284;277;67;91
143505;"gm. Wyszków";"wyszkowski";"mazowieckie";29;29;10831;8172;2155;1229;435;525
143506;"gm. Zabrodzie";"wyszkowski";"mazowieckie";5;5;1325;1627;318;208;64;106
146101;"Ostrołęka";"Ostrołęka";"mazowieckie";29;29;8624;9462;2102;5058;636;976
