"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"WIDELSKI Zbigniew Antoni - KW BEZPARTYJNI SAMORZĄDOWCY";"GÓRSKI Maciej - KW PRAWO I SPRAWIEDLIWOŚĆ"
140301;"m. Garwolin";"garwoliński";"mazowieckie";16;16;5718;4290
140302;"m. Łaskarzew";"garwoliński";"mazowieckie";4;4;1194;1454
140303;"gm. Borowie";"garwoliński";"mazowieckie";10;10;1136;1797
140304;"gm. Garwolin";"garwoliński";"mazowieckie";14;14;3599;3895
140305;"gm. Górzno";"garwoliński";"mazowieckie";12;12;1402;2533
140306;"gm. Łaskarzew";"garwoliński";"mazowieckie";6;6;1099;1871
140307;"gm. Maciejowice";"garwoliński";"mazowieckie";12;12;1317;2449
140308;"gm. Miastków Kościelny";"garwoliński";"mazowieckie";11;11;988;1834
140309;"gm. Parysów";"garwoliński";"mazowieckie";9;9;717;1566
140310;"gm. Pilawa";"garwoliński";"mazowieckie";13;13;2660;3448
140311;"gm. Sobolew";"garwoliński";"mazowieckie";8;8;1502;2939
140312;"gm. Trojanów";"garwoliński";"mazowieckie";12;12;1252;2742
140313;"gm. Wilga";"garwoliński";"mazowieckie";6;6;1612;1562
140314;"gm. Żelechów";"garwoliński";"mazowieckie";9;9;1564;2810
141201;"m. Mińsk Mazowiecki";"miński";"mazowieckie";22;22;14705;8458
141204;"gm. Cegłów";"miński";"mazowieckie";8;8;1755;1600
141205;"gm. Dębe Wielkie";"miński";"mazowieckie";8;8;3563;2791
141206;"gm. Dobre";"miński";"mazowieckie";7;7;1485;1931
141207;"gm. Halinów";"miński";"mazowieckie";10;10;6442;4043
141208;"gm. Jakubów";"miński";"mazowieckie";5;5;1156;1676
141209;"gm. Kałuszyn";"miński";"mazowieckie";5;5;1278;1729
141210;"gm. Latowicz";"miński";"mazowieckie";6;6;1092;1711
141211;"gm. Mińsk Mazowiecki";"miński";"mazowieckie";12;12;4958;4012
141212;"gm. Mrozy";"miński";"mazowieckie";11;11;2210;2473
141213;"gm. Siennica";"miński";"mazowieckie";10;10;1982;2219
141214;"gm. Stanisławów";"miński";"mazowieckie";9;9;1662;2344
141215;"m. Sulejówek";"miński";"mazowieckie";9;9;9457;5072
143301;"m. Węgrów";"węgrowski";"mazowieckie";6;6;3700;3039
143302;"gm. Grębków";"węgrowski";"mazowieckie";4;4;719;1473
143303;"gm. Korytnica";"węgrowski";"mazowieckie";5;5;918;2254
143304;"gm. Liw";"węgrowski";"mazowieckie";11;11;1550;2435
143305;"gm. Łochów";"węgrowski";"mazowieckie";22;22;4346;5601
143306;"gm. Miedzna";"węgrowski";"mazowieckie";5;5;736;1411
143307;"gm. Sadowne";"węgrowski";"mazowieckie";6;6;1123;2013
143308;"gm. Stoczek";"węgrowski";"mazowieckie";9;9;922;1711
143309;"gm. Wierzbno";"węgrowski";"mazowieckie";4;4;466;962
