"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KRASKA Waldemar Jerzy - KW PRAWO I SPRAWIEDLIWOŚĆ";"WIĘCKOWSKI Paweł Wojciech - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BORKOWSKI Krzysztof Wawrzyniec - KWW KW BORKOWSKIEGO PAKT SENACKI";"WYRZYKOWSKI Paweł Stanisław - KW ZJEDNOCZENI"
141001;"gm. Huszlew";"łosicki";"mazowieckie";5;5;907;145;265;61
141002;"gm. Łosice";"łosicki";"mazowieckie";14;14;2915;678;1818;339
141003;"gm. Olszanka";"łosicki";"mazowieckie";5;5;1004;185;422;76
141004;"gm. Platerów";"łosicki";"mazowieckie";9;9;1291;327;613;150
141005;"gm. Sarnaki";"łosicki";"mazowieckie";6;6;1447;320;632;202
141006;"gm. Stara Kornica";"łosicki";"mazowieckie";8;8;1456;356;370;163
142601;"gm. Domanice";"siedlecki";"mazowieckie";4;4;893;164;303;65
142602;"gm. Korczew";"siedlecki";"mazowieckie";4;4;760;135;370;88
142603;"gm. Kotuń";"siedlecki";"mazowieckie";7;7;2396;512;1320;337
142604;"gm. Mokobody";"siedlecki";"mazowieckie";4;4;1763;336;544;145
142605;"gm. Mordy";"siedlecki";"mazowieckie";6;6;1728;313;814;196
142606;"gm. Paprotnia";"siedlecki";"mazowieckie";2;2;887;126;371;66
142607;"gm. Przesmyki";"siedlecki";"mazowieckie";5;5;1012;188;339;90
142608;"gm. Siedlce";"siedlecki";"mazowieckie";12;12;5051;1549;3401;787
142609;"gm. Skórzec";"siedlecki";"mazowieckie";14;14;2683;538;913;245
142610;"gm. Suchożebry";"siedlecki";"mazowieckie";4;4;1492;325;619;150
142611;"gm. Wiśniew";"siedlecki";"mazowieckie";8;8;1871;349;996;165
142612;"gm. Wodynie";"siedlecki";"mazowieckie";8;8;1550;246;465;118
142613;"gm. Zbuczyn";"siedlecki";"mazowieckie";16;16;3278;749;1371;302
142901;"m. Sokołów Podlaski";"sokołowski";"mazowieckie";9;9;5002;1322;3574;739
142902;"gm. Bielany";"sokołowski";"mazowieckie";4;4;1609;240;330;78
142903;"gm. Ceranów";"sokołowski";"mazowieckie";3;3;768;117;179;45
142904;"gm. Jabłonna Lacka";"sokołowski";"mazowieckie";5;5;1585;232;454;111
142905;"gm. Kosów Lacki";"sokołowski";"mazowieckie";7;7;2167;350;591;137
142906;"gm. Repki";"sokołowski";"mazowieckie";7;7;1914;306;552;145
142907;"gm. Sabnie";"sokołowski";"mazowieckie";5;5;1109;278;438;68
142908;"gm. Sokołów Podlaski";"sokołowski";"mazowieckie";9;9;2012;406;806;207
142909;"gm. Sterdyń";"sokołowski";"mazowieckie";6;6;1265;268;466;127
146401;"Siedlce";"Siedlce";"mazowieckie";43;43;17910;5111;16666;3907
