"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"PRZYBYTNIAK Leszek Janusz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KARCZEWSKI Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"LECHOWSKI Krzysztof Grzegorz - KWW KRZYSZTOFA LECHOWSKIEGO"
140101;"gm. Białobrzegi";"białobrzeski";"mazowieckie";6;6;2695;3011;419
140102;"gm. Promna";"białobrzeski";"mazowieckie";6;6;1126;1805;198
140103;"gm. Radzanów";"białobrzeski";"mazowieckie";6;6;573;1544;133
140104;"gm. Stara Błotnica";"białobrzeski";"mazowieckie";9;9;745;2233;198
140105;"gm. Stromiec";"białobrzeski";"mazowieckie";8;8;733;1963;243
140106;"gm. Wyśmierzyce";"białobrzeski";"mazowieckie";3;3;379;1126;118
140601;"gm. Belsk Duży";"grójecki";"mazowieckie";8;8;1985;1513;255
140602;"gm. Błędów";"grójecki";"mazowieckie";5;5;1662;2164;299
140603;"gm. Chynów";"grójecki";"mazowieckie";8;8;3082;2606;469
140604;"gm. Goszczyn";"grójecki";"mazowieckie";4;4;648;1048;100
140605;"gm. Grójec";"grójecki";"mazowieckie";22;22;11435;5176;1396
140606;"gm. Jasieniec";"grójecki";"mazowieckie";5;5;1382;1395;237
140607;"gm. Mogielnica";"grójecki";"mazowieckie";9;9;1627;2835;313
140608;"gm. Nowe Miasto nad Pilicą";"grójecki";"mazowieckie";8;8;1541;2631;244
140609;"gm. Pniewy";"grójecki";"mazowieckie";5;5;1653;1283;220
140611;"gm. Warka";"grójecki";"mazowieckie";19;19;5324;5027;922
140701;"gm. Garbatka-Letnisko";"kozienicki";"mazowieckie";6;6;1250;1650;209
140702;"gm. Głowaczów";"kozienicki";"mazowieckie";9;9;1156;2629;306
140703;"gm. Gniewoszów";"kozienicki";"mazowieckie";6;6;583;1267;199
140704;"gm. Grabów nad Pilicą";"kozienicki";"mazowieckie";4;4;784;1429;172
140705;"gm. Kozienice";"kozienicki";"mazowieckie";27;27;7072;7813;1136
140706;"gm. Magnuszew";"kozienicki";"mazowieckie";10;10;1350;2309;312
140707;"gm. Sieciechów";"kozienicki";"mazowieckie";5;5;624;1253;203
142301;"gm. Borkowice";"przysuski";"mazowieckie";8;8;739;1333;198
142302;"gm. Gielniów";"przysuski";"mazowieckie";6;6;427;1764;313
142303;"gm. Klwów";"przysuski";"mazowieckie";8;8;631;1419;203
142304;"gm. Odrzywół";"przysuski";"mazowieckie";5;5;384;1715;223
142305;"gm. Potworów";"przysuski";"mazowieckie";5;5;469;1588;218
142306;"gm. Przysucha";"przysuski";"mazowieckie";14;14;2094;3844;763
142307;"gm. Rusinów";"przysuski";"mazowieckie";10;10;359;1684;560
142308;"gm. Wieniawa";"przysuski";"mazowieckie";10;10;682;2058;260
