"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"WIERZBICKA Renata Teresa - KW PRAWO I SPRAWIEDLIWOŚĆ";"LUDKOWSKI Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOŁACZ-LESZCZYŃSKA Agnieszka Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
21901;"m. Świdnica";"świdnicki";"dolnośląskie";25;25;8699;2884;18489
21902;"m. Świebodzice";"świdnicki";"dolnośląskie";16;16;3631;1143;6736
21903;"gm. Dobromierz";"świdnicki";"dolnośląskie";10;10;1138;290;1130
21904;"gm. Jaworzyna Śląska";"świdnicki";"dolnośląskie";11;11;1969;659;2467
21905;"gm. Marcinowice";"świdnicki";"dolnośląskie";12;12;1458;554;1731
21906;"gm. Strzegom";"świdnicki";"dolnośląskie";29;29;5022;1609;6465
21907;"gm. Świdnica";"świdnicki";"dolnośląskie";16;16;3210;1174;5283
21908;"gm. Żarów";"świdnicki";"dolnośląskie";16;16;2325;810;3303
22101;"m. Boguszów-Gorce";"wałbrzyski";"dolnośląskie";9;9;1962;674;4073
22102;"m. Jedlina-Zdrój";"wałbrzyski";"dolnośląskie";5;5;620;200;1544
22103;"m. Szczawno-Zdrój";"wałbrzyski";"dolnośląskie";5;5;944;231;2428
22104;"gm. Czarny Bór";"wałbrzyski";"dolnośląskie";6;6;987;326;1299
22105;"gm. Głuszyca";"wałbrzyski";"dolnośląskie";6;6;1203;405;2569
22106;"gm. Mieroszów";"wałbrzyski";"dolnośląskie";9;9;996;308;1850
22107;"gm. Stare Bogaczowice";"wałbrzyski";"dolnośląskie";7;7;802;179;1315
22108;"gm. Walim";"wałbrzyski";"dolnośląskie";5;5;932;313;1563
26501;"Wałbrzych";"Wałbrzych";"dolnośląskie";62;62;15105;3893;32414
