"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"NOWAK Jacek Marian - KW BEZPARTYJNI SAMORZĄDOWCY";"BRYMORA Cezary Edward - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SKURKIEWICZ Wojciech - KW PRAWO I SPRAWIEDLIWOŚĆ";"DĄBROWSKI Jarosław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MNICH Beata - KOMITET WYBORCZY WYBORCÓW BEATA MNICH"
140901;"gm. Chotcza";"lipski";"mazowieckie";3;3;67;269;690;91;45
140902;"gm. Ciepielów";"lipski";"mazowieckie";7;7;132;685;1640;308;56
140903;"gm. Lipsko";"lipski";"mazowieckie";13;13;290;1889;2712;538;109
140904;"gm. Rzeczniów";"lipski";"mazowieckie";5;5;120;518;1345;203;50
140905;"gm. Sienno";"lipski";"mazowieckie";7;7;162;734;1636;303;68
140906;"gm. Solec nad Wisłą";"lipski";"mazowieckie";10;10;139;671;1234;240;75
142501;"m. Pionki";"radomski";"mazowieckie";17;17;523;3841;3923;716;205
142502;"gm. Gózd";"radomski";"mazowieckie";6;6;213;1149;3165;506;68
142503;"gm. Iłża";"radomski";"mazowieckie";21;21;504;2224;3780;638;161
142504;"gm. Jastrzębia";"radomski";"mazowieckie";8;8;196;1018;2207;373;69
142505;"gm. Jedlińsk";"radomski";"mazowieckie";9;9;395;2093;4363;779;132
142506;"gm. Jedlnia-Letnisko";"radomski";"mazowieckie";8;8;356;2712;3661;729;147
142507;"gm. Kowala";"radomski";"mazowieckie";8;8;388;2008;3563;700;128
142508;"gm. Pionki";"radomski";"mazowieckie";9;9;285;1527;2853;505;126
142509;"gm. Przytyk";"radomski";"mazowieckie";6;6;173;758;2542;373;108
142510;"gm. Skaryszew";"radomski";"mazowieckie";14;14;397;2047;5110;715;135
142511;"gm. Wierzbica";"radomski";"mazowieckie";9;9;268;1232;2656;479;185
142512;"gm. Wolanów";"radomski";"mazowieckie";10;10;260;1201;2898;512;91
142513;"gm. Zakrzew";"radomski";"mazowieckie";10;10;380;2092;4475;753;190
143001;"gm. Chlewiska";"szydłowiecki";"mazowieckie";8;8;153;583;1647;250;320
143002;"gm. Jastrząb";"szydłowiecki";"mazowieckie";6;6;170;663;1621;289;139
143003;"gm. Mirów";"szydłowiecki";"mazowieckie";3;3;83;237;1071;202;318
143004;"gm. Orońsko";"szydłowiecki";"mazowieckie";8;8;159;785;1931;307;76
143005;"gm. Szydłowiec";"szydłowiecki";"mazowieckie";11;11;436;2616;4822;861;674
143601;"gm. Kazanów";"zwoleński";"mazowieckie";7;7;100;541;1480;215;37
143602;"gm. Policzna";"zwoleński";"mazowieckie";7;7;164;802;1548;285;58
143603;"gm. Przyłęk";"zwoleński";"mazowieckie";10;10;199;688;1730;309;79
143604;"gm. Tczów";"zwoleński";"mazowieckie";5;5;136;555;1487;255;36
143605;"gm. Zwoleń";"zwoleński";"mazowieckie";14;14;451;2574;3910;734;163
146301;"Radom";"Radom";"mazowieckie";115;115;5762;50857;45380;9261;2289
