"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CZERWIŃSKI Jerzy - KW PRAWO I SPRAWIEDLIWOŚĆ";"FABIJANIAK Zbigniew - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JARMUZIEWICZ Tadeusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
160101;"m. Brzeg";"brzeski";"opolskie";24;24;6167;2277;9797
160102;"gm. Skarbimierz";"brzeski";"opolskie";13;13;1796;741;2135
160103;"gm. Grodków";"brzeski";"opolskie";31;31;3761;1245;4156
160104;"gm. Lewin Brzeski";"brzeski";"opolskie";15;15;2480;1029;2869
160105;"gm. Lubsza";"brzeski";"opolskie";11;11;1909;628;2047
160106;"gm. Olszanka";"brzeski";"opolskie";10;10;1248;448;940
160401;"gm. Byczyna";"kluczborski";"opolskie";16;16;1845;594;1910
160402;"gm. Kluczbork";"kluczborski";"opolskie";29;29;5550;2127;9653
160403;"gm. Lasowice Wielkie";"kluczborski";"opolskie";10;10;843;454;1240
160404;"gm. Wołczyn";"kluczborski";"opolskie";15;15;2684;905;2460
160601;"gm. Domaszowice";"namysłowski";"opolskie";8;8;844;290;780
160602;"gm. Namysłów";"namysłowski";"opolskie";38;38;5388;1963;6694
160603;"gm. Pokój";"namysłowski";"opolskie";11;11;800;363;1186
160604;"gm. Świerczów";"namysłowski";"opolskie";7;7;738;287;714
160605;"gm. Wilków";"namysłowski";"opolskie";7;7;905;328;902
160701;"gm. Głuchołazy";"nyski";"opolskie";23;23;4697;1322;5409
160702;"gm. Kamiennik";"nyski";"opolskie";5;5;866;193;473
160703;"gm. Korfantów";"nyski";"opolskie";17;17;2038;636;1240
160704;"gm. Łambinowice";"nyski";"opolskie";11;11;1529;525;1330
160705;"gm. Nysa";"nyski";"opolskie";41;41;10818;3352;15013
160706;"gm. Otmuchów";"nyski";"opolskie";15;15;3165;874;2487
160707;"gm. Paczków";"nyski";"opolskie";16;16;2635;740;2359
160708;"gm. Pakosławice";"nyski";"opolskie";6;6;926;248;611
160709;"gm. Skoroszyce";"nyski";"opolskie";8;8;1542;438;1097
161001;"gm. Biała";"prudnicki";"opolskie";19;19;1477;778;2010
161002;"gm. Głogówek";"prudnicki";"opolskie";18;18;2045;925;2738
161003;"gm. Lubrza";"prudnicki";"opolskie";9;9;936;361;877
161004;"gm. Prudnik";"prudnicki";"opolskie";27;27;5561;1703;5562
