"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"WOŹNIAK Piotr Jan - KW NOWA LEWICA";"LORENC Marcin Remigiusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"LAKWA Henryk Ryszard - KWW MNIEJSZOŚĆ NIEMIECKA"
160901;"gm. Chrząstowice";"opolski";"opolskie";6;6;1363;680;1458
160902;"gm. Dąbrowa";"opolski";"opolskie";11;11;1876;1244;1115
160903;"gm. Dobrzeń Wielki";"opolski";"opolskie";6;6;1819;811;1917
160904;"gm. Komprachcice";"opolski";"opolskie";7;7;1554;858;1945
160905;"gm. Łubniany";"opolski";"opolskie";9;9;2009;940;1871
160906;"gm. Murów";"opolski";"opolskie";8;8;840;526;846
160907;"gm. Niemodlin";"opolski";"opolskie";15;15;2862;2534;857
160908;"gm. Ozimek";"opolski";"opolskie";17;17;3393;2412;2652
160909;"gm. Popielów";"opolski";"opolskie";11;11;1286;1036;1199
160910;"gm. Prószków";"opolski";"opolskie";15;15;1214;781;2412
160911;"gm. Tarnów Opolski";"opolski";"opolskie";9;9;1649;1026;1840
160912;"gm. Tułowice";"opolski";"opolskie";6;6;1149;1062;430
160913;"gm. Turawa";"opolski";"opolskie";12;12;1740;1011;2166
166101;"Opole";"Opole";"opolskie";85;85;45698;18140;8682
