"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CZAJA Herbert Wincenty - KW BEZPARTYJNI SAMORZĄDOWCY";"PECZKIS Grzegorz - KW PRAWO I SPRAWIEDLIWOŚĆ";"GODYLA Beniamin Wincenty - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
160201;"gm. Baborów";"głubczycki";"opolskie";10;10;474;1254;989
160202;"gm. Branice";"głubczycki";"opolskie";13;13;492;1458;1135
160203;"gm. Głubczyce";"głubczycki";"opolskie";28;28;1414;4890;4337
160204;"gm. Kietrz";"głubczycki";"opolskie";13;13;882;2220;1994
160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";36;36;3777;8255;16654
160302;"gm. Bierawa";"kędzierzyńsko-kozielski";"opolskie";9;9;685;1094;1844
160303;"gm. Cisek";"kędzierzyńsko-kozielski";"opolskie";5;5;552;645;1163
160304;"gm. Pawłowiczki";"kędzierzyńsko-kozielski";"opolskie";10;10;717;963;1348
160305;"gm. Polska Cerekiew";"kędzierzyńsko-kozielski";"opolskie";5;5;366;485;781
160306;"gm. Reńska Wieś";"kędzierzyńsko-kozielski";"opolskie";8;8;781;920;1997
160501;"gm. Gogolin";"krapkowicki";"opolskie";12;12;1192;1296;3043
160502;"gm. Krapkowice";"krapkowicki";"opolskie";19;19;2158;2707;5547
160503;"gm. Strzeleczki";"krapkowicki";"opolskie";7;7;881;786;1499
160504;"gm. Walce";"krapkowicki";"opolskie";8;8;585;497;1208
160505;"gm. Zdzieszowice";"krapkowicki";"opolskie";11;11;1358;1648;3584
160801;"gm. Dobrodzień";"oleski";"opolskie";7;7;1088;1014;1790
160802;"gm. Gorzów Śląski";"oleski";"opolskie";10;10;486;988;1639
160803;"gm. Olesno";"oleski";"opolskie";25;25;1691;1971;4512
160804;"gm. Praszka";"oleski";"opolskie";15;15;959;2896;3572
160805;"gm. Radłów";"oleski";"opolskie";3;3;384;456;881
160806;"gm. Rudniki";"oleski";"opolskie";5;5;652;1856;1741
160807;"gm. Zębowice";"oleski";"opolskie";4;4;608;234;514
161101;"gm. Izbicko";"strzelecki";"opolskie";9;9;634;599;1234
161102;"gm. Jemielnica";"strzelecki";"opolskie";9;9;812;958;1364
161103;"gm. Kolonowskie";"strzelecki";"opolskie";6;6;566;647;1230
161104;"gm. Leśnica";"strzelecki";"opolskie";10;10;792;957;1702
161105;"gm. Strzelce Opolskie";"strzelecki";"opolskie";33;33;2742;3827;8282
161106;"gm. Ujazd";"strzelecki";"opolskie";9;9;717;886;1299
161107;"gm. Zawadzkie";"strzelecki";"opolskie";5;5;1013;1725;1960
