"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BARTOSZEK Paweł - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SAGATOWSKA Janina Zofia - KW PRAWO I SPRAWIEDLIWOŚĆ";"BURAK Artur Stanisław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
180801;"m. Leżajsk";"leżajski";"podkarpackie";9;9;2647;3371;920
180802;"gm. Grodzisko Dolne";"leżajski";"podkarpackie";7;7;865;2705;577
180803;"gm. Kuryłówka";"leżajski";"podkarpackie";9;9;628;1789;364
180804;"gm. Leżajsk";"leżajski";"podkarpackie";16;16;2112;6376;1537
180805;"gm. Nowa Sarzyna";"leżajski";"podkarpackie";17;17;2102;7384;1258
181201;"gm. Harasiuki";"niżański";"podkarpackie";14;14;577;1947;317
181202;"gm. Jarocin";"niżański";"podkarpackie";9;9;654;1436;323
181203;"gm. Jeżowe";"niżański";"podkarpackie";13;13;589;3921;625
181204;"gm. Krzeszów";"niżański";"podkarpackie";8;8;448;1298;250
181205;"gm. Nisko";"niżański";"podkarpackie";18;18;3608;5613;1520
181206;"gm. Rudnik nad Sanem";"niżański";"podkarpackie";8;8;1470;2512;699
181207;"gm. Ulanów";"niżański";"podkarpackie";13;13;933;2474;497
181801;"m. Stalowa Wola";"stalowowolski";"podkarpackie";38;38;11608;13348;3912
181802;"gm. Bojanów";"stalowowolski";"podkarpackie";11;11;720;2421;488
181803;"gm. Pysznica";"stalowowolski";"podkarpackie";10;10;1730;3100;860
181804;"gm. Radomyśl nad Sanem";"stalowowolski";"podkarpackie";13;13;1009;2167;444
181805;"gm. Zaklików";"stalowowolski";"podkarpackie";8;8;1180;2392;591
181806;"gm. Zaleszany";"stalowowolski";"podkarpackie";13;13;1806;3111;805
182001;"gm. Baranów Sandomierski";"tarnobrzeski";"podkarpackie";14;14;1713;3552;606
182002;"gm. Gorzyce";"tarnobrzeski";"podkarpackie";11;11;3375;2553;511
182003;"gm. Grębów";"tarnobrzeski";"podkarpackie";8;8;1539;2962;670
182004;"gm. Nowa Dęba";"tarnobrzeski";"podkarpackie";18;18;3033;4637;1155
186401;"Tarnobrzeg";"Tarnobrzeg";"podkarpackie";34;34;12466;8892;2490
