"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"PAPROCKI Marek Jan - KW NOWA LEWICA";"PUPA Zdzisław Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"ĆWIĘKA Jacek Tomasz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
180301;"m. Dębica";"dębicki";"podkarpackie";24;24;8955;11340;3828
180302;"gm. Brzostek";"dębicki";"podkarpackie";20;20;1008;4473;949
180303;"gm. Czarna";"dębicki";"podkarpackie";14;14;1494;4267;1142
180304;"gm. Dębica";"dębicki";"podkarpackie";22;22;3168;7785;2303
180305;"gm. Jodłowa";"dębicki";"podkarpackie";6;6;389;1651;458
180306;"gm. Pilzno";"dębicki";"podkarpackie";17;17;1851;6246;1442
180307;"gm. Żyraków";"dębicki";"podkarpackie";14;14;1600;4789;1447
180601;"gm. Cmolas";"kolbuszowski";"podkarpackie";9;9;620;2727;724
180602;"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";24;24;3346;6785;2133
180603;"gm. Majdan Królewski";"kolbuszowski";"podkarpackie";8;8;731;3127;749
180604;"gm. Niwiska";"kolbuszowski";"podkarpackie";9;9;526;1967;550
180605;"gm. Raniżów";"kolbuszowski";"podkarpackie";8;8;598;2364;549
180606;"gm. Dzikowiec";"kolbuszowski";"podkarpackie";7;7;436;1984;404
181101;"m. Mielec";"mielecki";"podkarpackie";32;32;13394;13131;4639
181102;"gm. Borowa";"mielecki";"podkarpackie";10;10;832;1562;486
181103;"gm. Czermin";"mielecki";"podkarpackie";9;9;775;2201;627
181104;"gm. Gawłuszowice";"mielecki";"podkarpackie";7;7;289;923;196
181105;"gm. Mielec";"mielecki";"podkarpackie";9;9;2381;3681;1175
181106;"gm. Padew Narodowa";"mielecki";"podkarpackie";11;11;609;1789;336
181107;"gm. Przecław";"mielecki";"podkarpackie";12;12;1367;3806;879
181108;"gm. Radomyśl Wielki";"mielecki";"podkarpackie";14;14;1676;4260;1195
181109;"gm. Tuszów Narodowy";"mielecki";"podkarpackie";8;8;1023;2859;630
181110;"gm. Wadowice Górne";"mielecki";"podkarpackie";11;11;738;2361;753
181501;"gm. Iwierzyce";"ropczycko-sędziszowski";"podkarpackie";9;9;735;2700;772
181502;"gm. Ostrów";"ropczycko-sędziszowski";"podkarpackie";9;9;677;2520;574
181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";23;23;3147;8626;2652
181504;"gm. Sędziszów Małopolski";"ropczycko-sędziszowski";"podkarpackie";23;23;2554;8322;2138
181505;"gm. Wielopole Skrzyńskie";"ropczycko-sędziszowski";"podkarpackie";5;5;557;3025;546
181901;"gm. Czudec";"strzyżowski";"podkarpackie";8;8;1466;3735;1144
181902;"gm. Frysztak";"strzyżowski";"podkarpackie";11;11;1074;3110;1040
181903;"gm. Niebylec";"strzyżowski";"podkarpackie";11;11;909;3786;1068
181904;"gm. Strzyżów";"strzyżowski";"podkarpackie";22;22;2782;5467;1738
181905;"gm. Wiśniowa";"strzyżowski";"podkarpackie";13;13;780;2413;908
