"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"JODŁOWSKI Józef - KW PRAWO I SPRAWIEDLIWOŚĆ";"MAZUR Krzysztof - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KAŹMIERCZAK Jolanta Barbara - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"GUTKOWSKI Krzysztof - KWW PROFESORA KRZYSZTOFA GUTKOWSKIEGO"
181001;"m. Łańcut";"łańcucki";"podkarpackie";14;14;4171;1228;3314;1519
181002;"gm. Białobrzegi";"łańcucki";"podkarpackie";5;5;2391;745;901;538
181003;"gm. Czarna";"łańcucki";"podkarpackie";8;8;3700;940;1224;764
181004;"gm. Łańcut";"łańcucki";"podkarpackie";13;13;6410;1599;2442;1587
181005;"gm. Markowa";"łańcucki";"podkarpackie";4;4;2065;513;575;464
181006;"gm. Rakszawa";"łańcucki";"podkarpackie";7;7;2405;534;699;403
181007;"gm. Żołynia";"łańcucki";"podkarpackie";6;6;2091;466;791;374
181601;"m. Dynów";"rzeszowski";"podkarpackie";5;5;1761;380;774;341
181602;"gm. Błażowa";"rzeszowski";"podkarpackie";9;9;3344;681;992;843
181603;"gm. Boguchwała";"rzeszowski";"podkarpackie";12;12;5915;1546;3290;1382
181604;"gm. Chmielnik";"rzeszowski";"podkarpackie";7;7;1867;503;807;730
181605;"gm. Dynów";"rzeszowski";"podkarpackie";10;10;2054;376;524;295
181606;"gm. Głogów Małopolski";"rzeszowski";"podkarpackie";15;15;5634;1512;2736;1156
181607;"gm. Hyżne";"rzeszowski";"podkarpackie";8;8;2527;461;517;502
181608;"gm. Kamień";"rzeszowski";"podkarpackie";6;6;2450;431;380;300
181609;"gm. Krasne";"rzeszowski";"podkarpackie";6;6;3016;920;2211;994
181610;"gm. Lubenia";"rzeszowski";"podkarpackie";5;5;2523;282;546;319
181611;"gm. Sokołów Małopolski";"rzeszowski";"podkarpackie";13;13;6240;1108;1155;597
181612;"gm. Świlcza";"rzeszowski";"podkarpackie";10;10;4454;1244;2465;1005
181613;"gm. Trzebownisko";"rzeszowski";"podkarpackie";12;12;6436;1806;3534;1553
181614;"gm. Tyczyn";"rzeszowski";"podkarpackie";6;6;2629;693;1386;1511
186301;"Rzeszów";"Rzeszów";"podkarpackie";102;102;35852;14106;51780;16237
