"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"LEGENY Tomasz Grzegorz - KW BEZPARTYJNI SAMORZĄDOWCY";"SZAŁAJKO Stanisław Michał - KW NOWA LEWICA";"ZAJĄC Alicja Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"SERWIŃSKI Janusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
180201;"gm. Brzozów";"brzozowski";"podkarpackie";17;17;1240;2486;8031;1358
180202;"gm. Domaradz";"brzozowski";"podkarpackie";6;6;196;356;2138;376
180203;"gm. Dydnia";"brzozowski";"podkarpackie";12;12;293;519;2464;418
180204;"gm. Haczów";"brzozowski";"podkarpackie";8;8;403;836;2897;549
180205;"gm. Jasienica Rosielna";"brzozowski";"podkarpackie";5;5;336;451;3086;489
180206;"gm. Nozdrzec";"brzozowski";"podkarpackie";11;11;335;657;2438;399
180501;"m. Jasło";"jasielski";"podkarpackie";29;29;2095;5549;8095;1972
180502;"gm. Brzyska";"jasielski";"podkarpackie";9;9;240;317;2536;284
180503;"gm. Dębowiec";"jasielski";"podkarpackie";11;11;408;564;2975;504
180504;"gm. Jasło";"jasielski";"podkarpackie";22;22;900;1481;5323;1025
180505;"gm. Kołaczyce";"jasielski";"podkarpackie";8;8;394;560;3234;435
180506;"gm. Krempna";"jasielski";"podkarpackie";5;5;71;167;510;97
180507;"gm. Nowy Żmigród";"jasielski";"podkarpackie";14;14;358;575;3137;526
180508;"gm. Osiek Jasielski";"jasielski";"podkarpackie";8;8;210;261;1791;304
180509;"gm. Skołyszyn";"jasielski";"podkarpackie";12;12;665;1061;3970;722
180511;"gm. Tarnowiec";"jasielski";"podkarpackie";10;10;432;782;2910;506
180701;"gm. Chorkówka";"krośnieński";"podkarpackie";14;14;603;1341;4185;764
180702;"gm. Dukla";"krośnieński";"podkarpackie";15;15;654;1394;4154;833
180703;"gm. Iwonicz-Zdrój";"krośnieński";"podkarpackie";7;7;652;1328;3809;723
180704;"gm. Jedlicze";"krośnieński";"podkarpackie";17;17;886;1697;4119;995
180705;"gm. Korczyna";"krośnieński";"podkarpackie";10;10;680;1241;3296;847
180706;"gm. Krościenko Wyżne";"krośnieński";"podkarpackie";4;4;282;646;1682;351
180707;"gm. Miejsce Piastowe";"krośnieński";"podkarpackie";9;9;883;1612;3834;928
180708;"gm. Rymanów";"krośnieński";"podkarpackie";17;17;927;1785;5283;951
180709;"gm. Wojaszówka";"krośnieński";"podkarpackie";11;11;560;989;2396;650
180710;"gm. Jaśliska";"krośnieński";"podkarpackie";5;5;114;214;732;157
186101;"Krosno";"Krosno";"podkarpackie";28;28;2803;8721;9758;3009
