"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BODNAR Włodzimierz - KW BEZPARTYJNI SAMORZĄDOWCY";"GOLBA Mieczysław Józef - KW PRAWO I SPRAWIEDLIWOŚĆ";"LASEK Dariusz Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"WOŚ Adam - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"DRAPAK Maria Halina - KWW RDIP"
180103;"gm. Czarna";"bieszczadzki";"podkarpackie";5;5;180;515;102;295;16
180105;"gm. Lutowiska";"bieszczadzki";"podkarpackie";4;4;229;458;174;734;47
180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";28;28;1438;3190;786;2724;150
180401;"m. Jarosław";"jarosławski";"podkarpackie";23;23;3337;8226;1311;5965;275
180402;"m. Radymno";"jarosławski";"podkarpackie";3;3;408;1389;240;598;39
180403;"gm. Chłopice";"jarosławski";"podkarpackie";7;7;314;1827;223;346;26
180404;"gm. Jarosław";"jarosławski";"podkarpackie";12;12;1104;3782;563;1162;101
180405;"gm. Laszki";"jarosławski";"podkarpackie";12;12;435;2089;238;473;39
180406;"gm. Pawłosiów";"jarosławski";"podkarpackie";10;10;777;2376;349;954;59
180407;"gm. Pruchnik";"jarosławski";"podkarpackie";11;11;553;3394;436;549;65
180408;"gm. Radymno";"jarosławski";"podkarpackie";14;14;784;3472;516;658;83
180409;"gm. Rokietnica";"jarosławski";"podkarpackie";5;5;267;1379;166;226;44
180410;"gm. Roźwienica";"jarosławski";"podkarpackie";12;12;377;2062;275;436;33
180411;"gm. Wiązownica";"jarosławski";"podkarpackie";11;11;743;4187;437;756;75
180901;"m. Lubaczów";"lubaczowski";"podkarpackie";7;7;776;2603;434;1961;179
180902;"gm. Cieszanów";"lubaczowski";"podkarpackie";10;10;499;1754;298;664;104
180903;"gm. Horyniec-Zdrój";"lubaczowski";"podkarpackie";8;8;314;1267;209;605;79
180904;"gm. Lubaczów";"lubaczowski";"podkarpackie";11;11;480;2870;371;682;130
180905;"gm. Narol";"lubaczowski";"podkarpackie";9;9;412;1988;337;814;123
180906;"gm. Oleszyce";"lubaczowski";"podkarpackie";8;8;386;1733;305;582;69
180907;"gm. Stary Dzików";"lubaczowski";"podkarpackie";6;6;181;1335;186;237;43
180908;"gm. Wielkie Oczy";"lubaczowski";"podkarpackie";7;7;219;1170;153;239;99
181301;"gm. Bircza";"przemyski";"podkarpackie";12;12;664;1718;239;358;48
181302;"gm. Dubiecko";"przemyski";"podkarpackie";12;12;859;2239;380;672;80
181303;"gm. Fredropol";"przemyski";"podkarpackie";13;13;565;1298;234;457;55
181304;"gm. Krasiczyn";"przemyski";"podkarpackie";6;6;665;1064;238;626;45
181305;"gm. Krzywcza";"przemyski";"podkarpackie";9;9;468;1302;193;222;46
181306;"gm. Medyka";"przemyski";"podkarpackie";9;9;593;1653;341;616;63
181307;"gm. Orły";"przemyski";"podkarpackie";13;13;782;2326;541;763;94
181308;"gm. Przemyśl";"przemyski";"podkarpackie";14;14;1126;2376;551;1246;118
181309;"gm. Stubno";"przemyski";"podkarpackie";6;6;373;816;192;293;49
181310;"gm. Żurawica";"przemyski";"podkarpackie";12;12;1181;3269;688;1386;145
181401;"m. Przeworsk";"przeworski";"podkarpackie";14;14;1294;3716;637;2427;169
181402;"gm. Adamówka";"przeworski";"podkarpackie";5;5;219;1156;174;423;33
181403;"gm. Gać";"przeworski";"podkarpackie";6;6;324;1384;247;401;50
181404;"gm. Jawornik Polski";"przeworski";"podkarpackie";7;7;310;1264;192;423;91
181405;"gm. Kańczuga";"przeworski";"podkarpackie";12;12;1014;3008;534;1352;116
181406;"gm. Przeworsk";"przeworski";"podkarpackie";11;11;1083;4834;764;1174;112
181407;"gm. Sieniawa";"przeworski";"podkarpackie";9;9;293;1809;229;1214;56
181408;"gm. Tryńcza";"przeworski";"podkarpackie";9;9;394;2941;371;594;70
181409;"gm. Zarzecze";"przeworski";"podkarpackie";9;9;583;2181;334;639;57
181701;"m. Sanok";"sanocki";"podkarpackie";22;22;3025;6935;1364;6539;298
181702;"gm. Besko";"sanocki";"podkarpackie";4;4;280;1168;203;354;45
181703;"gm. Bukowsko";"sanocki";"podkarpackie";6;6;495;1336;338;449;54
181704;"gm. Komańcza";"sanocki";"podkarpackie";8;8;383;778;204;756;59
181705;"gm. Sanok";"sanocki";"podkarpackie";23;23;1357;4834;931;1633;175
181706;"gm. Tyrawa Wołoska";"sanocki";"podkarpackie";3;3;183;473;83;150;19
181707;"gm. Zagórz";"sanocki";"podkarpackie";8;8;935;3294;529;1404;126
181708;"gm. Zarszyn";"sanocki";"podkarpackie";8;8;756;2174;377;971;104
182101;"gm. Baligród";"leski";"podkarpackie";3;3;230;825;184;454;38
182102;"gm. Cisna";"leski";"podkarpackie";2;2;324;420;201;1477;48
182103;"gm. Lesko";"leski";"podkarpackie";13;13;954;2509;530;1608;103
182104;"gm. Olszanica";"leski";"podkarpackie";5;5;421;1214;305;661;48
182105;"gm. Solina";"leski";"podkarpackie";8;8;630;1915;368;1252;74
186201;"Przemyśl";"Przemyśl";"podkarpackie";39;39;5367;10354;2670;10380;522
