"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CIEŚLUKOWSKI Cezary - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KOMOROWSKI Marek Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"KIEŁCZEWSKI Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
200101;"m. Augustów";"augustowski";"podlaskie";21;21;7042;5874;1791
200102;"gm. Augustów";"augustowski";"podlaskie";10;10;1203;1499;465
200103;"gm. Bargłów Kościelny";"augustowski";"podlaskie";4;4;762;1319;307
200104;"gm. Lipsk";"augustowski";"podlaskie";7;7;751;1397;331
200105;"gm. Nowinka";"augustowski";"podlaskie";4;4;656;775;195
200106;"gm. Płaska";"augustowski";"podlaskie";4;4;677;669;236
200107;"gm. Sztabin";"augustowski";"podlaskie";4;4;840;1218;313
200401;"m. Grajewo";"grajewski";"podlaskie";14;14;3804;4271;1822
200402;"gm. Grajewo";"grajewski";"podlaskie";8;8;853;1501;722
200403;"gm. Radziłów";"grajewski";"podlaskie";8;8;377;1423;262
200404;"gm. Rajgród";"grajewski";"podlaskie";5;5;856;965;399
200405;"gm. Szczuczyn";"grajewski";"podlaskie";6;6;880;1492;353
200406;"gm. Wąsosz";"grajewski";"podlaskie";5;5;363;1050;215
200601;"m. Kolno";"kolneński";"podlaskie";10;10;1819;2332;795
200602;"gm. Grabowo";"kolneński";"podlaskie";6;6;349;1026;204
200603;"gm. Kolno";"kolneński";"podlaskie";13;13;949;2394;618
200604;"gm. Mały Płock";"kolneński";"podlaskie";5;5;546;1454;247
200605;"gm. Stawiski";"kolneński";"podlaskie";8;8;557;1743;339
200606;"gm. Turośl";"kolneński";"podlaskie";6;6;688;1348;377
200701;"gm. Jedwabne";"łomżyński";"podlaskie";6;6;428;1718;322
200702;"gm. Łomża";"łomżyński";"podlaskie";15;15;2080;3382;894
200703;"gm. Miastkowo";"łomżyński";"podlaskie";7;7;421;1314;301
200704;"gm. Nowogród";"łomżyński";"podlaskie";5;5;629;1177;279
200705;"gm. Piątnica";"łomżyński";"podlaskie";8;8;1414;2893;768
200706;"gm. Przytuły";"łomżyński";"podlaskie";4;4;118;706;101
200707;"gm. Śniadowo";"łomżyński";"podlaskie";5;5;619;1772;359
200708;"gm. Wizna";"łomżyński";"podlaskie";6;6;379;1309;209
200709;"gm. Zbójna";"łomżyński";"podlaskie";5;5;524;1130;249
200801;"gm. Goniądz";"moniecki";"podlaskie";6;6;780;1181;303
200802;"gm. Jasionówka";"moniecki";"podlaskie";2;2;454;705;178
200803;"gm. Jaświły";"moniecki";"podlaskie";9;9;518;1316;338
200804;"gm. Knyszyn";"moniecki";"podlaskie";3;3;723;1115;331
200805;"gm. Krypno";"moniecki";"podlaskie";4;4;581;964;254
200806;"gm. Mońki";"moniecki";"podlaskie";14;14;2614;3024;1005
200807;"gm. Trzcianne";"moniecki";"podlaskie";5;5;367;1231;219
200901;"m. Sejny";"sejneński";"podlaskie";4;4;1445;887;217
200902;"gm. Giby";"sejneński";"podlaskie";5;5;662;609;159
200903;"gm. Krasnopol";"sejneński";"podlaskie";4;4;755;797;219
200904;"gm. Puńsk";"sejneński";"podlaskie";4;4;1157;555;192
200905;"gm. Sejny";"sejneński";"podlaskie";5;5;935;742;222
201201;"gm. Bakałarzewo";"suwalski";"podlaskie";4;4;641;617;252
201202;"gm. Filipów";"suwalski";"podlaskie";3;3;792;1007;222
201203;"gm. Jeleniewo";"suwalski";"podlaskie";4;4;685;763;188
201204;"gm. Przerośl";"suwalski";"podlaskie";3;3;469;718;182
201205;"gm. Raczki";"suwalski";"podlaskie";7;7;1149;1327;371
201206;"gm. Rutka-Tartak";"suwalski";"podlaskie";3;3;453;584;142
201207;"gm. Suwałki";"suwalski";"podlaskie";11;11;2078;1660;546
201208;"gm. Szypliszki";"suwalski";"podlaskie";4;4;903;756;290
201209;"gm. Wiżajny";"suwalski";"podlaskie";3;3;474;598;130
201401;"m. Zambrów";"zambrowski";"podlaskie";14;14;3964;4979;1257
201402;"gm. Kołaki Kościelne";"zambrowski";"podlaskie";3;3;206;966;153
201403;"gm. Rutki";"zambrowski";"podlaskie";8;8;629;1843;341
201404;"gm. Szumowo";"zambrowski";"podlaskie";10;10;584;1517;316
201405;"gm. Zambrów";"zambrowski";"podlaskie";14;14;1588;2838;667
206201;"Łomża";"Łomża";"podlaskie";32;32;12906;13899;3702
206301;"Suwałki";"Suwałki";"podlaskie";38;38;17603;12478;4131
