"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GANCARZ Paweł Jarosław - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SZWED Aleksander Jakub - KW PRAWO I SPRAWIEDLIWOŚĆ";"POKRYWKA Jan Tadeusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GRZYB Sebastian Mariusz - KW POLSKA 2050";"DYSZEWSKI Andrzej - KWW POROZUMIENIE OBYWATELSKIE"
20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";22;22;4383;4696;1125;417;3163
20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";23;23;5413;5389;1358;451;3644
20203;"gm. Pieszyce";"dzierżoniowski";"dolnośląskie";10;10;1247;1561;407;159;867
20204;"m. Piława Górna";"dzierżoniowski";"dolnośląskie";3;3;907;1051;297;67;482
20205;"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";15;15;1551;1881;456;140;760
20206;"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";10;10;999;1766;355;107;581
20207;"gm. Niemcza";"dzierżoniowski";"dolnośląskie";7;7;708;1027;231;73;438
20801;"m. Duszniki-Zdrój";"kłodzki";"dolnośląskie";4;4;917;914;225;97;631
20802;"m. Kłodzko";"kłodzki";"dolnośląskie";19;19;4910;4215;1087;387;2512
20803;"m. Kudowa-Zdrój";"kłodzki";"dolnośląskie";9;9;1900;2134;440;192;1287
20804;"m. Nowa Ruda";"kłodzki";"dolnośląskie";14;14;3442;3189;752;310;2126
20805;"m. Polanica-Zdrój";"kłodzki";"dolnośląskie";4;4;1426;1290;247;104;873
20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";20;20;2819;3409;663;894;1334
20807;"gm. Kłodzko";"kłodzki";"dolnośląskie";19;19;2979;3299;664;196;979
20808;"gm. Lądek-Zdrój";"kłodzki";"dolnośląskie";10;10;1594;1548;361;134;861
20809;"gm. Lewin Kłodzki";"kłodzki";"dolnośląskie";2;2;379;366;77;41;160
20810;"gm. Międzylesie";"kłodzki";"dolnośląskie";9;9;1013;1242;284;251;610
20811;"gm. Nowa Ruda";"kłodzki";"dolnośląskie";16;16;1835;1940;466;168;933
20812;"gm. Radków";"kłodzki";"dolnośląskie";10;10;1254;1794;336;91;550
20813;"gm. Stronie Śląskie";"kłodzki";"dolnośląskie";7;7;1341;1011;293;118;747
20814;"gm. Szczytna";"kłodzki";"dolnośląskie";7;7;1219;1196;321;133;644
22401;"gm. Bardo";"ząbkowicki";"dolnośląskie";8;8;1139;831;174;59;294
22402;"gm. Ciepłowody";"ząbkowicki";"dolnośląskie";5;5;538;571;114;42;164
22403;"gm. Kamieniec Ząbkowicki";"ząbkowicki";"dolnośląskie";10;10;1645;1391;275;64;396
22404;"gm. Stoszowice";"ząbkowicki";"dolnośląskie";6;6;1483;820;83;30;130
22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";23;23;5020;3603;629;170;1115
22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";26;26;2694;3173;564;193;1018
22407;"gm. Złoty Stok";"ząbkowicki";"dolnośląskie";7;7;838;794;145;42;269
