"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ŻYWNO Maciej Zenon - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"GROMKO Mariusz Krzysztof - KW PRAWO I SPRAWIEDLIWOŚĆ";"KASPERCZUK Zbigniew Cezary - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
200201;"gm. Choroszcz";"białostocki";"podlaskie";14;14;4419;4062;1389
200202;"gm. Czarna Białostocka";"białostocki";"podlaskie";7;7;2381;2432;789
200203;"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";9;9;2436;2371;794
200204;"gm. Gródek";"białostocki";"podlaskie";10;10;1727;670;271
200205;"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";15;15;4599;3910;1465
200206;"gm. Łapy";"białostocki";"podlaskie";19;19;3335;6589;1263
200207;"gm. Michałowo";"białostocki";"podlaskie";12;12;1600;1121;382
200208;"gm. Poświętne";"białostocki";"podlaskie";3;3;307;1229;184
200209;"gm. Supraśl";"białostocki";"podlaskie";14;14;6063;2853;1376
200210;"gm. Suraż";"białostocki";"podlaskie";4;4;319;724;121
200211;"gm. Turośń Kościelna";"białostocki";"podlaskie";7;7;1660;1778;583
200212;"gm. Tykocin";"białostocki";"podlaskie";9;9;822;1934;447
200213;"gm. Wasilków";"białostocki";"podlaskie";11;11;5705;3450;1411
200214;"gm. Zabłudów";"białostocki";"podlaskie";10;10;2261;2142;759
200215;"gm. Zawady";"białostocki";"podlaskie";2;2;239;822;157
201101;"gm. Dąbrowa Białostocka";"sokólski";"podlaskie";13;13;1681;2933;672
201102;"gm. Janów";"sokólski";"podlaskie";4;4;639;970;248
201103;"gm. Korycin";"sokólski";"podlaskie";4;4;498;784;225
201104;"gm. Krynki";"sokólski";"podlaskie";4;4;646;706;248
201105;"gm. Kuźnica";"sokólski";"podlaskie";5;5;568;1199;217
201106;"gm. Nowy Dwór";"sokólski";"podlaskie";4;4;310;770;109
201107;"gm. Sidra";"sokólski";"podlaskie";6;6;434;953;183
201108;"gm. Sokółka";"sokólski";"podlaskie";19;19;5054;5688;1511
201109;"gm. Suchowola";"sokólski";"podlaskie";10;10;955;1805;462
201110;"gm. Szudziałowo";"sokólski";"podlaskie";4;4;493;743;179
206101;"Białystok";"Białystok";"podlaskie";185;185;90380;53500;20297
