"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BOGUCKA Anna - KW PRAWO I SPRAWIEDLIWOŚĆ";"MALEWSKI Bartosz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SNARSKI Sławomir Jerzy - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
200301;"m. Bielsk Podlaski";"bielski";"podlaskie";14;14;3753;1453;7642
200302;"m. Brańsk";"bielski";"podlaskie";3;3;1120;215;581
200303;"gm. Bielsk Podlaski";"bielski";"podlaskie";11;11;1176;472;1782
200304;"gm. Boćki";"bielski";"podlaskie";5;5;1140;280;588
200305;"gm. Brańsk";"bielski";"podlaskie";11;11;2072;301;525
200306;"gm. Orla";"bielski";"podlaskie";5;5;334;139;761
200307;"gm. Rudka";"bielski";"podlaskie";3;3;484;65;382
200308;"gm. Wyszki";"bielski";"podlaskie";4;4;1477;304;414
200501;"m. Hajnówka";"hajnowski";"podlaskie";15;15;2676;1615;6379
200502;"gm. Białowieża";"hajnowski";"podlaskie";3;3;375;208;749
200503;"gm. Czeremcha";"hajnowski";"podlaskie";2;2;541;210;717
200504;"gm. Czyże";"hajnowski";"podlaskie";4;4;240;121;521
200505;"gm. Dubicze Cerkiewne";"hajnowski";"podlaskie";3;3;371;208;428
200506;"gm. Hajnówka";"hajnowski";"podlaskie";9;9;513;342;1125
200507;"gm. Kleszczele";"hajnowski";"podlaskie";4;4;417;157;565
200508;"gm. Narew";"hajnowski";"podlaskie";5;5;424;248;858
200509;"gm. Narewka";"hajnowski";"podlaskie";4;4;626;361;1041
201001;"m. Siemiatycze";"siemiatycki";"podlaskie";10;10;2826;1076;3100
201002;"gm. Drohiczyn";"siemiatycki";"podlaskie";5;5;1669;411;849
201003;"gm. Dziadkowice";"siemiatycki";"podlaskie";4;4;782;163;285
201004;"gm. Grodzisk";"siemiatycki";"podlaskie";5;5;1065;272;503
201005;"gm. Mielnik";"siemiatycki";"podlaskie";3;3;548;163;595
201006;"gm. Milejczyce";"siemiatycki";"podlaskie";5;5;291;153;396
201007;"gm. Nurzec-Stacja";"siemiatycki";"podlaskie";4;4;699;223;645
201008;"gm. Perlejewo";"siemiatycki";"podlaskie";5;5;877;195;251
201009;"gm. Siemiatycze";"siemiatycki";"podlaskie";13;13;1187;495;1085
201301;"m. Wysokie Mazowieckie";"wysokomazowiecki";"podlaskie";6;6;2366;780;1765
201302;"gm. Ciechanowiec";"wysokomazowiecki";"podlaskie";17;17;2518;509;1141
201303;"gm. Czyżew";"wysokomazowiecki";"podlaskie";7;7;2575;305;525
201304;"gm. Klukowo";"wysokomazowiecki";"podlaskie";3;3;1788;255;270
201305;"gm. Kobylin-Borzymy";"wysokomazowiecki";"podlaskie";5;5;1219;284;173
201306;"gm. Kulesze Kościelne";"wysokomazowiecki";"podlaskie";4;4;1276;267;148
201307;"gm. Nowe Piekuty";"wysokomazowiecki";"podlaskie";3;3;1492;224;369
201308;"gm. Sokoły";"wysokomazowiecki";"podlaskie";6;6;1974;498;436
201309;"gm. Szepietowo";"wysokomazowiecki";"podlaskie";7;7;2232;567;864
201310;"gm. Wysokie Mazowieckie";"wysokomazowiecki";"podlaskie";10;10;1812;545;522
